transcript bin.x coverage.x strand.x gene.x cigar.x MD.x NM.x fileName.x species.x introns_len.x introns_num.x swap.introns_len.x bin.y coverage.y strand.y gene.y cigar.y MD.y NM.y fileName.y species.y introns_len.y introns_num.y swap.introns_len.y bin coverage strand gene cigar MD NM fileName species introns_len introns_num swap.introns_len
augustus_masked-166842099-processed-gene-0.1-mRNA-1 myseq12000.fa.r112 0.99 0 7732191 1881M MD:Z:112C48T377C35T127A175G349C198G91C107G87A19C87GC55 NM:i:14 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsPG29_sam.txt PG29 NA 0 NA cdhit-output-4_17.iteration.1 0.99 0 3051767 1881M MD:Z:112C48T377C35T127A175G349C198G91C107G87A19C87GC55 NM:i:14 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsWS77111extraAll_sam.txt WS77111extraAll NA 0 NA OverlapSucceeded_6.iteration.1 0.99 0 5156021 1881M MD:Z:112C48T62C33G185T94C87A145A78T26G81A39A227C104A144T401 NM:i:15 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsQ903_sam.txt Q903 NA 0 NA
augustus_masked-166846130-processed-gene-0.1-mRNA-1 myseq3000.fa.r112 0.99 16 9135461 1251M MD:Z:307C588T354 NM:i:2 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsPG29_sam.txt PG29 NA 0 NA cdhit-output-4_10.iteration.1 0.99 0 2858656 1251M MD:Z:483G459G307 NM:i:2 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsWS77111extraAll_sam.txt WS77111extraAll NA 0 NA OverlapSucceeded_6.iteration.1 0.99 16 5156215 1251M MD:Z:694A72C149AG30T301 NM:i:5 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsQ903_sam.txt Q903 NA 0 NA
augustus_masked-166864467-processed-gene-0.1-mRNA-1 myseq3000.fa.r112 0.99 16 9138904 360M MD:Z:275A14A69 NM:i:2 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsPG29_sam.txt PG29 NA 0 NA cdhit-output-4_9.iteration.1 0.99 16 3184193 360M MD:Z:31T14C64A163A14A69 NM:i:5 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsWS77111extraAll_sam.txt WS77111extraAll NA 0 NA OverlapSucceeded_6.iteration.1 0.99 16 230680 360M MD:Z:46C19A210A82 NM:i:3 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsQ903_sam.txt Q903 NA 0 NA
augustus_masked-166871153-processed-gene-0.0-mRNA-1 myseq3000.fa.r112 0.99 16 9261638 339M MD:Z:138C1G38C17G135T5 NM:i:5 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsPG29_sam.txt PG29 NA 0 NA cdhit-output-4_8.iteration.3 0.99 16 5264909 339M MD:Z:138C1G38C17G135T5 NM:i:5 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsWS77111extraAll_sam.txt WS77111extraAll NA 0 NA OverlapSucceeded_6.iteration.1.extra 0.99 16 10904035 339M MD:Z:103T34C1G52G3G141 NM:i:5 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsQ903_sam.txt Q903 NA 0 NA
augustus_masked-166882857-processed-gene-0.0-mRNA-1 myseq9000.fa.r112 0.99 16 9283198 1125M MD:Z:53C247G139C172C368G141 NM:i:5 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsPG29_sam.txt PG29 NA 0 NA cdhit-output-4_11.iteration.1 0.99 0 3239426 1125M MD:Z:141C368G172G139C247G53 NM:i:5 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsWS77111extraAll_sam.txt WS77111extraAll NA 0 NA OverlapSucceeded_6.iteration.1 0.99 0 5156279 1125M MD:Z:387C122G172G21G9C355G53 NM:i:6 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsQ903_sam.txt Q903 NA 0 NA
augustus_masked-166888896-processed-gene-0.0-mRNA-1 myseq0.fa.r112 0.99 0 7164757 504M MD:Z:131G372 NM:i:1 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsPG29_sam.txt PG29 NA 0 NA cdhit-output-4_9.iteration.1 0.99 16 3260074 504M MD:Z:372C131 NM:i:1 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsWS77111extraAll_sam.txt WS77111extraAll NA 0 NA OverlapSucceeded_6.iteration.1 0.99 16 5155977 504M MD:Z:17T354C131 NM:i:2 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsQ903_sam.txt Q903 NA 0 NA
augustus_masked-166924171-processed-gene-0.0-mRNA-1 myseq3000.fa.r112 0.99 0 9283324 1476M MD:Z:96T22A79G456T143G675 NM:i:5 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsPG29_sam.txt PG29 NA 0 NA cdhit-output-4_10.iteration.1 0.99 16 2915499 1476M MD:Z:675C143A456C79T22A96 NM:i:5 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsWS77111extraAll_sam.txt WS77111extraAll NA 0 NA OverlapSucceeded_6.iteration.1 0.99 16 5156079 1476M MD:Z:21C11C41T5G121C105G86G190A752T135 NM:i:9 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsQ903_sam.txt Q903 NA 0 NA
augustus_masked-166926399-processed-gene-0.0-mRNA-1 myseq3000.fa.r112 0.99 0 9262571 2766M MD:Z:32G78T1A59C8G426TC7G112G25G208T249A375C231A127C74A426A150C33A47C78 NM:i:20 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsPG29_sam.txt PG29 NA 0 NA cdhit-output-4_8.iteration.1 0.99 0 4475472 2766M MD:Z:32G78T1A59C8G426TC7G112G25G208T249A375C231A127C74A426A150C33A47C78 NM:i:20 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsWS77111extraAll_sam.txt WS77111extraAll NA 0 NA OverlapSucceeded_6.iteration.1 0.99 16 5156269 2766M MD:Z:78G47T33G150T501G203G275T36G218T4A295A183C112C185A127G121C126T6A15C5T26 NM:i:20 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsQ903_sam.txt Q903 NA 0 NA
augustus_masked-166939593-processed-gene-0.0-mRNA-1 myseq12000.fa.r112 0.99 0 5880572 405M MD:Z:405 NM:i:0 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsPG29_sam.txt PG29 NA 0 NA cdhit-output-4_8.iteration.1 0.99 16 4560206 405M MD:Z:405 NM:i:0 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsWS77111extraAll_sam.txt WS77111extraAll NA 0 NA OverlapSucceeded_6.iteration.4 0.99 0 2328325 405M MD:Z:105C299 NM:i:1 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsQ903_sam.txt Q903 NA 0 NA
augustus_masked-166981598-processed-gene-0.0-mRNA-1 myseq12000.fa.r112 0.99 0 7750960 327M MD:Z:189G137 NM:i:1 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsPG29_sam.txt PG29 NA 0 NA cdhit-output-4_17.iteration.1 0.99 16 3052095 327M MD:Z:327 NM:i:0 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsWS77111extraAll_sam.txt WS77111extraAll NA 0 NA OverlapSucceeded_6.iteration.1 0.99 0 5155973 327M MD:Z:327 NM:i:0 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsQ903_sam.txt Q903 NA 0 NA
augustus_masked-167012834-processed-gene-0.1-mRNA-1 myseq9000.fa.r112 0.99 16 9298119 315M MD:Z:315 NM:i:0 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsPG29_sam.txt PG29 NA 0 NA cdhit-output-4_10.iteration.1 0.99 16 2915108 315M MD:Z:315 NM:i:0 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsWS77111extraAll_sam.txt WS77111extraAll NA 0 NA OverlapSucceeded_6.iteration.1 0.99 0 730934 315M MD:Z:315 NM:i:0 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsQ903_sam.txt Q903 NA 0 NA
augustus_masked-167033022-processed-gene-0.0-mRNA-1 myseq9000.fa.r112 0.99 16 9298415 2421M MD:Z:573G247G50T205G6T57C341A84G92C439C317 NM:i:10 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsPG29_sam.txt PG29 NA 0 NA cdhit-output-4_18.iteration.1 0.99 16 3666854 2421M MD:Z:573G259A38T205G6T57C294C46A84G92C439C317 NM:i:11 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsWS77111extraAll_sam.txt WS77111extraAll NA 0 NA OverlapSucceeded_6.iteration.1 0.99 0 5156159 2421M MD:Z:1342C147T507A422 NM:i:3 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsQ903_sam.txt Q903 NA 0 NA
augustus_masked-167045582-processed-gene-0.0-mRNA-1 myseq9000.fa.r112 0.99 16 9229736 1578M MD:Z:132G94T46A52T125C26T59C86T33C34A35A8C63T5T56T63G26G6T58G164C98T74G57G18C94G41 NM:i:25 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsPG29_sam.txt PG29 NA 0 NA cdhit-output-4_15.iteration.1 0.99 16 3575610 1578M MD:Z:132G94T46A52T125C26T59C86T33C34A35A8C63T5T56T63G26G6T58G51T56T36A117T74G57G18C94G41 NM:i:27 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsWS77111extraAll_sam.txt WS77111extraAll NA 0 NA OverlapSucceeded_6.iteration.1 0.99 0 5155949 1578M MD:Z:155C57C91C74C230A6C26C120A69G8T35T34G74G132G125A99A94C132 NM:i:17 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsQ903_sam.txt Q903 NA 0 NA
augustus_masked-167048256-processed-gene-0.1-mRNA-1 myseq3000.fa.r112 0.99 16 9170152 429M MD:Z:18C37T79G18A10G159C26A37C37 NM:i:8 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsPG29_sam.txt PG29 NA 0 NA cdhit-output-4_11.iteration.1 0.99 0 666688 429M MD:Z:37G37T26G159C10T18C79A37G18 NM:i:8 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsWS77111extraAll_sam.txt WS77111extraAll NA 0 NA OverlapSucceeded_6.iteration.1.extra 0.99 0 2122794 429M MD:Z:37G37T26G159C10T18C117G18 NM:i:7 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsQ903_sam.txt Q903 NA 0 NA
augustus_masked-167050507-processed-gene-0.1-mRNA-1 myseq3000.fa.r112 0.99 0 9174034 2877M MD:Z:304G894G1599A77 NM:i:3 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsPG29_sam.txt PG29 NA 0 NA cdhit-output-4_11.iteration.1 0.99 0 3288036 2877M MD:Z:304G894G1677 NM:i:2 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsWS77111extraAll_sam.txt WS77111extraAll NA 0 NA OverlapSucceeded_6.iteration.1 0.99 0 5155964 2877M MD:Z:50G253G894G1677 NM:i:3 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsQ903_sam.txt Q903 NA 0 NA
augustus_masked-167051515-processed-gene-0.0-mRNA-1 myseq6000.fa.r112 0.99 0 4325797 693M MD:Z:18A674 NM:i:1 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsPG29_sam.txt PG29 NA 0 NA cdhit-output-4_14.iteration.1 0.99 0 3011794 693M MD:Z:18A674 NM:i:1 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsWS77111extraAll_sam.txt WS77111extraAll NA 0 NA OverlapSucceeded_6.iteration.1 0.99 16 5156093 693M MD:Z:149A117A71C353 NM:i:3 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsQ903_sam.txt Q903 NA 0 NA
augustus_masked-167095954-processed-gene-0.2-mRNA-1 myseq3000.fa.r112 0.99 16 9136186 975M MD:Z:268G169A3A40A2C43G27C8T59G242A104 NM:i:10 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsPG29_sam.txt PG29 NA 0 NA cdhit-output-4_11.iteration.1 0.99 0 3288142 975M MD:Z:104T242C59A8G27C43G2T40T3T169C168C9T89 NM:i:12 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsWS77111extraAll_sam.txt WS77111extraAll NA 0 NA OverlapSucceeded_6.iteration.1 0.99 16 5080779 975M MD:Z:268G11C157A44A2C43G27C8T59G155A191 NM:i:10 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsQ903_sam.txt Q903 NA 0 NA
augustus_masked-167109802-processed-gene-0.1-mRNA-1 myseq12000.fa.r112 0.99 0 7749112 981M MD:Z:39C42A39G39T11G806 NM:i:5 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsPG29_sam.txt PG29 NA 0 NA cdhit-output-4_17.iteration.1 0.99 0 3052110 981M MD:Z:39C42A39G39T11G806 NM:i:5 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsWS77111extraAll_sam.txt WS77111extraAll NA 0 NA OverlapSucceeded_6.iteration.1.extra 0.99 0 11058008 981M MD:Z:37A1C42A39G51G236GA84T11C3A18A9C20T7T1C128A17T222T37 NM:i:18 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsQ903_sam.txt Q903 NA 0 NA
augustus_masked-167130107-processed-gene-0.1-mRNA-1 myseq9000.fa.r112 0.99 0 9135243 1785M MD:Z:263C63C66T2A15T52T1067A250 NM:i:7 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsPG29_sam.txt PG29 NA 0 NA cdhit-output-4_14.iteration.1 0.99 16 3011406 1785M MD:Z:250T1067A52A15T2A66G63G263 NM:i:7 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsWS77111extraAll_sam.txt WS77111extraAll NA 0 NA OverlapSucceeded_6.iteration.1 0.99 0 5155849 1785M MD:Z:327C69A15T515T164T11T24C402A250 NM:i:8 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsQ903_sam.txt Q903 NA 0 NA
augustus_masked-167152372-processed-gene-0.0-mRNA-1 myseq12000.fa.r112 0.99 16 7751309 1644M MD:Z:1644 NM:i:0 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsPG29_sam.txt PG29 NA 0 NA cdhit-output-4_10.iteration.1 0.99 0 2915597 1644M MD:Z:1644 NM:i:0 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsWS77111extraAll_sam.txt WS77111extraAll NA 0 NA OverlapSucceeded_6.iteration.1 0.99 0 5155815 1644M MD:Z:1644 NM:i:0 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsQ903_sam.txt Q903 NA 0 NA
augustus_masked-167183012-processed-gene-0.0-mRNA-1 myseq3000.fa.r112 0.99 0 9259616 405M MD:Z:20G48A5A8A234T85 NM:i:5 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsPG29_sam.txt PG29 NA 0 NA cdhit-output-4_10.iteration.1 0.99 0 2846672 405M MD:Z:20G54A8A234T85 NM:i:4 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsWS77111extraAll_sam.txt WS77111extraAll NA 0 NA OverlapSucceeded_6.iteration.1 0.99 0 5156264 405M MD:Z:20G54A8A186C47T85 NM:i:5 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsQ903_sam.txt Q903 NA 0 NA
augustus_masked-167187769-processed-gene-0.0-mRNA-1 myseq12000.fa.r112 0.99 16 7749070 402M MD:Z:246A155 NM:i:1 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsPG29_sam.txt PG29 NA 0 NA cdhit-output-4_17.iteration.1 0.99 0 3051598 402M MD:Z:155T246 NM:i:1 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsWS77111extraAll_sam.txt WS77111extraAll NA 0 NA OverlapSucceeded_6.iteration.1 0.99 0 5086584 402M MD:Z:155T184T7T53 NM:i:3 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsQ903_sam.txt Q903 NA 0 NA
augustus_masked-167196574-processed-gene-0.1-mRNA-1 myseq3000.fa.r112 0.99 16 9299091 372M MD:Z:56C21A75A40C176 NM:i:4 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsPG29_sam.txt PG29 NA 0 NA cdhit-output-4_12.iteration.1 0.99 0 3291442 372M MD:Z:176G40T154 NM:i:2 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsWS77111extraAll_sam.txt WS77111extraAll NA 0 NA OverlapSucceeded_6.iteration.3 0.99 0 5456643 372M MD:Z:176G40T49T25T78 NM:i:4 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsQ903_sam.txt Q903 NA 0 NA
augustus_masked-167201819-processed-gene-0.1-mRNA-1 myseq6000.fa.r112 0.99 16 6813923 2595M MD:Z:1431C102A67A316C675 NM:i:4 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsPG29_sam.txt PG29 NA 0 NA cdhit-output-4_12.iteration.1 0.99 16 3365174 2595M MD:Z:1431C102A67A316C675 NM:i:4 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsWS77111extraAll_sam.txt WS77111extraAll NA 0 NA OverlapSucceeded_6.iteration.1 0.99 16 5156216 2595M MD:Z:27T45T193G89A103C344T87C487GT47C626G10T123A20A364G3G11 NM:i:16 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsQ903_sam.txt Q903 NA 0 NA
augustus_masked-167204387-processed-gene-0.0-mRNA-1 myseq9000.fa.r112 0.99 16 8880976 318M MD:Z:318 NM:i:0 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsPG29_sam.txt PG29 NA 0 NA cdhit-output-4_14.iteration.1 0.99 16 3011379 318M MD:Z:318 NM:i:0 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsWS77111extraAll_sam.txt WS77111extraAll NA 0 NA OverlapSucceeded_6.iteration.1 0.99 0 144927 318M MD:Z:231A86 NM:i:1 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsQ903_sam.txt Q903 NA 0 NA
augustus_masked-167210170-processed-gene-0.0-mRNA-1 myseq3000.fa.r112 0.99 16 9208002 1200M MD:Z:255TG340A137C38C425 NM:i:5 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsPG29_sam.txt PG29 NA 0 NA cdhit-output-4_12.iteration.1 0.99 0 3364679 1200M MD:Z:425G38G137T340C256 NM:i:4 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsWS77111extraAll_sam.txt WS77111extraAll NA 0 NA OverlapSucceeded_6.iteration.1 0.99 0 5081389 1200M MD:Z:32T4G54C100A195TA5G28G244T171GG1G97C245G10 NM:i:14 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsQ903_sam.txt Q903 NA 0 NA
augustus_masked-167219112-processed-gene-0.0-mRNA-1 myseq3000.fa.r112 0.99 16 9300184 435M MD:Z:185T44A204 NM:i:2 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsPG29_sam.txt PG29 NA 0 NA cdhit-output-4_12.iteration.1 0.99 16 3364598 435M MD:Z:39T145T44A204 NM:i:3 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsWS77111extraAll_sam.txt WS77111extraAll NA 0 NA OverlapSucceeded_6.iteration.1 0.99 0 5078042 435M MD:Z:16A367T50 NM:i:2 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsQ903_sam.txt Q903 NA 0 NA
augustus_masked-167236155-processed-gene-0.0-mRNA-1 myseq9000.fa.r112 0.99 16 9226756 2943M MD:Z:132C116G97T110T183A45C151T103T251A91C30C203T18T20G71T88C729A27G460 NM:i:18 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsPG29_sam.txt PG29 NA 0 NA cdhit-output-4_16.iteration.1 0.99 0 3093060 2943M MD:Z:460C27T729G88A71C243G30G91T251A103A151G45T183A110A97C116G132 NM:i:16 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsWS77111extraAll_sam.txt WS77111extraAll NA 0 NA OverlapSucceeded_6.iteration.1 0.99 0 5155766 2943M MD:Z:116G106C236C221C24T187T11C157A152G36A123C4G91T10C135G184GT158G29A91T181T27T15G40T126A110A190T156 NM:i:27 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsQ903_sam.txt Q903 NA 0 NA
augustus_masked-167263424-processed-gene-0.2-mRNA-1 myseq9000.fa.r112 0.99 0 9286268 285M MD:Z:56T68G104G54 NM:i:3 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsPG29_sam.txt PG29 NA 0 NA cdhit-output-4_9.iteration.2 0.99 0 3302328 285M MD:Z:56T68G159 NM:i:2 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsWS77111extraAll_sam.txt WS77111extraAll NA 0 NA OverlapSucceeded_6.iteration.2 0.99 16 6395391 285M MD:Z:29T255 NM:i:1 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsQ903_sam.txt Q903 NA 0 NA
augustus_masked-167351915-processed-gene-0.0-mRNA-1 myseq9000.fa.r112 0.99 0 9302139 2226M MD:Z:15A16A60A15A35T14A54C26T67A192T51A70T170T184G14G152T24T98G951 NM:i:18 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsPG29_sam.txt PG29 NA 0 NA cdhit-output-4_9.iteration.1 0.99 0 3259882 2226M MD:Z:15A16A60A15A35T14A54C26T67A55A212A208T193G14G1228 NM:i:14 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsWS77111extraAll_sam.txt WS77111extraAll NA 0 NA OverlapSucceeded_6.iteration.1 0.99 16 5156028 2226M MD:Z:399G491G59C276C493A73C118T149T127T32 NM:i:9 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsQ903_sam.txt Q903 NA 0 NA
