OG0012312	ABT39_00020472-RA	E0M31_00068937-RA
OG0013098	ABT39_00028229-RA	E0M31_00003851-RA
OG0013100	ABT39_00094514-RA	E0M31_00072516-RA
OG0013102	ABT39_00073585-RA	E0M31_00021404-RA
OG0013103	ABT39_00050851-RA	E0M31_00028539-RA
OG0013104	ABT39_00082505-RA	E0M31_00057282-RA
OG0013105	ABT39_00107216-RA	E0M31_00073487-RA
OG0013106	ABT39_00033857-RA	E0M31_00075700-RA
OG0013107	ABT39_00105734-RA	E0M31_00082646-RA
OG0013110	ABT39_00090827-RA	E0M31_00077929-RA
OG0013111	ABT39_00012845-RA	E0M31_00003819-RB
OG0013112	ABT39_00019538-RC	E0M31_00021393-RD
OG0013114	ABT39_00072452-RA	E0M31_00083923-RA
OG0013118	ABT39_00076353-RA	E0M31_00041558-RB
OG0013120	ABT39_00091569-RA	E0M31_00069361-RA
OG0013121	ABT39_00061586-RA	E0M31_00006191-RB
OG0013123	ABT39_00009558-RA	E0M31_00017775-RA
OG0013125	ABT39_00029057-RA	E0M31_00043423-RA
OG0013126	ABT39_00117727-RA	E0M31_00071321-RA
OG0013127	ABT39_00091284-RA	E0M31_00014129-RA
OG0013128	ABT39_00064119-RA	E0M31_00028201-RB
OG0013129	ABT39_00025980-RC	E0M31_00005109-RB
OG0013130	ABT39_00014304-RA	E0M31_00017693-RA
OG0013132	ABT39_00000518-RA	E0M31_00004649-RA
OG0013133	ABT39_00010153-RB	E0M31_00008284-RA
OG0013134	ABT39_00014201-RD	E0M31_00005974-RC
OG0013135	ABT39_00062647-RA	E0M31_00048539-RA
OG0013137	ABT39_00063237-RA	E0M31_00042099-RA
OG0013138	ABT39_00033433-RC	E0M31_00021377-RA
OG0013140	ABT39_00042336-RA	E0M31_00072716-RA
OG0013141	ABT39_00067720-RA	E0M31_00023429-RA
OG0013142	ABT39_00007695-RA	E0M31_00025237-RB
OG0013143	ABT39_00066579-RA	E0M31_00076068-RA
OG0013144	ABT39_00069945-RA	E0M31_00074578-RA
OG0013146	ABT39_00051399-RA	E0M31_00037726-RA
OG0013147	ABT39_00056411-RB	E0M31_00040544-RB
OG0013152	ABT39_00029097-RA	E0M31_00047152-RB
OG0013153	ABT39_00041888-RA	E0M31_00029161-RA
OG0013154	ABT39_00033392-RA	E0M31_00004681-RA
OG0013155	ABT39_00069125-RA	E0M31_00033801-RA
OG0013156	ABT39_00014956-RD	E0M31_00026275-RB
OG0013157	ABT39_00059635-RA	E0M31_00024179-RA
OG0013158	ABT39_00048035-RA	E0M31_00031142-RA
OG0013159	ABT39_00014941-RA	E0M31_00017631-RA
OG0013162	ABT39_00010405-RB	E0M31_00005065-RA
OG0013164	ABT39_00071501-RA	E0M31_00050041-RA
OG0013166	ABT39_00058267-RB	E0M31_00059752-RA
OG0013168	ABT39_00027378-RC	E0M31_00008219-RD
OG0013173	ABT39_00098558-RA	E0M31_00063585-RA
OG0013174	ABT39_00054051-RA	E0M31_00014702-RA
OG0013175	ABT39_00090490-RA	E0M31_00001607-RB
OG0013178	ABT39_00088914-RA	E0M31_00055468-RA
OG0013179	ABT39_00041311-RA	E0M31_00064903-RA
OG0013182	ABT39_00077972-RA	E0M31_00063466-RA
OG0013183	ABT39_00031851-RA	E0M31_00023686-RA
OG0013184	ABT39_00004232-RC	E0M31_00011910-RA
OG0013185	ABT39_00023280-RA	E0M31_00013631-RB
OG0013186	ABT39_00006398-RA	E0M31_00003362-RA
OG0013187	ABT39_00066937-RA	E0M31_00034453-RA
OG0013193	ABT39_00050457-RB	E0M31_00032480-RA
OG0013195	ABT39_00009966-RA	E0M31_00031666-RA
OG0013196	ABT39_00057793-RA	E0M31_00027453-RA
OG0013197	ABT39_00076186-RB	E0M31_00041399-RA
OG0013198	ABT39_00032738-RC	E0M31_00079110-RA
OG0013200	ABT39_00015447-RC	E0M31_00000838-RA
OG0013201	ABT39_00015448-RA	E0M31_00000836-RA
OG0013202	ABT39_00035817-RC	E0M31_00008752-RD
OG0013204	ABT39_00015589-RA	E0M31_00000379-RB
OG0013205	ABT39_00015588-RA	E0M31_00000378-RA
OG0013207	ABT39_00008334-RB	E0M31_00011584-RA
OG0013208	ABT39_00014235-RA	E0M31_00043733-RA
OG0013210	ABT39_00036536-RA	E0M31_00070191-RA
OG0013212	ABT39_00075442-RA	E0M31_00084574-RA
OG0013213	ABT39_00091393-RA	E0M31_00015576-RA
OG0013215	ABT39_00056776-RA	E0M31_00043516-RA
OG0013216	ABT39_00069944-RA	E0M31_00000412-RA
OG0013217	ABT39_00055344-RA	E0M31_00034913-RA
OG0013218	ABT39_00116684-RA	E0M31_00093050-RA
OG0013219	ABT39_00110202-RA	E0M31_00014414-RA
OG0013220	ABT39_00023654-RA	E0M31_00080822-RA
OG0013221	ABT39_00020675-RA	E0M31_00064847-RA
OG0013224	ABT39_00069028-RA	E0M31_00007678-RA
OG0013227	ABT39_00040000-RA	E0M31_00032178-RA
OG0013229	ABT39_00070058-RA	E0M31_00072207-RA
OG0013230	ABT39_00008814-RA	E0M31_00015027-RA
OG0013231	ABT39_00012271-RA	E0M31_00014234-RA
OG0013232	ABT39_00029417-RA	E0M31_00071382-RA
OG0013233	ABT39_00067918-RA	E0M31_00081263-RA
OG0013235	ABT39_00015054-RA	E0M31_00031194-RA
OG0013238	ABT39_00040780-RA	E0M31_00005982-RA
OG0013239	ABT39_00056383-RB	E0M31_00068884-RA
OG0013241	ABT39_00027245-RB	E0M31_00001287-RB
OG0013242	ABT39_00002489-RC	E0M31_00051407-RA
OG0013243	ABT39_00088750-RA	E0M31_00039667-RA
OG0013244	ABT39_00080923-RB	E0M31_00038958-RA
OG0013246	ABT39_00067192-RA	E0M31_00003436-RA
OG0013247	ABT39_00040889-RC	E0M31_00042528-RB
OG0013248	ABT39_00060437-RA	E0M31_00065982-RA
OG0013249	ABT39_00039347-RA	E0M31_00057632-RA
OG0013250	ABT39_00035866-RA	E0M31_00030934-RB
OG0013251	ABT39_00079251-RA	E0M31_00082407-RA
OG0013252	ABT39_00042108-RA	E0M31_00044548-RA
OG0013253	ABT39_00034535-RA	E0M31_00011683-RA
OG0013254	ABT39_00018607-RB	E0M31_00014992-RA
OG0013258	ABT39_00093485-RA	E0M31_00053856-RA
OG0013260	ABT39_00072443-RA	E0M31_00036685-RA
OG0013261	ABT39_00013720-RA	E0M31_00060946-RA
OG0013262	ABT39_00048817-RA	E0M31_00029351-RA
OG0013265	ABT39_00018569-RC	E0M31_00029516-RB
OG0013266	ABT39_00076090-RA	E0M31_00075007-RA
OG0013268	ABT39_00020144-RB	E0M31_00007269-RD
OG0013269	ABT39_00038022-RB	E0M31_00036952-RA
OG0013275	ABT39_00093379-RA	E0M31_00043756-RB
OG0013276	ABT39_00048711-RB	E0M31_00042614-RA
OG0013277	ABT39_00069682-RA	E0M31_00061855-RA
OG0013278	ABT39_00011072-RB	E0M31_00020245-RB
OG0013281	ABT39_00057298-RA	E0M31_00073951-RA
OG0013282	ABT39_00094403-RA	E0M31_00065411-RA
OG0013284	ABT39_00007417-RG	E0M31_00006671-RE
OG0013285	ABT39_00008934-RA	E0M31_00002334-RA
OG0013286	ABT39_00070110-RA	E0M31_00082543-RA
OG0013288	ABT39_00022767-RA	E0M31_00025627-RA
OG0013289	ABT39_00008851-RD	E0M31_00005790-RB
OG0013290	ABT39_00029727-RA	E0M31_00038863-RA
OG0013293	ABT39_00025440-RA	E0M31_00028790-RA
OG0013294	ABT39_00001329-RG	E0M31_00000360-RC
OG0013295	ABT39_00010652-RB	E0M31_00032446-RB
OG0013296	ABT39_00017966-RA	E0M31_00006022-RD
OG0013299	ABT39_00014144-RB	E0M31_00008999-RC
OG0013300	ABT39_00027807-RA	E0M31_00054672-RA
OG0013302	ABT39_00037836-RA	E0M31_00035300-RA
OG0013303	ABT39_00121821-RA	E0M31_00090765-RA
OG0013304	ABT39_00001178-RA	E0M31_00018747-RA
OG0013307	ABT39_00019550-RA	E0M31_00070825-RA
OG0013309	ABT39_00020481-RA	E0M31_00014029-RA
OG0013310	ABT39_00002721-RA	E0M31_00080529-RA
OG0013312	ABT39_00098814-RA	E0M31_00083420-RA
OG0013313	ABT39_00032014-RA	E0M31_00025232-RA
OG0013314	ABT39_00011138-RA	E0M31_00079524-RA
OG0013315	ABT39_00025880-RA	E0M31_00032479-RA
OG0013318	ABT39_00011127-RE	E0M31_00048452-RA
OG0013320	ABT39_00091591-RA	E0M31_00081395-RA
OG0013322	ABT39_00032283-RA	E0M31_00076524-RA
OG0013325	ABT39_00058050-RA	E0M31_00059791-RA
OG0013327	ABT39_00013124-RA	E0M31_00049836-RA
OG0013328	ABT39_00066788-RB	E0M31_00006067-RA
OG0013330	ABT39_00014801-RC	E0M31_00008271-RB
OG0013331	ABT39_00010503-RA	E0M31_00080777-RA
OG0013332	ABT39_00048948-RA	E0M31_00040161-RA
OG0013333	ABT39_00045821-RA	E0M31_00018487-RA
OG0013334	ABT39_00031078-RB	E0M31_00014899-RC
OG0013335	ABT39_00043205-RA	E0M31_00060789-RA
OG0013336	ABT39_00069777-RA	E0M31_00057642-RA
OG0013338	ABT39_00009992-RC	E0M31_00018052-RD
OG0013339	ABT39_00047588-RA	E0M31_00017854-RB
OG0013340	ABT39_00026118-RA	E0M31_00013010-RA
OG0013342	ABT39_00112242-RA	E0M31_00085742-RA
OG0013344	ABT39_00024605-RA	E0M31_00003978-RA
OG0013345	ABT39_00070291-RA	E0M31_00026000-RA
OG0013346	ABT39_00059728-RA	E0M31_00024943-RA
OG0013347	ABT39_00061393-RB	E0M31_00074860-RA
OG0013348	ABT39_00097241-RA	E0M31_00025859-RA
OG0013350	ABT39_00030680-RB	E0M31_00009870-RA
OG0013353	ABT39_00040537-RA	E0M31_00090294-RA
OG0013355	ABT39_00010118-RB	E0M31_00017779-RA
OG0013356	ABT39_00044059-RA	E0M31_00033904-RA
OG0013358	ABT39_00078397-RA	E0M31_00062780-RA
OG0013359	ABT39_00040923-RB	E0M31_00082792-RA
OG0013360	ABT39_00059141-RA	E0M31_00064744-RA
OG0013361	ABT39_00077113-RA	E0M31_00053877-RA
OG0013362	ABT39_00058030-RD	E0M31_00056334-RB
OG0013363	ABT39_00063843-RA	E0M31_00062667-RA
OG0013364	ABT39_00024028-RA	E0M31_00062045-RA
OG0013366	ABT39_00008024-RA	E0M31_00000123-RB
OG0013369	ABT39_00008804-RA	E0M31_00033320-RA
OG0013370	ABT39_00016564-RA	E0M31_00070470-RA
OG0013371	ABT39_00070014-RA	E0M31_00036201-RB
OG0013372	ABT39_00062356-RA	E0M31_00015317-RA
OG0013374	ABT39_00060735-RB	E0M31_00058580-RA
OG0013375	ABT39_00012838-RA	E0M31_00076989-RA
OG0013376	ABT39_00055929-RB	E0M31_00037321-RA
OG0013377	ABT39_00078321-RA	E0M31_00020928-RA
OG0013379	ABT39_00011553-RA	E0M31_00010065-RA
OG0013381	ABT39_00026147-RA	E0M31_00044482-RA
OG0013384	ABT39_00044987-RA	E0M31_00039395-RA
OG0013385	ABT39_00044988-RA	E0M31_00021660-RA
OG0013386	ABT39_00097819-RA	E0M31_00070416-RA
OG0013394	ABT39_00013166-RA	E0M31_00019393-RA
OG0013399	ABT39_00007492-RA	E0M31_00048852-RA
OG0013401	ABT39_00016488-RA	E0M31_00058411-RA
OG0013402	ABT39_00058753-RA	E0M31_00018197-RA
OG0013403	ABT39_00006484-RB	E0M31_00013472-RB
OG0013404	ABT39_00053293-RA	E0M31_00049162-RA
OG0013405	ABT39_00021757-RA	E0M31_00004877-RA
OG0013406	ABT39_00013950-RA	E0M31_00061283-RA
OG0013407	ABT39_00003932-RF	E0M31_00020167-RB
OG0013408	ABT39_00003933-RA	E0M31_00020168-RA
OG0013409	ABT39_00007197-RB	E0M31_00002864-RA
OG0013410	ABT39_00022431-RA	E0M31_00076226-RA
OG0013411	ABT39_00023411-RA	E0M31_00041556-RA
OG0013412	ABT39_00004731-RC	E0M31_00015241-RC
OG0013413	ABT39_00043495-RA	E0M31_00012887-RA
OG0013415	ABT39_00033348-RC	E0M31_00022790-RB
OG0013416	ABT39_00018534-RB	E0M31_00006524-RE
OG0013417	ABT39_00070497-RB	E0M31_00056619-RA
OG0013418	ABT39_00069479-RA	E0M31_00062097-RA
OG0013419	ABT39_00025006-RD	E0M31_00002476-RA
OG0013420	ABT39_00019837-RD	E0M31_00012971-RB
OG0013421	ABT39_00100254-RA	E0M31_00068406-RA
OG0013422	ABT39_00056935-RA	E0M31_00035741-RA
OG0013424	ABT39_00119939-RA	E0M31_00085454-RA
OG0013425	ABT39_00050083-RA	E0M31_00024567-RB
OG0013426	ABT39_00055574-RA	E0M31_00046699-RA
OG0013427	ABT39_00104569-RA	E0M31_00018485-RA
OG0013430	ABT39_00074238-RA	E0M31_00070769-RA
OG0013431	ABT39_00066221-RA	E0M31_00047517-RA
OG0013432	ABT39_00078925-RA	E0M31_00057708-RA
OG0013433	ABT39_00091781-RA	E0M31_00066129-RA
OG0013434	ABT39_00065855-RA	E0M31_00008590-RA
OG0013436	ABT39_00061213-RA	E0M31_00030305-RB
OG0013437	ABT39_00088635-RA	E0M31_00076336-RA
OG0013438	ABT39_00006967-RA	E0M31_00007658-RA
OG0013439	ABT39_00014547-RC	E0M31_00024255-RA
OG0013440	ABT39_00049418-RC	E0M31_00040730-RC
OG0013442	ABT39_00060749-RA	E0M31_00038387-RA
OG0013443	ABT39_00086254-RA	E0M31_00000086-RA
OG0013444	ABT39_00103239-RA	E0M31_00065956-RA
OG0013445	ABT39_00029856-RA	E0M31_00030068-RB
OG0013446	ABT39_00082337-RA	E0M31_00067127-RA
OG0013447	ABT39_00108311-RA	E0M31_00060938-RA
OG0013448	ABT39_00071003-RA	E0M31_00062526-RA
OG0013449	ABT39_00056330-RA	E0M31_00079971-RA
OG0013450	ABT39_00037212-RC	E0M31_00045792-RA
OG0013451	ABT39_00039151-RD	E0M31_00010342-RB
OG0013452	ABT39_00038308-RA	E0M31_00020606-RB
OG0013454	ABT39_00095983-RA	E0M31_00007028-RA
OG0013456	ABT39_00053799-RB	E0M31_00018863-RC
OG0013458	ABT39_00091347-RA	E0M31_00062391-RA
OG0013459	ABT39_00102420-RA	E0M31_00078582-RA
OG0013460	ABT39_00104526-RA	E0M31_00057912-RA
OG0013461	ABT39_00070802-RB	E0M31_00044297-RB
OG0013463	ABT39_00075154-RB	E0M31_00007829-RA
OG0013464	ABT39_00011158-RE	E0M31_00017394-RA
OG0013468	ABT39_00010391-RB	E0M31_00004321-RA
OG0013470	ABT39_00018936-RA	E0M31_00009421-RA
OG0013471	ABT39_00082379-RA	E0M31_00008817-RA
OG0013473	ABT39_00029576-RA	E0M31_00035309-RA
OG0013474	ABT39_00081907-RA	E0M31_00055914-RA
OG0013475	ABT39_00039706-RC	E0M31_00029270-RB
OG0013476	ABT39_00060295-RB	E0M31_00047898-RB
OG0013478	ABT39_00047882-RA	E0M31_00047461-RA
OG0013480	ABT39_00074649-RA	E0M31_00010865-RA
OG0013483	ABT39_00083635-RA	E0M31_00071926-RA
OG0013484	ABT39_00036506-RB	E0M31_00023698-RA
OG0013485	ABT39_00066379-RB	E0M31_00061267-RA
OG0013486	ABT39_00020802-RD	E0M31_00019369-RD
OG0013489	ABT39_00079849-RA	E0M31_00049067-RA
OG0013490	ABT39_00086398-RA	E0M31_00055841-RA
OG0013491	ABT39_00087312-RA	E0M31_00022419-RA
OG0013492	ABT39_00036577-RB	E0M31_00020010-RA
OG0013495	ABT39_00036202-RB	E0M31_00024042-RA
OG0013497	ABT39_00085970-RA	E0M31_00038227-RA
OG0013498	ABT39_00054839-RB	E0M31_00072699-RA
OG0013499	ABT39_00015003-RA	E0M31_00019842-RA
OG0013500	ABT39_00009266-RA	E0M31_00067612-RA
OG0013501	ABT39_00015498-RD	E0M31_00030143-RC
OG0013502	ABT39_00039298-RA	E0M31_00053473-RA
OG0013503	ABT39_00006426-RI	E0M31_00025755-RA
OG0013507	ABT39_00002931-RA	E0M31_00054164-RA
OG0013508	ABT39_00005894-RA	E0M31_00064940-RA
OG0013509	ABT39_00003128-RB	E0M31_00006255-RB
OG0013510	ABT39_00033913-RB	E0M31_00018817-RD
OG0013511	ABT39_00028003-RB	E0M31_00006530-RA
OG0013512	ABT39_00103483-RA	E0M31_00054694-RA
OG0013514	ABT39_00024971-RD	E0M31_00017937-RA
OG0013516	ABT39_00057402-RB	E0M31_00053097-RA
OG0013517	ABT39_00083171-RA	E0M31_00002942-RA
OG0013518	ABT39_00031328-RA	E0M31_00035986-RA
OG0013520	ABT39_00006980-RA	E0M31_00000258-RB
OG0013523	ABT39_00071809-RA	E0M31_00066607-RA
OG0013524	ABT39_00001563-RB	E0M31_00021656-RB
OG0013526	ABT39_00003073-RC	E0M31_00035196-RA
OG0013527	ABT39_00024794-RA	E0M31_00046839-RB
OG0013528	ABT39_00036576-RB	E0M31_00070138-RA
OG0013529	ABT39_00058217-RB	E0M31_00019888-RA
OG0013532	ABT39_00074662-RB	E0M31_00025579-RA
OG0013533	ABT39_00086712-RA	E0M31_00084599-RA
OG0013534	ABT39_00095186-RA	E0M31_00078136-RA
OG0013535	ABT39_00075170-RA	E0M31_00036285-RA
OG0013536	ABT39_00051712-RA	E0M31_00003779-RA
OG0013537	ABT39_00105364-RA	E0M31_00084302-RA
OG0013538	ABT39_00039070-RB	E0M31_00039035-RA
OG0013544	ABT39_00077748-RA	E0M31_00064571-RA
OG0013545	ABT39_00079985-RB	E0M31_00056983-RB
OG0013547	ABT39_00108402-RA	E0M31_00016297-RA
OG0013550	ABT39_00090511-RA	E0M31_00026838-RA
OG0013555	ABT39_00062314-RA	E0M31_00037225-RC
OG0013556	ABT39_00067171-RA	E0M31_00064215-RA
OG0013558	ABT39_00107779-RA	E0M31_00005981-RA
OG0013560	ABT39_00014516-RB	E0M31_00000249-RB
OG0013561	ABT39_00020989-RB	E0M31_00044259-RB
OG0013563	ABT39_00047989-RA	E0M31_00062182-RA
OG0013564	ABT39_00041257-RC	E0M31_00021661-RD
OG0013565	ABT39_00008611-RA	E0M31_00005389-RD
OG0013568	ABT39_00048222-RA	E0M31_00028725-RB
OG0013570	ABT39_00020547-RA	E0M31_00035450-RA
OG0013571	ABT39_00000932-RC	E0M31_00000001-RK
OG0013572	ABT39_00025506-RA	E0M31_00030588-RA
OG0013573	ABT39_00004389-RA	E0M31_00040329-RA
OG0013574	ABT39_00031508-RA	E0M31_00092889-RA
OG0013575	ABT39_00008331-RA	E0M31_00018503-RB
OG0013576	ABT39_00042878-RA	E0M31_00019468-RA
OG0013578	ABT39_00039087-RA	E0M31_00013716-RD
OG0013579	ABT39_00086926-RA	E0M31_00053841-RA
OG0013580	ABT39_00063302-RA	E0M31_00050094-RA
OG0013581	ABT39_00025195-RA	E0M31_00006130-RA
OG0013582	ABT39_00122046-RA	E0M31_00050291-RA
OG0013583	ABT39_00036601-RA	E0M31_00028396-RA
OG0013586	ABT39_00021640-RA	E0M31_00055065-RB
OG0013588	ABT39_00025408-RA	E0M31_00083218-RA
OG0013589	ABT39_00013293-RA	E0M31_00067651-RA
OG0013590	ABT39_00028459-RC	E0M31_00054205-RB
OG0013593	ABT39_00045068-RA	E0M31_00024675-RA
OG0013594	ABT39_00020860-RA	E0M31_00019188-RA
OG0013595	ABT39_00021200-RA	E0M31_00048928-RA
OG0013597	ABT39_00019514-RB	E0M31_00010987-RD
OG0013598	ABT39_00038401-RA	E0M31_00073791-RA
OG0013599	ABT39_00096775-RA	E0M31_00071888-RA
OG0013600	ABT39_00055256-RB	E0M31_00019867-RB
OG0013601	ABT39_00084075-RA	E0M31_00081692-RA
OG0013603	ABT39_00048472-RA	E0M31_00001118-RA
OG0013604	ABT39_00015538-RC	E0M31_00008256-RB
OG0013605	ABT39_00018126-RA	E0M31_00034436-RA
OG0013606	ABT39_00018127-RA	E0M31_00012045-RC
OG0013608	ABT39_00001191-RB	E0M31_00069762-RA
OG0013609	ABT39_00060435-RA	E0M31_00031069-RA
OG0013610	ABT39_00002310-RE	E0M31_00013022-RC
OG0013611	ABT39_00014686-RA	E0M31_00014949-RA
OG0013612	ABT39_00009491-RA	E0M31_00038502-RA
OG0013614	ABT39_00050564-RE	E0M31_00025699-RA
OG0013619	ABT39_00095254-RA	E0M31_00065166-RA
OG0013621	ABT39_00031478-RB	E0M31_00004993-RB
OG0013622	ABT39_00103927-RA	E0M31_00005760-RA
OG0013623	ABT39_00039583-RB	E0M31_00006295-RC
OG0013624	ABT39_00095344-RA	E0M31_00009575-RD
OG0013625	ABT39_00080302-RA	E0M31_00062605-RA
OG0013626	ABT39_00068447-RA	E0M31_00059424-RA
OG0013627	ABT39_00084431-RA	E0M31_00046726-RA
OG0013628	ABT39_00083082-RA	E0M31_00071692-RA
OG0013629	ABT39_00087520-RA	E0M31_00073178-RA
OG0013630	ABT39_00075311-RB	E0M31_00045189-RB
OG0013631	ABT39_00056644-RD	E0M31_00037173-RB
OG0013632	ABT39_00007741-RE	E0M31_00023903-RD
OG0013634	ABT39_00037860-RA	E0M31_00076197-RA
OG0013636	ABT39_00060405-RA	E0M31_00039952-RB
OG0013639	ABT39_00049983-RA	E0M31_00019310-RD
OG0013640	ABT39_00002623-RB	E0M31_00023742-RA
OG0013642	ABT39_00011680-RA	E0M31_00008893-RA
OG0013643	ABT39_00024482-RC	E0M31_00017374-RB
OG0013644	ABT39_00033873-RA	E0M31_00047308-RA
OG0013645	ABT39_00016307-RA	E0M31_00002002-RA
OG0013646	ABT39_00054937-RA	E0M31_00059231-RA
OG0014993	ABT39_00006574-RB	E0M31_00040511-RB
OG0014998	ABT39_00020690-RA	E0M31_00046735-RA
OG0015003	ABT39_00013683-RC	E0M31_00030696-RB
OG0015005	ABT39_00023796-RA	E0M31_00022785-RB
OG0015006	ABT39_00033236-RA	E0M31_00048059-RA
OG0015009	ABT39_00046496-RA	E0M31_00078615-RA
OG0015014	ABT39_00055340-RA	E0M31_00010499-RA
OG0015015	ABT39_00047059-RA	E0M31_00029151-RA
OG0015019	ABT39_00082063-RA	E0M31_00042065-RA
OG0015020	ABT39_00062155-RA	E0M31_00026446-RA
OG0015025	ABT39_00041417-RB	E0M31_00000337-RA
OG0015027	ABT39_00083038-RA	E0M31_00027451-RA
OG0015028	ABT39_00020673-RE	E0M31_00012211-RB
OG0015034	ABT39_00057988-RA	E0M31_00040029-RA
OG0015038	ABT39_00080024-RA	E0M31_00035829-RA
OG0015040	ABT39_00005790-RA	E0M31_00065806-RA
OG0015042	ABT39_00016379-RC	E0M31_00069947-RA
OG0015043	ABT39_00043268-RA	E0M31_00036934-RA
OG0015046	ABT39_00094627-RA	E0M31_00050436-RA
OG0015047	ABT39_00100033-RA	E0M31_00054651-RA
OG0015050	ABT39_00051267-RA	E0M31_00051740-RA
OG0015052	ABT39_00047085-RA	E0M31_00033504-RA
OG0015057	ABT39_00010571-RC	E0M31_00004290-RF
OG0015059	ABT39_00004518-RA	E0M31_00018261-RB
OG0015061	ABT39_00001957-RD	E0M31_00005041-RE
OG0015062	ABT39_00015309-RA	E0M31_00035839-RA
OG0015068	ABT39_00033193-RC	E0M31_00047942-RB
OG0015073	ABT39_00062387-RB	E0M31_00044591-RB
OG0015075	ABT39_00023857-RC	E0M31_00081083-RA
OG0015077	ABT39_00104709-RA	E0M31_00020029-RA
OG0015078	ABT39_00027789-RC	E0M31_00004142-RA
OG0015081	ABT39_00083144-RA	E0M31_00048713-RA
OG0015094	ABT39_00022507-RA	E0M31_00027556-RA
OG0015095	ABT39_00042973-RA	E0M31_00074513-RA
OG0015096	ABT39_00025822-RA	E0M31_00037773-RB
OG0015109	ABT39_00044259-RA	E0M31_00073853-RA
OG0015110	ABT39_00044948-RA	E0M31_00032228-RC
OG0015112	ABT39_00041900-RB	E0M31_00033573-RB
OG0015113	ABT39_00008121-RD	E0M31_00010743-RB
OG0015116	ABT39_00035584-RB	E0M31_00038900-RA
OG0015122	ABT39_00026814-RA	E0M31_00074069-RA
OG0015126	ABT39_00003869-RA	E0M31_00040683-RB
OG0015130	ABT39_00058321-RA	E0M31_00062637-RA
OG0015132	ABT39_00086106-RA	E0M31_00064860-RA
OG0015133	ABT39_00075893-RA	E0M31_00055867-RA
OG0015137	ABT39_00029985-RA	E0M31_00030065-RB
OG0015139	ABT39_00035625-RA	E0M31_00011739-RB
OG0015148	ABT39_00051215-RC	E0M31_00023552-RA
OG0015151	ABT39_00062020-RB	E0M31_00040330-RB
OG0015152	ABT39_00029011-RB	E0M31_00044484-RB
OG0015153	ABT39_00088262-RA	E0M31_00028133-RA
OG0015155	ABT39_00008688-RA	E0M31_00005078-RA
OG0015158	ABT39_00052460-RA	E0M31_00006241-RA
OG0015161	ABT39_00092770-RA	E0M31_00066477-RA
OG0015175	ABT39_00080389-RB	E0M31_00000638-RB
OG0015177	ABT39_00096133-RA	E0M31_00070194-RA
OG0015178	ABT39_00058621-RA	E0M31_00048767-RB
OG0015181	ABT39_00085625-RA	E0M31_00022832-RA
OG0015182	ABT39_00060524-RA	E0M31_00030775-RA
OG0015185	ABT39_00061585-RD	E0M31_00033652-RA
OG0015186	ABT39_00066858-RA	E0M31_00036114-RA
OG0015190	ABT39_00059486-RA	E0M31_00037169-RB
OG0015191	ABT39_00074826-RA	E0M31_00018539-RA
OG0015196	ABT39_00082193-RA	E0M31_00051481-RA
OG0015203	ABT39_00006475-RA	E0M31_00059844-RA
OG0015210	ABT39_00056965-RA	E0M31_00092048-RA
OG0015211	ABT39_00002663-RB	E0M31_00017896-RB
OG0015218	ABT39_00106312-RA	E0M31_00018118-RA
OG0015221	ABT39_00099452-RA	E0M31_00007671-RC
OG0015222	ABT39_00078365-RA	E0M31_00050669-RA
OG0015225	ABT39_00071653-RA	E0M31_00034065-RA
OG0015229	ABT39_00091085-RA	E0M31_00057203-RA
OG0015238	ABT39_00012289-RA	E0M31_00014392-RC
OG0015239	ABT39_00122240-RA	E0M31_00002013-RA
OG0015245	ABT39_00060173-RA	E0M31_00013508-RB
OG0015247	ABT39_00006735-RA	E0M31_00072608-RA
OG0015249	ABT39_00020595-RA	E0M31_00043572-RA
OG0015253	ABT39_00011999-RB	E0M31_00037528-RB
OG0015255	ABT39_00031352-RB	E0M31_00045013-RA
OG0015259	ABT39_00035640-RA	E0M31_00035315-RA
OG0015262	ABT39_00069508-RB	E0M31_00003367-RB
OG0015270	ABT39_00084740-RA	E0M31_00018294-RA
OG0015274	ABT39_00048985-RB	E0M31_00017748-RD
OG0015276	ABT39_00105929-RA	E0M31_00005047-RA
OG0015278	ABT39_00008629-RB	E0M31_00016996-RB
OG0015280	ABT39_00003346-RA	E0M31_00051012-RA
OG0015281	ABT39_00006626-RG	E0M31_00014366-RF
OG0015283	ABT39_00024226-RA	E0M31_00028051-RB
OG0015286	ABT39_00066208-RB	E0M31_00023484-RA
OG0015293	ABT39_00025436-RB	E0M31_00022865-RB
OG0015297	ABT39_00004562-RC	E0M31_00004837-RA
OG0015299	ABT39_00042904-RA	E0M31_00002058-RC
OG0015303	ABT39_00068314-RA	E0M31_00050055-RA
OG0015305	ABT39_00057445-RA	E0M31_00082821-RA
OG0015317	ABT39_00000546-RD	E0M31_00005912-RB
OG0015318	ABT39_00060988-RA	E0M31_00013038-RA
OG0015319	ABT39_00012704-RB	E0M31_00035556-RA
OG0015328	ABT39_00049518-RA	E0M31_00034702-RB
OG0015329	ABT39_00016319-RB	E0M31_00009040-RA
OG0015331	ABT39_00019786-RA	E0M31_00061621-RA
OG0015335	ABT39_00092817-RA	E0M31_00015414-RB
OG0015337	ABT39_00064408-RA	E0M31_00034880-RA
OG0015338	ABT39_00094708-RA	E0M31_00002048-RA
OG0015341	ABT39_00015762-RA	E0M31_00067388-RA
