OG0012315	DB47_00014285-RA	ABT39_00035779-RB
OG0013161	DB47_00044610-RA	ABT39_00013562-RA
OG0013162	DB47_00027745-RB	ABT39_00010405-RB
OG0013164	DB47_00001630-RA	ABT39_00071501-RA
OG0013165	DB47_00059668-RA	ABT39_00099043-RA
OG0013166	DB47_00018236-RB	ABT39_00058267-RB
OG0013168	DB47_00000119-RB	ABT39_00027378-RC
OG0013171	DB47_00050710-RA	ABT39_00062947-RA
OG0013175	DB47_00013314-RA	ABT39_00090490-RA
OG0013176	DB47_00069648-RA	ABT39_00080725-RA
OG0013178	DB47_00065640-RA	ABT39_00088914-RA
OG0013179	DB47_00007909-RA	ABT39_00041311-RA
OG0013181	DB47_00004664-RA	ABT39_00034397-RA
OG0013183	DB47_00000541-RA	ABT39_00031851-RA
OG0013184	DB47_00001890-RC	ABT39_00004232-RC
OG0013185	DB47_00006452-RB	ABT39_00023280-RA
OG0013186	DB47_00057535-RA	ABT39_00006398-RA
OG0013187	DB47_00042084-RA	ABT39_00066937-RA
OG0013193	DB47_00007269-RB	ABT39_00050457-RB
OG0013194	DB47_00023817-RA	ABT39_00056233-RA
OG0013195	DB47_00016606-RA	ABT39_00009966-RA
OG0013196	DB47_00019790-RA	ABT39_00057793-RA
OG0013198	DB47_00016361-RB	ABT39_00032738-RC
OG0013200	DB47_00001006-RA	ABT39_00015447-RC
OG0013201	DB47_00001005-RA	ABT39_00015448-RA
OG0013202	DB47_00020627-RB	ABT39_00035817-RC
OG0013204	DB47_00000600-RB	ABT39_00015589-RA
OG0013205	DB47_00010047-RA	ABT39_00015588-RA
OG0013206	DB47_00061325-RA	ABT39_00034671-RB
OG0013207	DB47_00013736-RA	ABT39_00008334-RB
OG0013208	DB47_00004391-RC	ABT39_00014235-RA
OG0013210	DB47_00044444-RA	ABT39_00036536-RA
OG0013212	DB47_00040710-RA	ABT39_00075442-RA
OG0013213	DB47_00003545-RA	ABT39_00091393-RA
OG0013215	DB47_00034461-RA	ABT39_00056776-RA
OG0013218	DB47_00055933-RA	ABT39_00116684-RA
OG0013219	DB47_00001632-RA	ABT39_00110202-RA
OG0013220	DB47_00006793-RA	ABT39_00023654-RA
OG0013221	DB47_00040272-RA	ABT39_00020675-RA
OG0013223	DB47_00009654-RA	ABT39_00011796-RA
OG0013225	DB47_00004119-RA	ABT39_00035790-RA
OG0013226	DB47_00029666-RA	ABT39_00050709-RA
OG0013227	DB47_00027229-RB	ABT39_00040000-RA
OG0013230	DB47_00011607-RA	ABT39_00008814-RA
OG0013232	DB47_00053870-RA	ABT39_00029417-RA
OG0013233	DB47_00041434-RA	ABT39_00067918-RA
OG0013237	DB47_00044183-RA	ABT39_00076226-RA
OG0013241	DB47_00022830-RC	ABT39_00027245-RB
OG0013242	DB47_00007686-RC	ABT39_00002489-RC
OG0013243	DB47_00049642-RA	ABT39_00088750-RA
OG0013244	DB47_00034322-RB	ABT39_00080923-RB
OG0013246	DB47_00017730-RA	ABT39_00067192-RA
OG0013248	DB47_00019674-RA	ABT39_00060437-RA
OG0013249	DB47_00035085-RB	ABT39_00039347-RA
OG0013250	DB47_00039537-RA	ABT39_00035866-RA
OG0013251	DB47_00069148-RA	ABT39_00079251-RA
OG0013252	DB47_00043108-RA	ABT39_00042108-RA
OG0013254	DB47_00002706-RC	ABT39_00018607-RB
OG0013256	DB47_00029996-RA	ABT39_00040755-RA
OG0013261	DB47_00058580-RA	ABT39_00013720-RA
OG0013263	DB47_00008100-RA	ABT39_00089219-RA
OG0013265	DB47_00024009-RA	ABT39_00018569-RC
OG0013266	DB47_00010523-RA	ABT39_00076090-RA
OG0013267	DB47_00035742-RA	ABT39_00032706-RA
OG0013268	DB47_00002846-RC	ABT39_00020144-RB
OG0013269	DB47_00023472-RA	ABT39_00038022-RB
OG0013271	DB47_00018393-RA	ABT39_00070138-RA
OG0013274	DB47_00055767-RA	ABT39_00045258-RA
OG0013275	DB47_00057588-RA	ABT39_00093379-RA
OG0013276	DB47_00046020-RA	ABT39_00048711-RB
OG0013277	DB47_00050355-RA	ABT39_00069682-RA
OG0013278	DB47_00026663-RA	ABT39_00011072-RB
OG0013282	DB47_00068683-RA	ABT39_00094403-RA
OG0013284	DB47_00017755-RD	ABT39_00007417-RG
OG0013285	DB47_00029786-RA	ABT39_00008934-RA
OG0013286	DB47_00025525-RA	ABT39_00070110-RA
OG0013288	DB47_00026359-RA	ABT39_00022767-RA
OG0013294	DB47_00004417-RB	ABT39_00001329-RG
OG0013295	DB47_00010181-RA	ABT39_00010652-RB
OG0013296	DB47_00033894-RA	ABT39_00017966-RA
OG0013299	DB47_00036774-RA	ABT39_00014144-RB
OG0013301	DB47_00006148-RA	ABT39_00058637-RA
OG0013303	DB47_00078713-RA	ABT39_00121821-RA
OG0013304	DB47_00003364-RA	ABT39_00001178-RA
OG0013306	DB47_00020460-RA	ABT39_00031795-RA
OG0013307	DB47_00065477-RA	ABT39_00019550-RA
OG0013310	DB47_00012617-RA	ABT39_00002721-RA
OG0013312	DB47_00074222-RA	ABT39_00098814-RA
OG0013313	DB47_00022302-RA	ABT39_00032014-RA
OG0013315	DB47_00037789-RA	ABT39_00025880-RA
OG0013318	DB47_00001306-RB	ABT39_00011127-RE
OG0013322	DB47_00059753-RA	ABT39_00032283-RA
OG0013323	DB47_00051183-RA	ABT39_00029912-RA
OG0013325	DB47_00019274-RA	ABT39_00058050-RA
OG0013327	DB47_00003651-RB	ABT39_00013124-RA
OG0013328	DB47_00004610-RA	ABT39_00066788-RB
OG0013329	DB47_00027761-RA	ABT39_00039362-RA
OG0013330	DB47_00013631-RC	ABT39_00014801-RC
OG0013332	DB47_00022312-RA	ABT39_00048948-RA
OG0013333	DB47_00011121-RA	ABT39_00045821-RA
OG0013335	DB47_00025188-RA	ABT39_00043205-RA
OG0013336	DB47_00048420-RA	ABT39_00069777-RA
OG0013337	DB47_00055606-RA	ABT39_00055536-RA
OG0013338	DB47_00004283-RB	ABT39_00009992-RC
OG0013339	DB47_00043408-RA	ABT39_00047588-RA
OG0013340	DB47_00038777-RA	ABT39_00026118-RA
OG0013344	DB47_00009029-RC	ABT39_00024605-RA
OG0013346	DB47_00009183-RA	ABT39_00059728-RA
OG0013347	DB47_00044138-RA	ABT39_00061393-RB
OG0013348	DB47_00035444-RA	ABT39_00097241-RA
OG0013349	DB47_00024728-RA	ABT39_00090626-RA
OG0013350	DB47_00007908-RB	ABT39_00030680-RB
OG0013352	DB47_00000784-RA	ABT39_00073181-RA
OG0013355	DB47_00042290-RA	ABT39_00010118-RB
OG0013357	DB47_00020578-RA	ABT39_00013356-RA
OG0013359	DB47_00012385-RA	ABT39_00040923-RB
OG0013361	DB47_00048280-RA	ABT39_00077113-RA
OG0013362	DB47_00056211-RA	ABT39_00058030-RD
OG0013364	DB47_00068149-RA	ABT39_00024028-RA
OG0013365	DB47_00024593-RA	ABT39_00054454-RB
OG0013366	DB47_00001291-RC	ABT39_00008024-RA
OG0013367	DB47_00055870-RA	ABT39_00013787-RA
OG0013369	DB47_00061739-RA	ABT39_00008804-RA
OG0013370	DB47_00056686-RA	ABT39_00016564-RA
OG0013371	DB47_00026231-RA	ABT39_00070014-RA
OG0013372	DB47_00015551-RA	ABT39_00062356-RA
OG0013374	DB47_00042288-RA	ABT39_00060735-RB
OG0013375	DB47_00052924-RA	ABT39_00012838-RA
OG0013376	DB47_00022612-RA	ABT39_00055929-RB
OG0013379	DB47_00014558-RB	ABT39_00011553-RA
OG0013380	DB47_00030876-RA	ABT39_00034777-RB
OG0013381	DB47_00048881-RA	ABT39_00026147-RA
OG0013383	DB47_00020365-RA	ABT39_00105372-RA
OG0013384	DB47_00015231-RA	ABT39_00044987-RA
OG0013385	DB47_00015232-RA	ABT39_00044988-RA
OG0013386	DB47_00015352-RA	ABT39_00097819-RA
OG0013388	DB47_00043768-RB	ABT39_00045052-RC
OG0013389	DB47_00022088-RB	ABT39_00104868-RA
OG0013390	DB47_00044686-RA	ABT39_00073631-RA
OG0013394	DB47_00007593-RA	ABT39_00013166-RA
OG0013397	DB47_00006995-RA	ABT39_00022417-RA
OG0013398	DB47_00053936-RA	ABT39_00007494-RA
OG0013399	DB47_00008193-RA	ABT39_00007492-RA
OG0013401	DB47_00037066-RA	ABT39_00016488-RA
OG0013403	DB47_00033120-RB	ABT39_00006484-RB
OG0013404	DB47_00020336-RA	ABT39_00053293-RA
OG0013405	DB47_00006018-RA	ABT39_00021757-RA
OG0013406	DB47_00059180-RA	ABT39_00013950-RA
OG0013407	DB47_00006758-RC	ABT39_00003932-RF
OG0013408	DB47_00006759-RA	ABT39_00003933-RA
OG0013409	DB47_00019642-RA	ABT39_00007197-RB
OG0013410	DB47_00026777-RA	ABT39_00022431-RA
OG0013411	DB47_00027991-RA	ABT39_00023411-RA
OG0013412	DB47_00012899-RC	ABT39_00004731-RC
OG0013413	DB47_00029893-RA	ABT39_00043495-RA
OG0013415	DB47_00004790-RC	ABT39_00033348-RC
OG0013416	DB47_00007988-RB	ABT39_00018534-RB
OG0013417	DB47_00046760-RA	ABT39_00070497-RB
OG0013418	DB47_00016175-RB	ABT39_00069479-RA
OG0013419	DB47_00010471-RA	ABT39_00025006-RD
OG0013421	DB47_00037392-RA	ABT39_00100254-RA
OG0013422	DB47_00012261-RA	ABT39_00056935-RA
OG0013423	DB47_00035972-RA	ABT39_00041165-RA
OG0013424	DB47_00078223-RA	ABT39_00119939-RA
OG0013425	DB47_00022006-RA	ABT39_00050083-RA
OG0013426	DB47_00029099-RA	ABT39_00055574-RA
OG0013427	DB47_00032000-RA	ABT39_00104569-RA
OG0013430	DB47_00058114-RA	ABT39_00074238-RA
OG0013432	DB47_00071910-RA	ABT39_00078925-RA
OG0013434	DB47_00031351-RB	ABT39_00065855-RA
OG0013436	DB47_00022882-RA	ABT39_00061213-RA
OG0013437	DB47_00063588-RA	ABT39_00088635-RA
OG0013439	DB47_00021508-RA	ABT39_00014547-RC
OG0013441	DB47_00062209-RA	ABT39_00082837-RA
OG0013445	DB47_00021341-RD	ABT39_00029856-RA
OG0013446	DB47_00077171-RA	ABT39_00082337-RA
OG0013448	DB47_00048581-RA	ABT39_00071003-RA
OG0013449	DB47_00065573-RA	ABT39_00056330-RA
OG0013450	DB47_00016683-RA	ABT39_00037212-RC
OG0013451	DB47_00025072-RB	ABT39_00039151-RD
OG0013452	DB47_00046169-RB	ABT39_00038308-RA
OG0013453	DB47_00066021-RA	ABT39_00103409-RA
OG0013454	DB47_00000680-RA	ABT39_00095983-RA
OG0013455	DB47_00058294-RA	ABT39_00089096-RA
OG0013456	DB47_00028559-RA	ABT39_00053799-RB
OG0013458	DB47_00040267-RA	ABT39_00091347-RA
OG0013459	DB47_00051173-RA	ABT39_00102420-RA
OG0013466	DB47_00054106-RA	ABT39_00090495-RA
OG0013467	DB47_00027509-RB	ABT39_00055512-RA
OG0013468	DB47_00057415-RA	ABT39_00010391-RB
OG0013470	DB47_00044501-RB	ABT39_00018936-RA
OG0013471	DB47_00008798-RA	ABT39_00082379-RA
OG0013472	DB47_00010031-RA	ABT39_00027926-RA
OG0013474	DB47_00005084-RA	ABT39_00081907-RA
OG0013475	DB47_00012267-RC	ABT39_00039706-RC
OG0013476	DB47_00012045-RA	ABT39_00060295-RB
OG0013477	DB47_00068442-RA	ABT39_00030582-RC
OG0013478	DB47_00039525-RB	ABT39_00047882-RA
OG0013482	DB47_00011651-RA	ABT39_00075379-RA
OG0013483	DB47_00046831-RB	ABT39_00083635-RA
OG0013484	DB47_00054165-RA	ABT39_00036506-RB
OG0013485	DB47_00030038-RB	ABT39_00066379-RB
OG0013486	DB47_00012626-RE	ABT39_00020802-RD
OG0013488	DB47_00033461-RA	ABT39_00012579-RB
OG0013490	DB47_00029005-RA	ABT39_00086398-RA
OG0013492	DB47_00016398-RA	ABT39_00036577-RB
OG0013495	DB47_00034139-RB	ABT39_00036202-RB
OG0013496	DB47_00029373-RA	ABT39_00072080-RA
OG0013498	DB47_00062992-RA	ABT39_00054839-RB
OG0013499	DB47_00060301-RA	ABT39_00015003-RA
OG0013501	DB47_00023705-RA	ABT39_00015498-RD
OG0013502	DB47_00007814-RE	ABT39_00039298-RA
OG0013503	DB47_00018823-RD	ABT39_00006426-RI
OG0013505	DB47_00022409-RA	ABT39_00018856-RA
OG0013506	DB47_00028791-RB	ABT39_00000853-RB
OG0013507	DB47_00027197-RB	ABT39_00002931-RA
OG0013510	DB47_00020437-RA	ABT39_00033913-RB
OG0013511	DB47_00010000-RA	ABT39_00028003-RB
OG0013512	DB47_00000109-RA	ABT39_00103483-RA
OG0013513	DB47_00046691-RB	ABT39_00094420-RA
OG0013514	DB47_00036012-RA	ABT39_00024971-RD
OG0013517	DB47_00024974-RA	ABT39_00083171-RA
OG0013519	DB47_00029111-RA	ABT39_00014229-RA
OG0013520	DB47_00004538-RA	ABT39_00006980-RA
OG0013523	DB47_00058653-RA	ABT39_00071809-RA
OG0013524	DB47_00028789-RC	ABT39_00001563-RB
OG0013525	DB47_00001418-RA	ABT39_00003113-RA
OG0013527	DB47_00003081-RA	ABT39_00024794-RA
OG0013528	DB47_00063907-RA	ABT39_00036576-RB
OG0013532	DB47_00046876-RA	ABT39_00074662-RB
OG0013533	DB47_00043264-RA	ABT39_00086712-RA
OG0013534	DB47_00053798-RA	ABT39_00095186-RA
OG0013535	DB47_00002681-RA	ABT39_00075170-RA
OG0013536	DB47_00024336-RB	ABT39_00051712-RA
OG0013538	DB47_00018145-RA	ABT39_00039070-RB
OG0013541	DB47_00021879-RA	ABT39_00105197-RA
OG0013543	DB47_00044393-RA	ABT39_00052196-RB
OG0013544	DB47_00044763-RA	ABT39_00077748-RA
OG0013545	DB47_00047257-RB	ABT39_00079985-RB
OG0013550	DB47_00058127-RA	ABT39_00090511-RA
OG0013555	DB47_00029121-RB	ABT39_00062314-RA
OG0013556	DB47_00056022-RA	ABT39_00067171-RA
OG0013558	DB47_00071176-RA	ABT39_00107779-RA
OG0013561	DB47_00021480-RD	ABT39_00020989-RB
OG0013562	DB47_00071800-RA	ABT39_00082494-RA
OG0013563	DB47_00025332-RA	ABT39_00047989-RA
OG0013564	DB47_00020331-RC	ABT39_00041257-RC
OG0013568	DB47_00023871-RC	ABT39_00048222-RA
OG0013570	DB47_00024295-RC	ABT39_00020547-RA
OG0013572	DB47_00038710-RA	ABT39_00025506-RA
OG0013573	DB47_00035035-RA	ABT39_00004389-RA
OG0013575	DB47_00006746-RB	ABT39_00008331-RA
OG0013576	DB47_00020649-RB	ABT39_00042878-RA
OG0013578	DB47_00042965-RB	ABT39_00039087-RA
OG0013579	DB47_00004032-RA	ABT39_00086926-RA
OG0013580	DB47_00026681-RB	ABT39_00063302-RA
OG0013581	DB47_00034575-RA	ABT39_00025195-RA
OG0013583	DB47_00002731-RA	ABT39_00036601-RA
OG0013584	DB47_00032278-RA	ABT39_00062695-RA
OG0013585	DB47_00056655-RA	ABT39_00070952-RB
OG0013586	DB47_00061115-RA	ABT39_00021640-RA
OG0013588	DB47_00041461-RA	ABT39_00025408-RA
OG0013589	DB47_00006319-RA	ABT39_00013293-RA
OG0013590	DB47_00013377-RA	ABT39_00028459-RC
OG0013595	DB47_00020149-RA	ABT39_00021200-RA
OG0013597	DB47_00030370-RB	ABT39_00019514-RB
OG0013598	DB47_00028583-RA	ABT39_00038401-RA
OG0013599	DB47_00062914-RA	ABT39_00096775-RA
OG0013600	DB47_00049797-RA	ABT39_00055256-RB
OG0013601	DB47_00027059-RA	ABT39_00084075-RA
OG0013603	DB47_00009725-RA	ABT39_00048472-RA
OG0013604	DB47_00006879-RF	ABT39_00015538-RC
OG0013605	DB47_00032626-RA	ABT39_00018126-RA
OG0013606	DB47_00018855-RB	ABT39_00018127-RA
OG0013608	DB47_00005001-RA	ABT39_00001191-RB
OG0013609	DB47_00033130-RA	ABT39_00060435-RA
OG0013610	DB47_00010978-RG	ABT39_00002310-RE
OG0013611	DB47_00073234-RA	ABT39_00014686-RA
OG0013613	DB47_00016051-RA	ABT39_00091390-RA
OG0013614	DB47_00036623-RA	ABT39_00050564-RE
OG0013615	DB47_00022407-RA	ABT39_00085633-RA
OG0013619	DB47_00029866-RA	ABT39_00095254-RA
OG0013621	DB47_00039556-RA	ABT39_00031478-RB
OG0013622	DB47_00028465-RA	ABT39_00103927-RA
OG0013623	DB47_00003379-RC	ABT39_00039583-RB
OG0013624	DB47_00041859-RA	ABT39_00095344-RA
OG0013626	DB47_00001864-RA	ABT39_00068447-RA
OG0013627	DB47_00019513-RB	ABT39_00084431-RA
OG0013628	DB47_00057371-RA	ABT39_00083082-RA
OG0013629	DB47_00059350-RA	ABT39_00087520-RA
OG0013630	DB47_00020162-RA	ABT39_00075311-RB
OG0013631	DB47_00030704-RD	ABT39_00056644-RD
OG0013632	DB47_00044665-RB	ABT39_00007741-RE
OG0013634	DB47_00067664-RA	ABT39_00037860-RA
OG0013636	DB47_00047274-RB	ABT39_00060405-RA
OG0013637	DB47_00057500-RA	ABT39_00050487-RA
OG0013639	DB47_00009181-RB	ABT39_00049983-RA
OG0013640	DB47_00017116-RB	ABT39_00002623-RB
OG0013642	DB47_00007113-RA	ABT39_00011680-RA
OG0013643	DB47_00014346-RC	ABT39_00024482-RC
OG0013644	DB47_00037168-RA	ABT39_00033873-RA
OG0013645	DB47_00023693-RA	ABT39_00016307-RA
OG0013647	DB47_00005117-RC	ABT39_00064407-RB
OG0014994	DB47_00064941-RA	ABT39_00022566-RA
OG0014995	DB47_00010972-RA	ABT39_00062585-RA
OG0014996	DB47_00009128-RA	ABT39_00020929-RA
OG0014999	DB47_00056606-RA	ABT39_00011087-RA
OG0015000	DB47_00063841-RA	ABT39_00018368-RA
OG0015001	DB47_00046094-RA	ABT39_00008436-RA
OG0015002	DB47_00044717-RA	ABT39_00055853-RA
OG0015007	DB47_00006349-RA	ABT39_00062204-RA
OG0015008	DB47_00006351-RA	ABT39_00062203-RA
OG0015010	DB47_00008780-RA	ABT39_00028973-RA
OG0015011	DB47_00004257-RA	ABT39_00007538-RA
OG0015012	DB47_00022847-RA	ABT39_00031077-RA
OG0015013	DB47_00015778-RB	ABT39_00004050-RA
OG0015016	DB47_00016201-RC	ABT39_00024479-RB
OG0015017	DB47_00015104-RA	ABT39_00070823-RA
OG0015018	DB47_00057891-RB	ABT39_00077194-RA
OG0015021	DB47_00032491-RA	ABT39_00057800-RA
OG0015022	DB47_00055491-RA	ABT39_00091382-RA
OG0015024	DB47_00024557-RA	ABT39_00042813-RD
OG0015026	DB47_00019655-RA	ABT39_00037496-RA
OG0015029	DB47_00009813-RD	ABT39_00007078-RB
OG0015033	DB47_00016604-RD	ABT39_00034240-RB
OG0015036	DB47_00049039-RA	ABT39_00023805-RG
OG0015037	DB47_00025586-RB	ABT39_00042255-RB
OG0015041	DB47_00063364-RA	ABT39_00040643-RA
OG0015044	DB47_00037859-RB	ABT39_00050741-RA
OG0015048	DB47_00037068-RA	ABT39_00078638-RA
OG0015053	DB47_00002916-RC	ABT39_00001847-RB
OG0015054	DB47_00018134-RA	ABT39_00026212-RB
OG0015055	DB47_00018861-RA	ABT39_00006055-RC
OG0015056	DB47_00007927-RA	ABT39_00010086-RA
OG0015058	DB47_00003143-RE	ABT39_00003588-RA
OG0015060	DB47_00044639-RA	ABT39_00031949-RA
OG0015063	DB47_00008047-RC	ABT39_00001079-RF
OG0015064	DB47_00056876-RA	ABT39_00014273-RB
OG0015066	DB47_00009041-RB	ABT39_00009768-RB
OG0015070	DB47_00018555-RA	ABT39_00011842-RA
OG0015071	DB47_00019423-RA	ABT39_00050665-RA
OG0015072	DB47_00017496-RA	ABT39_00000524-RD
OG0015074	DB47_00019214-RB	ABT39_00062152-RB
OG0015076	DB47_00050791-RA	ABT39_00028088-RD
OG0015079	DB47_00030172-RA	ABT39_00079888-RA
OG0015082	DB47_00030575-RA	ABT39_00000726-RE
OG0015083	DB47_00045034-RA	ABT39_00092252-RA
OG0015084	DB47_00070516-RA	ABT39_00083791-RA
OG0015085	DB47_00001403-RA	ABT39_00054566-RA
OG0015086	DB47_00024258-RA	ABT39_00092331-RA
OG0015087	DB47_00011471-RD	ABT39_00022666-RF
OG0015088	DB47_00038838-RA	ABT39_00052008-RA
OG0015089	DB47_00033327-RB	ABT39_00032500-RC
OG0015091	DB47_00011862-RA	ABT39_00102624-RA
OG0015092	DB47_00020490-RC	ABT39_00031847-RE
OG0015093	DB47_00005128-RA	ABT39_00002953-RA
OG0015097	DB47_00042915-RA	ABT39_00008184-RA
OG0015099	DB47_00000598-RB	ABT39_00000263-RA
OG0015102	DB47_00047702-RA	ABT39_00011563-RA
OG0015103	DB47_00001430-RJ	ABT39_00009280-RF
OG0015104	DB47_00036108-RB	ABT39_00041420-RA
OG0015105	DB47_00049332-RA	ABT39_00094081-RA
OG0015106	DB47_00003116-RA	ABT39_00080467-RA
OG0015107	DB47_00068122-RA	ABT39_00047028-RA
OG0015111	DB47_00018372-RD	ABT39_00029555-RC
OG0015114	DB47_00018706-RA	ABT39_00092248-RA
OG0015115	DB47_00021779-RA	ABT39_00007304-RA
OG0015117	DB47_00072584-RA	ABT39_00010097-RA
OG0015118	DB47_00002815-RB	ABT39_00007232-RD
OG0015119	DB47_00002818-RA	ABT39_00007231-RC
OG0015121	DB47_00005362-RA	ABT39_00023903-RD
OG0015123	DB47_00028376-RA	ABT39_00048467-RA
OG0015125	DB47_00001710-RA	ABT39_00007557-RB
OG0015128	DB47_00002509-RA	ABT39_00005749-RD
OG0015129	DB47_00064974-RA	ABT39_00005747-RA
OG0015134	DB47_00042959-RA	ABT39_00061946-RA
OG0015135	DB47_00030943-RA	ABT39_00076635-RA
OG0015136	DB47_00013617-RF	ABT39_00011992-RD
OG0015138	DB47_00028792-RD	ABT39_00026185-RE
OG0015140	DB47_00044042-RA	ABT39_00011639-RB
OG0015141	DB47_00003802-RA	ABT39_00024586-RA
OG0015142	DB47_00049673-RB	ABT39_00003370-RA
OG0015143	DB47_00015139-RA	ABT39_00013978-RA
OG0015144	DB47_00054016-RA	ABT39_00026132-RA
OG0015145	DB47_00033891-RA	ABT39_00047079-RA
OG0015146	DB47_00024186-RA	ABT39_00045824-RA
OG0015147	DB47_00037012-RA	ABT39_00014387-RA
OG0015149	DB47_00045792-RB	ABT39_00064986-RA
OG0015154	DB47_00054345-RA	ABT39_00038218-RA
OG0015157	DB47_00024875-RA	ABT39_00001046-RA
OG0015162	DB47_00014551-RA	ABT39_00070144-RA
OG0015163	DB47_00007115-RA	ABT39_00091989-RA
OG0015165	DB47_00045134-RA	ABT39_00105705-RA
OG0015169	DB47_00062813-RA	ABT39_00044156-RB
OG0015170	DB47_00040432-RB	ABT39_00045571-RB
OG0015171	DB47_00029337-RA	ABT39_00103149-RA
OG0015172	DB47_00000133-RC	ABT39_00057498-RA
OG0015173	DB47_00008007-RB	ABT39_00093151-RA
OG0015174	DB47_00010197-RA	ABT39_00115600-RA
OG0015179	DB47_00024029-RE	ABT39_00055183-RB
OG0015180	DB47_00061571-RA	ABT39_00094301-RA
OG0015183	DB47_00020979-RB	ABT39_00064194-RA
OG0015184	DB47_00012015-RA	ABT39_00065723-RA
OG0015187	DB47_00021898-RA	ABT39_00052746-RA
OG0015189	DB47_00003305-RA	ABT39_00027630-RA
OG0015192	DB47_00018006-RA	ABT39_00067734-RA
OG0015193	DB47_00024098-RA	ABT39_00022042-RA
OG0015194	DB47_00005590-RB	ABT39_00012363-RB
OG0015195	DB47_00010662-RF	ABT39_00010999-RG
OG0015197	DB47_00052834-RA	ABT39_00032065-RA
OG0015198	DB47_00016087-RB	ABT39_00042315-RA
OG0015199	DB47_00000299-RJ	ABT39_00002631-RB
OG0015201	DB47_00001075-RB	ABT39_00026077-RB
OG0015202	DB47_00016156-RA	ABT39_00016208-RB
OG0015204	DB47_00005065-RC	ABT39_00006479-RB
OG0015205	DB47_00049728-RA	ABT39_00003308-RA
OG0015206	DB47_00049729-RA	ABT39_00003307-RB
OG0015208	DB47_00032155-RA	ABT39_00028894-RA
OG0015213	DB47_00026157-RD	ABT39_00061763-RC
OG0015215	DB47_00029449-RA	ABT39_00087078-RB
OG0015216	DB47_00006142-RA	ABT39_00031392-RA
OG0015217	DB47_00006143-RB	ABT39_00031393-RB
OG0015220	DB47_00040111-RB	ABT39_00082555-RA
OG0015224	DB47_00064343-RA	ABT39_00027836-RA
OG0015226	DB47_00038530-RB	ABT39_00066306-RA
OG0015228	DB47_00029606-RC	ABT39_00066890-RA
OG0015230	DB47_00036098-RA	ABT39_00044753-RA
OG0015231	DB47_00035441-RA	ABT39_00043548-RA
OG0015232	DB47_00017338-RA	ABT39_00090410-RA
OG0015233	DB47_00009221-RD	ABT39_00072574-RA
OG0015234	DB47_00011907-RA	ABT39_00062095-RB
OG0015235	DB47_00041511-RA	ABT39_00052721-RA
OG0015236	DB47_00041284-RA	ABT39_00059369-RA
OG0015237	DB47_00032196-RC	ABT39_00012293-RB
OG0015240	DB47_00006355-RI	ABT39_00009477-RB
OG0015241	DB47_00028480-RA	ABT39_00096964-RA
OG0015244	DB47_00028726-RA	ABT39_00048582-RA
OG0015246	DB47_00033737-RA	ABT39_00006733-RG
OG0015248	DB47_00009438-RB	ABT39_00008414-RB
OG0015250	DB47_00032191-RC	ABT39_00051842-RA
OG0015251	DB47_00003612-RA	ABT39_00004003-RA
OG0015252	DB47_00018358-RA	ABT39_00019510-RC
OG0015256	DB47_00024333-RC	ABT39_00003692-RA
OG0015258	DB47_00036154-RB	ABT39_00098169-RA
OG0015260	DB47_00022718-RB	ABT39_00013040-RB
OG0015261	DB47_00070881-RA	ABT39_00108981-RA
OG0015263	DB47_00051203-RB	ABT39_00108178-RA
OG0015267	DB47_00010122-RD	ABT39_00026139-RB
OG0015271	DB47_00027178-RA	ABT39_00029039-RC
OG0015275	DB47_00050731-RB	ABT39_00063122-RA
OG0015277	DB47_00007544-RA	ABT39_00108738-RA
OG0015279	DB47_00050859-RB	ABT39_00011118-RB
OG0015282	DB47_00002966-RA	ABT39_00041871-RA
OG0015284	DB47_00007039-RA	ABT39_00039885-RA
OG0015285	DB47_00034801-RA	ABT39_00095817-RA
OG0015287	DB47_00022932-RA	ABT39_00116915-RA
OG0015288	DB47_00033745-RB	ABT39_00048442-RB
OG0015289	DB47_00038191-RA	ABT39_00073706-RA
OG0015290	DB47_00015766-RA	ABT39_00065574-RA
OG0015292	DB47_00000679-RD	ABT39_00015253-RD
OG0015294	DB47_00005216-RB	ABT39_00022586-RA
OG0015296	DB47_00034451-RA	ABT39_00071294-RA
OG0015298	DB47_00017019-RA	ABT39_00044758-RA
OG0015302	DB47_00000383-RA	ABT39_00002678-RA
OG0015306	DB47_00005400-RA	ABT39_00021119-RA
OG0015307	DB47_00005398-RA	ABT39_00021117-RA
OG0015309	DB47_00054331-RA	ABT39_00054891-RA
OG0015311	DB47_00034202-RA	ABT39_00058430-RA
OG0015313	DB47_00028740-RA	ABT39_00003217-RA
OG0015314	DB47_00028922-RB	ABT39_00003636-RA
OG0015320	DB47_00000085-RA	ABT39_00000019-RD
OG0015321	DB47_00009984-RB	ABT39_00000029-RB
OG0015323	DB47_00007683-RB	ABT39_00035912-RB
OG0015324	DB47_00025428-RA	ABT39_00030861-RA
OG0015325	DB47_00036613-RA	ABT39_00023016-RB
OG0015326	DB47_00016489-RF	ABT39_00037120-RB
OG0015327	DB47_00036765-RA	ABT39_00068234-RA
OG0015332	DB47_00018012-RA	ABT39_00029426-RB
OG0015333	DB47_00033436-RA	ABT39_00030851-RC
OG0015340	DB47_00039934-RA	ABT39_00014811-RA
OG0015343	DB47_00005701-RA	ABT39_00002989-RA
OG0015344	DB47_00019226-RB	ABT39_00012335-RC
