OG0012315	ABT39_00035779-RB	DB47_00014285-RA
OG0013161	ABT39_00013562-RA	DB47_00044610-RA
OG0013162	ABT39_00010405-RB	DB47_00027745-RB
OG0013164	ABT39_00071501-RA	DB47_00001630-RA
OG0013165	ABT39_00099043-RA	DB47_00059668-RA
OG0013166	ABT39_00058267-RB	DB47_00018236-RB
OG0013168	ABT39_00027378-RC	DB47_00000119-RB
OG0013171	ABT39_00062947-RA	DB47_00050710-RA
OG0013175	ABT39_00090490-RA	DB47_00013314-RA
OG0013176	ABT39_00080725-RA	DB47_00069648-RA
OG0013178	ABT39_00088914-RA	DB47_00065640-RA
OG0013179	ABT39_00041311-RA	DB47_00007909-RA
OG0013181	ABT39_00034397-RA	DB47_00004664-RA
OG0013183	ABT39_00031851-RA	DB47_00000541-RA
OG0013184	ABT39_00004232-RC	DB47_00001890-RC
OG0013185	ABT39_00023280-RA	DB47_00006452-RB
OG0013186	ABT39_00006398-RA	DB47_00057535-RA
OG0013187	ABT39_00066937-RA	DB47_00042084-RA
OG0013193	ABT39_00050457-RB	DB47_00007269-RB
OG0013194	ABT39_00056233-RA	DB47_00023817-RA
OG0013195	ABT39_00009966-RA	DB47_00016606-RA
OG0013196	ABT39_00057793-RA	DB47_00019790-RA
OG0013198	ABT39_00032738-RC	DB47_00016361-RB
OG0013200	ABT39_00015447-RC	DB47_00001006-RA
OG0013201	ABT39_00015448-RA	DB47_00001005-RA
OG0013202	ABT39_00035817-RC	DB47_00020627-RB
OG0013204	ABT39_00015589-RA	DB47_00000600-RB
OG0013205	ABT39_00015588-RA	DB47_00010047-RA
OG0013206	ABT39_00034671-RB	DB47_00061325-RA
OG0013207	ABT39_00008334-RB	DB47_00013736-RA
OG0013208	ABT39_00014235-RA	DB47_00004391-RC
OG0013210	ABT39_00036536-RA	DB47_00044444-RA
OG0013212	ABT39_00075442-RA	DB47_00040710-RA
OG0013213	ABT39_00091393-RA	DB47_00003545-RA
OG0013215	ABT39_00056776-RA	DB47_00034461-RA
OG0013218	ABT39_00116684-RA	DB47_00055933-RA
OG0013219	ABT39_00110202-RA	DB47_00001632-RA
OG0013220	ABT39_00023654-RA	DB47_00006793-RA
OG0013221	ABT39_00020675-RA	DB47_00040272-RA
OG0013223	ABT39_00011796-RA	DB47_00009654-RA
OG0013225	ABT39_00035790-RA	DB47_00004119-RA
OG0013226	ABT39_00050709-RA	DB47_00029666-RA
OG0013227	ABT39_00040000-RA	DB47_00027229-RB
OG0013230	ABT39_00008814-RA	DB47_00011607-RA
OG0013232	ABT39_00029417-RA	DB47_00053870-RA
OG0013233	ABT39_00067918-RA	DB47_00041434-RA
OG0013237	ABT39_00076226-RA	DB47_00044183-RA
OG0013241	ABT39_00027245-RB	DB47_00022830-RC
OG0013242	ABT39_00002489-RC	DB47_00007686-RC
OG0013243	ABT39_00088750-RA	DB47_00049642-RA
OG0013244	ABT39_00080923-RB	DB47_00034322-RB
OG0013246	ABT39_00067192-RA	DB47_00017730-RA
OG0013248	ABT39_00060437-RA	DB47_00019674-RA
OG0013249	ABT39_00039347-RA	DB47_00035085-RB
OG0013250	ABT39_00035866-RA	DB47_00039537-RA
OG0013251	ABT39_00079251-RA	DB47_00069148-RA
OG0013252	ABT39_00042108-RA	DB47_00043108-RA
OG0013254	ABT39_00018607-RB	DB47_00002706-RC
OG0013256	ABT39_00040755-RA	DB47_00029996-RA
OG0013261	ABT39_00013720-RA	DB47_00058580-RA
OG0013263	ABT39_00089219-RA	DB47_00008100-RA
OG0013265	ABT39_00018569-RC	DB47_00024009-RA
OG0013266	ABT39_00076090-RA	DB47_00010523-RA
OG0013267	ABT39_00032706-RA	DB47_00035742-RA
OG0013268	ABT39_00020144-RB	DB47_00002846-RC
OG0013269	ABT39_00038022-RB	DB47_00023472-RA
OG0013271	ABT39_00070138-RA	DB47_00018393-RA
OG0013274	ABT39_00045258-RA	DB47_00055767-RA
OG0013275	ABT39_00093379-RA	DB47_00057588-RA
OG0013276	ABT39_00048711-RB	DB47_00046020-RA
OG0013277	ABT39_00069682-RA	DB47_00050355-RA
OG0013278	ABT39_00011072-RB	DB47_00026663-RA
OG0013282	ABT39_00094403-RA	DB47_00068683-RA
OG0013284	ABT39_00007417-RG	DB47_00017755-RD
OG0013285	ABT39_00008934-RA	DB47_00029786-RA
OG0013286	ABT39_00070110-RA	DB47_00025525-RA
OG0013288	ABT39_00022767-RA	DB47_00026359-RA
OG0013294	ABT39_00001329-RG	DB47_00004417-RB
OG0013295	ABT39_00010652-RB	DB47_00010181-RA
OG0013296	ABT39_00017966-RA	DB47_00033894-RA
OG0013299	ABT39_00014144-RB	DB47_00036774-RA
OG0013301	ABT39_00058637-RA	DB47_00006148-RA
OG0013303	ABT39_00121821-RA	DB47_00078713-RA
OG0013304	ABT39_00001178-RA	DB47_00003364-RA
OG0013306	ABT39_00031795-RA	DB47_00020460-RA
OG0013307	ABT39_00019550-RA	DB47_00065477-RA
OG0013310	ABT39_00002721-RA	DB47_00012617-RA
OG0013312	ABT39_00098814-RA	DB47_00074222-RA
OG0013313	ABT39_00032014-RA	DB47_00022302-RA
OG0013315	ABT39_00025880-RA	DB47_00037789-RA
OG0013318	ABT39_00011127-RE	DB47_00001306-RB
OG0013322	ABT39_00032283-RA	DB47_00059753-RA
OG0013323	ABT39_00029912-RA	DB47_00051183-RA
OG0013325	ABT39_00058050-RA	DB47_00019274-RA
OG0013327	ABT39_00013124-RA	DB47_00003651-RB
OG0013328	ABT39_00066788-RB	DB47_00004610-RA
OG0013329	ABT39_00039362-RA	DB47_00027761-RA
OG0013330	ABT39_00014801-RC	DB47_00013631-RC
OG0013332	ABT39_00048948-RA	DB47_00022312-RA
OG0013333	ABT39_00045821-RA	DB47_00011121-RA
OG0013335	ABT39_00043205-RA	DB47_00025188-RA
OG0013336	ABT39_00069777-RA	DB47_00048420-RA
OG0013337	ABT39_00055536-RA	DB47_00055606-RA
OG0013338	ABT39_00009992-RC	DB47_00004283-RB
OG0013339	ABT39_00047588-RA	DB47_00043408-RA
OG0013340	ABT39_00026118-RA	DB47_00038777-RA
OG0013344	ABT39_00024605-RA	DB47_00009029-RC
OG0013346	ABT39_00059728-RA	DB47_00009183-RA
OG0013347	ABT39_00061393-RB	DB47_00044138-RA
OG0013348	ABT39_00097241-RA	DB47_00035444-RA
OG0013349	ABT39_00090626-RA	DB47_00024728-RA
OG0013350	ABT39_00030680-RB	DB47_00007908-RB
OG0013352	ABT39_00073181-RA	DB47_00000784-RA
OG0013355	ABT39_00010118-RB	DB47_00042290-RA
OG0013357	ABT39_00013356-RA	DB47_00020578-RA
OG0013359	ABT39_00040923-RB	DB47_00012385-RA
OG0013361	ABT39_00077113-RA	DB47_00048280-RA
OG0013362	ABT39_00058030-RD	DB47_00056211-RA
OG0013364	ABT39_00024028-RA	DB47_00068149-RA
OG0013365	ABT39_00054454-RB	DB47_00024593-RA
OG0013366	ABT39_00008024-RA	DB47_00001291-RC
OG0013367	ABT39_00013787-RA	DB47_00055870-RA
OG0013369	ABT39_00008804-RA	DB47_00061739-RA
OG0013370	ABT39_00016564-RA	DB47_00056686-RA
OG0013371	ABT39_00070014-RA	DB47_00026231-RA
OG0013372	ABT39_00062356-RA	DB47_00015551-RA
OG0013374	ABT39_00060735-RB	DB47_00042288-RA
OG0013375	ABT39_00012838-RA	DB47_00052924-RA
OG0013376	ABT39_00055929-RB	DB47_00022612-RA
OG0013379	ABT39_00011553-RA	DB47_00014558-RB
OG0013380	ABT39_00034777-RB	DB47_00030876-RA
OG0013381	ABT39_00026147-RA	DB47_00048881-RA
OG0013383	ABT39_00105372-RA	DB47_00020365-RA
OG0013384	ABT39_00044987-RA	DB47_00015231-RA
OG0013385	ABT39_00044988-RA	DB47_00015232-RA
OG0013386	ABT39_00097819-RA	DB47_00015352-RA
OG0013388	ABT39_00045052-RC	DB47_00043768-RB
OG0013389	ABT39_00104868-RA	DB47_00022088-RB
OG0013390	ABT39_00073631-RA	DB47_00044686-RA
OG0013394	ABT39_00013166-RA	DB47_00007593-RA
OG0013397	ABT39_00022417-RA	DB47_00006995-RA
OG0013398	ABT39_00007494-RA	DB47_00053936-RA
OG0013399	ABT39_00007492-RA	DB47_00008193-RA
OG0013401	ABT39_00016488-RA	DB47_00037066-RA
OG0013403	ABT39_00006484-RB	DB47_00033120-RB
OG0013404	ABT39_00053293-RA	DB47_00020336-RA
OG0013405	ABT39_00021757-RA	DB47_00006018-RA
OG0013406	ABT39_00013950-RA	DB47_00059180-RA
OG0013407	ABT39_00003932-RF	DB47_00006758-RC
OG0013408	ABT39_00003933-RA	DB47_00006759-RA
OG0013409	ABT39_00007197-RB	DB47_00019642-RA
OG0013410	ABT39_00022431-RA	DB47_00026777-RA
OG0013411	ABT39_00023411-RA	DB47_00027991-RA
OG0013412	ABT39_00004731-RC	DB47_00012899-RC
OG0013413	ABT39_00043495-RA	DB47_00029893-RA
OG0013415	ABT39_00033348-RC	DB47_00004790-RC
OG0013416	ABT39_00018534-RB	DB47_00007988-RB
OG0013417	ABT39_00070497-RB	DB47_00046760-RA
OG0013418	ABT39_00069479-RA	DB47_00016175-RB
OG0013419	ABT39_00025006-RD	DB47_00010471-RA
OG0013421	ABT39_00100254-RA	DB47_00037392-RA
OG0013422	ABT39_00056935-RA	DB47_00012261-RA
OG0013423	ABT39_00041165-RA	DB47_00035972-RA
OG0013424	ABT39_00119939-RA	DB47_00078223-RA
OG0013425	ABT39_00050083-RA	DB47_00022006-RA
OG0013426	ABT39_00055574-RA	DB47_00029099-RA
OG0013427	ABT39_00104569-RA	DB47_00032000-RA
OG0013430	ABT39_00074238-RA	DB47_00058114-RA
OG0013432	ABT39_00078925-RA	DB47_00071910-RA
OG0013434	ABT39_00065855-RA	DB47_00031351-RB
OG0013436	ABT39_00061213-RA	DB47_00022882-RA
OG0013437	ABT39_00088635-RA	DB47_00063588-RA
OG0013439	ABT39_00014547-RC	DB47_00021508-RA
OG0013441	ABT39_00082837-RA	DB47_00062209-RA
OG0013445	ABT39_00029856-RA	DB47_00021341-RD
OG0013446	ABT39_00082337-RA	DB47_00077171-RA
OG0013448	ABT39_00071003-RA	DB47_00048581-RA
OG0013449	ABT39_00056330-RA	DB47_00065573-RA
OG0013450	ABT39_00037212-RC	DB47_00016683-RA
OG0013451	ABT39_00039151-RD	DB47_00025072-RB
OG0013452	ABT39_00038308-RA	DB47_00046169-RB
OG0013453	ABT39_00103409-RA	DB47_00066021-RA
OG0013454	ABT39_00095983-RA	DB47_00000680-RA
OG0013455	ABT39_00089096-RA	DB47_00058294-RA
OG0013456	ABT39_00053799-RB	DB47_00028559-RA
OG0013458	ABT39_00091347-RA	DB47_00040267-RA
OG0013459	ABT39_00102420-RA	DB47_00051173-RA
OG0013466	ABT39_00090495-RA	DB47_00054106-RA
OG0013467	ABT39_00055512-RA	DB47_00027509-RB
OG0013468	ABT39_00010391-RB	DB47_00057415-RA
OG0013470	ABT39_00018936-RA	DB47_00044501-RB
OG0013471	ABT39_00082379-RA	DB47_00008798-RA
OG0013472	ABT39_00027926-RA	DB47_00010031-RA
OG0013474	ABT39_00081907-RA	DB47_00005084-RA
OG0013475	ABT39_00039706-RC	DB47_00012267-RC
OG0013476	ABT39_00060295-RB	DB47_00012045-RA
OG0013477	ABT39_00030582-RC	DB47_00068442-RA
OG0013478	ABT39_00047882-RA	DB47_00039525-RB
OG0013482	ABT39_00075379-RA	DB47_00011651-RA
OG0013483	ABT39_00083635-RA	DB47_00046831-RB
OG0013484	ABT39_00036506-RB	DB47_00054165-RA
OG0013485	ABT39_00066379-RB	DB47_00030038-RB
OG0013486	ABT39_00020802-RD	DB47_00012626-RE
OG0013488	ABT39_00012579-RB	DB47_00033461-RA
OG0013490	ABT39_00086398-RA	DB47_00029005-RA
OG0013492	ABT39_00036577-RB	DB47_00016398-RA
OG0013495	ABT39_00036202-RB	DB47_00034139-RB
OG0013496	ABT39_00072080-RA	DB47_00029373-RA
OG0013498	ABT39_00054839-RB	DB47_00062992-RA
OG0013499	ABT39_00015003-RA	DB47_00060301-RA
OG0013501	ABT39_00015498-RD	DB47_00023705-RA
OG0013502	ABT39_00039298-RA	DB47_00007814-RE
OG0013503	ABT39_00006426-RI	DB47_00018823-RD
OG0013505	ABT39_00018856-RA	DB47_00022409-RA
OG0013506	ABT39_00000853-RB	DB47_00028791-RB
OG0013507	ABT39_00002931-RA	DB47_00027197-RB
OG0013510	ABT39_00033913-RB	DB47_00020437-RA
OG0013511	ABT39_00028003-RB	DB47_00010000-RA
OG0013512	ABT39_00103483-RA	DB47_00000109-RA
OG0013513	ABT39_00094420-RA	DB47_00046691-RB
OG0013514	ABT39_00024971-RD	DB47_00036012-RA
OG0013517	ABT39_00083171-RA	DB47_00024974-RA
OG0013519	ABT39_00014229-RA	DB47_00029111-RA
OG0013520	ABT39_00006980-RA	DB47_00004538-RA
OG0013523	ABT39_00071809-RA	DB47_00058653-RA
OG0013524	ABT39_00001563-RB	DB47_00028789-RC
OG0013525	ABT39_00003113-RA	DB47_00001418-RA
OG0013527	ABT39_00024794-RA	DB47_00003081-RA
OG0013528	ABT39_00036576-RB	DB47_00063907-RA
OG0013532	ABT39_00074662-RB	DB47_00046876-RA
OG0013533	ABT39_00086712-RA	DB47_00043264-RA
OG0013534	ABT39_00095186-RA	DB47_00053798-RA
OG0013535	ABT39_00075170-RA	DB47_00002681-RA
OG0013536	ABT39_00051712-RA	DB47_00024336-RB
OG0013538	ABT39_00039070-RB	DB47_00018145-RA
OG0013541	ABT39_00105197-RA	DB47_00021879-RA
OG0013543	ABT39_00052196-RB	DB47_00044393-RA
OG0013544	ABT39_00077748-RA	DB47_00044763-RA
OG0013545	ABT39_00079985-RB	DB47_00047257-RB
OG0013550	ABT39_00090511-RA	DB47_00058127-RA
OG0013555	ABT39_00062314-RA	DB47_00029121-RB
OG0013556	ABT39_00067171-RA	DB47_00056022-RA
OG0013558	ABT39_00107779-RA	DB47_00071176-RA
OG0013561	ABT39_00020989-RB	DB47_00021480-RD
OG0013562	ABT39_00082494-RA	DB47_00071800-RA
OG0013563	ABT39_00047989-RA	DB47_00025332-RA
OG0013564	ABT39_00041257-RC	DB47_00020331-RC
OG0013568	ABT39_00048222-RA	DB47_00023871-RC
OG0013570	ABT39_00020547-RA	DB47_00024295-RC
OG0013572	ABT39_00025506-RA	DB47_00038710-RA
OG0013573	ABT39_00004389-RA	DB47_00035035-RA
OG0013575	ABT39_00008331-RA	DB47_00006746-RB
OG0013576	ABT39_00042878-RA	DB47_00020649-RB
OG0013578	ABT39_00039087-RA	DB47_00042965-RB
OG0013579	ABT39_00086926-RA	DB47_00004032-RA
OG0013580	ABT39_00063302-RA	DB47_00026681-RB
OG0013581	ABT39_00025195-RA	DB47_00034575-RA
OG0013583	ABT39_00036601-RA	DB47_00002731-RA
OG0013584	ABT39_00062695-RA	DB47_00032278-RA
OG0013585	ABT39_00070952-RB	DB47_00056655-RA
OG0013586	ABT39_00021640-RA	DB47_00061115-RA
OG0013588	ABT39_00025408-RA	DB47_00041461-RA
OG0013589	ABT39_00013293-RA	DB47_00006319-RA
OG0013590	ABT39_00028459-RC	DB47_00013377-RA
OG0013595	ABT39_00021200-RA	DB47_00020149-RA
OG0013597	ABT39_00019514-RB	DB47_00030370-RB
OG0013598	ABT39_00038401-RA	DB47_00028583-RA
OG0013599	ABT39_00096775-RA	DB47_00062914-RA
OG0013600	ABT39_00055256-RB	DB47_00049797-RA
OG0013601	ABT39_00084075-RA	DB47_00027059-RA
OG0013603	ABT39_00048472-RA	DB47_00009725-RA
OG0013604	ABT39_00015538-RC	DB47_00006879-RF
OG0013605	ABT39_00018126-RA	DB47_00032626-RA
OG0013606	ABT39_00018127-RA	DB47_00018855-RB
OG0013608	ABT39_00001191-RB	DB47_00005001-RA
OG0013609	ABT39_00060435-RA	DB47_00033130-RA
OG0013610	ABT39_00002310-RE	DB47_00010978-RG
OG0013611	ABT39_00014686-RA	DB47_00073234-RA
OG0013613	ABT39_00091390-RA	DB47_00016051-RA
OG0013614	ABT39_00050564-RE	DB47_00036623-RA
OG0013615	ABT39_00085633-RA	DB47_00022407-RA
OG0013619	ABT39_00095254-RA	DB47_00029866-RA
OG0013621	ABT39_00031478-RB	DB47_00039556-RA
OG0013622	ABT39_00103927-RA	DB47_00028465-RA
OG0013623	ABT39_00039583-RB	DB47_00003379-RC
OG0013624	ABT39_00095344-RA	DB47_00041859-RA
OG0013626	ABT39_00068447-RA	DB47_00001864-RA
OG0013627	ABT39_00084431-RA	DB47_00019513-RB
OG0013628	ABT39_00083082-RA	DB47_00057371-RA
OG0013629	ABT39_00087520-RA	DB47_00059350-RA
OG0013630	ABT39_00075311-RB	DB47_00020162-RA
OG0013631	ABT39_00056644-RD	DB47_00030704-RD
OG0013632	ABT39_00007741-RE	DB47_00044665-RB
OG0013634	ABT39_00037860-RA	DB47_00067664-RA
OG0013636	ABT39_00060405-RA	DB47_00047274-RB
OG0013637	ABT39_00050487-RA	DB47_00057500-RA
OG0013639	ABT39_00049983-RA	DB47_00009181-RB
OG0013640	ABT39_00002623-RB	DB47_00017116-RB
OG0013642	ABT39_00011680-RA	DB47_00007113-RA
OG0013643	ABT39_00024482-RC	DB47_00014346-RC
OG0013644	ABT39_00033873-RA	DB47_00037168-RA
OG0013645	ABT39_00016307-RA	DB47_00023693-RA
OG0013647	ABT39_00064407-RB	DB47_00005117-RC
OG0014994	ABT39_00022566-RA	DB47_00064941-RA
OG0014995	ABT39_00062585-RA	DB47_00010972-RA
OG0014996	ABT39_00020929-RA	DB47_00009128-RA
OG0014999	ABT39_00011087-RA	DB47_00056606-RA
OG0015000	ABT39_00018368-RA	DB47_00063841-RA
OG0015001	ABT39_00008436-RA	DB47_00046094-RA
OG0015002	ABT39_00055853-RA	DB47_00044717-RA
OG0015007	ABT39_00062204-RA	DB47_00006349-RA
OG0015008	ABT39_00062203-RA	DB47_00006351-RA
OG0015010	ABT39_00028973-RA	DB47_00008780-RA
OG0015011	ABT39_00007538-RA	DB47_00004257-RA
OG0015012	ABT39_00031077-RA	DB47_00022847-RA
OG0015013	ABT39_00004050-RA	DB47_00015778-RB
OG0015016	ABT39_00024479-RB	DB47_00016201-RC
OG0015017	ABT39_00070823-RA	DB47_00015104-RA
OG0015018	ABT39_00077194-RA	DB47_00057891-RB
OG0015021	ABT39_00057800-RA	DB47_00032491-RA
OG0015022	ABT39_00091382-RA	DB47_00055491-RA
OG0015024	ABT39_00042813-RD	DB47_00024557-RA
OG0015026	ABT39_00037496-RA	DB47_00019655-RA
OG0015029	ABT39_00007078-RB	DB47_00009813-RD
OG0015033	ABT39_00034240-RB	DB47_00016604-RD
OG0015036	ABT39_00023805-RG	DB47_00049039-RA
OG0015037	ABT39_00042255-RB	DB47_00025586-RB
OG0015041	ABT39_00040643-RA	DB47_00063364-RA
OG0015044	ABT39_00050741-RA	DB47_00037859-RB
OG0015048	ABT39_00078638-RA	DB47_00037068-RA
OG0015053	ABT39_00001847-RB	DB47_00002916-RC
OG0015054	ABT39_00026212-RB	DB47_00018134-RA
OG0015055	ABT39_00006055-RC	DB47_00018861-RA
OG0015056	ABT39_00010086-RA	DB47_00007927-RA
OG0015058	ABT39_00003588-RA	DB47_00003143-RE
OG0015060	ABT39_00031949-RA	DB47_00044639-RA
OG0015063	ABT39_00001079-RF	DB47_00008047-RC
OG0015064	ABT39_00014273-RB	DB47_00056876-RA
OG0015066	ABT39_00009768-RB	DB47_00009041-RB
OG0015070	ABT39_00011842-RA	DB47_00018555-RA
OG0015071	ABT39_00050665-RA	DB47_00019423-RA
OG0015072	ABT39_00000524-RD	DB47_00017496-RA
OG0015074	ABT39_00062152-RB	DB47_00019214-RB
OG0015076	ABT39_00028088-RD	DB47_00050791-RA
OG0015079	ABT39_00079888-RA	DB47_00030172-RA
OG0015082	ABT39_00000726-RE	DB47_00030575-RA
OG0015083	ABT39_00092252-RA	DB47_00045034-RA
OG0015084	ABT39_00083791-RA	DB47_00070516-RA
OG0015085	ABT39_00054566-RA	DB47_00001403-RA
OG0015086	ABT39_00092331-RA	DB47_00024258-RA
OG0015087	ABT39_00022666-RF	DB47_00011471-RD
OG0015088	ABT39_00052008-RA	DB47_00038838-RA
OG0015089	ABT39_00032500-RC	DB47_00033327-RB
OG0015091	ABT39_00102624-RA	DB47_00011862-RA
OG0015092	ABT39_00031847-RE	DB47_00020490-RC
OG0015093	ABT39_00002953-RA	DB47_00005128-RA
OG0015097	ABT39_00008184-RA	DB47_00042915-RA
OG0015099	ABT39_00000263-RA	DB47_00000598-RB
OG0015102	ABT39_00011563-RA	DB47_00047702-RA
OG0015103	ABT39_00009280-RF	DB47_00001430-RJ
OG0015104	ABT39_00041420-RA	DB47_00036108-RB
OG0015105	ABT39_00094081-RA	DB47_00049332-RA
OG0015106	ABT39_00080467-RA	DB47_00003116-RA
OG0015107	ABT39_00047028-RA	DB47_00068122-RA
OG0015111	ABT39_00029555-RC	DB47_00018372-RD
OG0015114	ABT39_00092248-RA	DB47_00018706-RA
OG0015115	ABT39_00007304-RA	DB47_00021779-RA
OG0015117	ABT39_00010097-RA	DB47_00072584-RA
OG0015118	ABT39_00007232-RD	DB47_00002815-RB
OG0015119	ABT39_00007231-RC	DB47_00002818-RA
OG0015121	ABT39_00023903-RD	DB47_00005362-RA
OG0015123	ABT39_00048467-RA	DB47_00028376-RA
OG0015125	ABT39_00007557-RB	DB47_00001710-RA
OG0015128	ABT39_00005749-RD	DB47_00002509-RA
OG0015129	ABT39_00005747-RA	DB47_00064974-RA
OG0015134	ABT39_00061946-RA	DB47_00042959-RA
OG0015135	ABT39_00076635-RA	DB47_00030943-RA
OG0015136	ABT39_00011992-RD	DB47_00013617-RF
OG0015138	ABT39_00026185-RE	DB47_00028792-RD
OG0015140	ABT39_00011639-RB	DB47_00044042-RA
OG0015141	ABT39_00024586-RA	DB47_00003802-RA
OG0015142	ABT39_00003370-RA	DB47_00049673-RB
OG0015143	ABT39_00013978-RA	DB47_00015139-RA
OG0015144	ABT39_00026132-RA	DB47_00054016-RA
OG0015145	ABT39_00047079-RA	DB47_00033891-RA
OG0015146	ABT39_00045824-RA	DB47_00024186-RA
OG0015147	ABT39_00014387-RA	DB47_00037012-RA
OG0015149	ABT39_00064986-RA	DB47_00045792-RB
OG0015154	ABT39_00038218-RA	DB47_00054345-RA
OG0015157	ABT39_00001046-RA	DB47_00024875-RA
OG0015162	ABT39_00070144-RA	DB47_00014551-RA
OG0015163	ABT39_00091989-RA	DB47_00007115-RA
OG0015165	ABT39_00105705-RA	DB47_00045134-RA
OG0015169	ABT39_00044156-RB	DB47_00062813-RA
OG0015170	ABT39_00045571-RB	DB47_00040432-RB
OG0015171	ABT39_00103149-RA	DB47_00029337-RA
OG0015172	ABT39_00057498-RA	DB47_00000133-RC
OG0015173	ABT39_00093151-RA	DB47_00008007-RB
OG0015174	ABT39_00115600-RA	DB47_00010197-RA
OG0015179	ABT39_00055183-RB	DB47_00024029-RE
OG0015180	ABT39_00094301-RA	DB47_00061571-RA
OG0015183	ABT39_00064194-RA	DB47_00020979-RB
OG0015184	ABT39_00065723-RA	DB47_00012015-RA
OG0015187	ABT39_00052746-RA	DB47_00021898-RA
OG0015189	ABT39_00027630-RA	DB47_00003305-RA
OG0015192	ABT39_00067734-RA	DB47_00018006-RA
OG0015193	ABT39_00022042-RA	DB47_00024098-RA
OG0015194	ABT39_00012363-RB	DB47_00005590-RB
OG0015195	ABT39_00010999-RG	DB47_00010662-RF
OG0015197	ABT39_00032065-RA	DB47_00052834-RA
OG0015198	ABT39_00042315-RA	DB47_00016087-RB
OG0015199	ABT39_00002631-RB	DB47_00000299-RJ
OG0015201	ABT39_00026077-RB	DB47_00001075-RB
OG0015202	ABT39_00016208-RB	DB47_00016156-RA
OG0015204	ABT39_00006479-RB	DB47_00005065-RC
OG0015205	ABT39_00003308-RA	DB47_00049728-RA
OG0015206	ABT39_00003307-RB	DB47_00049729-RA
OG0015208	ABT39_00028894-RA	DB47_00032155-RA
OG0015213	ABT39_00061763-RC	DB47_00026157-RD
OG0015215	ABT39_00087078-RB	DB47_00029449-RA
OG0015216	ABT39_00031392-RA	DB47_00006142-RA
OG0015217	ABT39_00031393-RB	DB47_00006143-RB
OG0015220	ABT39_00082555-RA	DB47_00040111-RB
OG0015224	ABT39_00027836-RA	DB47_00064343-RA
OG0015226	ABT39_00066306-RA	DB47_00038530-RB
OG0015228	ABT39_00066890-RA	DB47_00029606-RC
OG0015230	ABT39_00044753-RA	DB47_00036098-RA
OG0015231	ABT39_00043548-RA	DB47_00035441-RA
OG0015232	ABT39_00090410-RA	DB47_00017338-RA
OG0015233	ABT39_00072574-RA	DB47_00009221-RD
OG0015234	ABT39_00062095-RB	DB47_00011907-RA
OG0015235	ABT39_00052721-RA	DB47_00041511-RA
OG0015236	ABT39_00059369-RA	DB47_00041284-RA
OG0015237	ABT39_00012293-RB	DB47_00032196-RC
OG0015240	ABT39_00009477-RB	DB47_00006355-RI
OG0015241	ABT39_00096964-RA	DB47_00028480-RA
OG0015244	ABT39_00048582-RA	DB47_00028726-RA
OG0015246	ABT39_00006733-RG	DB47_00033737-RA
OG0015248	ABT39_00008414-RB	DB47_00009438-RB
OG0015250	ABT39_00051842-RA	DB47_00032191-RC
OG0015251	ABT39_00004003-RA	DB47_00003612-RA
OG0015252	ABT39_00019510-RC	DB47_00018358-RA
OG0015256	ABT39_00003692-RA	DB47_00024333-RC
OG0015258	ABT39_00098169-RA	DB47_00036154-RB
OG0015260	ABT39_00013040-RB	DB47_00022718-RB
OG0015261	ABT39_00108981-RA	DB47_00070881-RA
OG0015263	ABT39_00108178-RA	DB47_00051203-RB
OG0015267	ABT39_00026139-RB	DB47_00010122-RD
OG0015271	ABT39_00029039-RC	DB47_00027178-RA
OG0015275	ABT39_00063122-RA	DB47_00050731-RB
OG0015277	ABT39_00108738-RA	DB47_00007544-RA
OG0015279	ABT39_00011118-RB	DB47_00050859-RB
OG0015282	ABT39_00041871-RA	DB47_00002966-RA
OG0015284	ABT39_00039885-RA	DB47_00007039-RA
OG0015285	ABT39_00095817-RA	DB47_00034801-RA
OG0015287	ABT39_00116915-RA	DB47_00022932-RA
OG0015288	ABT39_00048442-RB	DB47_00033745-RB
OG0015289	ABT39_00073706-RA	DB47_00038191-RA
OG0015290	ABT39_00065574-RA	DB47_00015766-RA
OG0015292	ABT39_00015253-RD	DB47_00000679-RD
OG0015294	ABT39_00022586-RA	DB47_00005216-RB
OG0015296	ABT39_00071294-RA	DB47_00034451-RA
OG0015298	ABT39_00044758-RA	DB47_00017019-RA
OG0015302	ABT39_00002678-RA	DB47_00000383-RA
OG0015306	ABT39_00021119-RA	DB47_00005400-RA
OG0015307	ABT39_00021117-RA	DB47_00005398-RA
OG0015309	ABT39_00054891-RA	DB47_00054331-RA
OG0015311	ABT39_00058430-RA	DB47_00034202-RA
OG0015313	ABT39_00003217-RA	DB47_00028740-RA
OG0015314	ABT39_00003636-RA	DB47_00028922-RB
OG0015320	ABT39_00000019-RD	DB47_00000085-RA
OG0015321	ABT39_00000029-RB	DB47_00009984-RB
OG0015323	ABT39_00035912-RB	DB47_00007683-RB
OG0015324	ABT39_00030861-RA	DB47_00025428-RA
OG0015325	ABT39_00023016-RB	DB47_00036613-RA
OG0015326	ABT39_00037120-RB	DB47_00016489-RF
OG0015327	ABT39_00068234-RA	DB47_00036765-RA
OG0015332	ABT39_00029426-RB	DB47_00018012-RA
OG0015333	ABT39_00030851-RC	DB47_00033436-RA
OG0015340	ABT39_00014811-RA	DB47_00039934-RA
OG0015343	ABT39_00002989-RA	DB47_00005701-RA
OG0015344	ABT39_00012335-RC	DB47_00019226-RB
