OG0012315	E0M31_00014648-RC	DB47_00014285-RA
OG0013381	E0M31_00044482-RA	DB47_00048881-RA
OG0013384	E0M31_00039395-RA	DB47_00015231-RA
OG0013385	E0M31_00021660-RA	DB47_00015232-RA
OG0013386	E0M31_00070416-RA	DB47_00015352-RA
OG0013394	E0M31_00019393-RA	DB47_00007593-RA
OG0013399	E0M31_00048852-RA	DB47_00008193-RA
OG0013401	E0M31_00058411-RA	DB47_00037066-RA
OG0013403	E0M31_00013472-RB	DB47_00033120-RB
OG0013404	E0M31_00049162-RA	DB47_00020336-RA
OG0013405	E0M31_00004877-RA	DB47_00006018-RA
OG0013406	E0M31_00061283-RA	DB47_00059180-RA
OG0013407	E0M31_00020167-RB	DB47_00006758-RC
OG0013408	E0M31_00020168-RA	DB47_00006759-RA
OG0013409	E0M31_00002864-RA	DB47_00019642-RA
OG0013410	E0M31_00076226-RA	DB47_00026777-RA
OG0013411	E0M31_00041556-RA	DB47_00027991-RA
OG0013412	E0M31_00015241-RC	DB47_00012899-RC
OG0013413	E0M31_00012887-RA	DB47_00029893-RA
OG0013415	E0M31_00022790-RB	DB47_00004790-RC
OG0013416	E0M31_00006524-RE	DB47_00007988-RB
OG0013417	E0M31_00056619-RA	DB47_00046760-RA
OG0013418	E0M31_00062097-RA	DB47_00016175-RB
OG0013419	E0M31_00002476-RA	DB47_00010471-RA
OG0013421	E0M31_00068406-RA	DB47_00037392-RA
OG0013422	E0M31_00035741-RA	DB47_00012261-RA
OG0013424	E0M31_00085454-RA	DB47_00078223-RA
OG0013425	E0M31_00024567-RB	DB47_00022006-RA
OG0013426	E0M31_00046699-RA	DB47_00029099-RA
OG0013427	E0M31_00018485-RA	DB47_00032000-RA
OG0013430	E0M31_00070769-RA	DB47_00058114-RA
OG0013432	E0M31_00057708-RA	DB47_00071910-RA
OG0013434	E0M31_00008590-RA	DB47_00031351-RB
OG0013436	E0M31_00030305-RB	DB47_00022882-RA
OG0013437	E0M31_00076336-RA	DB47_00063588-RA
OG0013439	E0M31_00024255-RA	DB47_00021508-RA
OG0013445	E0M31_00030068-RB	DB47_00021341-RD
OG0013446	E0M31_00067127-RA	DB47_00077171-RA
OG0013448	E0M31_00062526-RA	DB47_00048581-RA
OG0013449	E0M31_00079971-RA	DB47_00065573-RA
OG0013450	E0M31_00045792-RA	DB47_00016683-RA
OG0013451	E0M31_00010342-RB	DB47_00025072-RB
OG0013452	E0M31_00020606-RB	DB47_00046169-RB
OG0013454	E0M31_00007028-RA	DB47_00000680-RA
OG0013456	E0M31_00018863-RC	DB47_00028559-RA
OG0013458	E0M31_00062391-RA	DB47_00040267-RA
OG0013459	E0M31_00078582-RA	DB47_00051173-RA
OG0013468	E0M31_00004321-RA	DB47_00057415-RA
OG0013470	E0M31_00009421-RA	DB47_00044501-RB
OG0013471	E0M31_00008817-RA	DB47_00008798-RA
OG0013474	E0M31_00055914-RA	DB47_00005084-RA
OG0013475	E0M31_00029270-RB	DB47_00012267-RC
OG0013476	E0M31_00047898-RB	DB47_00012045-RA
OG0013478	E0M31_00047461-RA	DB47_00039525-RB
OG0013483	E0M31_00071926-RA	DB47_00046831-RB
OG0013484	E0M31_00023698-RA	DB47_00054165-RA
OG0013485	E0M31_00061267-RA	DB47_00030038-RB
OG0013486	E0M31_00019369-RD	DB47_00012626-RE
OG0013490	E0M31_00055841-RA	DB47_00029005-RA
OG0013492	E0M31_00020010-RA	DB47_00016398-RA
OG0013495	E0M31_00024042-RA	DB47_00034139-RB
OG0013498	E0M31_00072699-RA	DB47_00062992-RA
OG0013499	E0M31_00019842-RA	DB47_00060301-RA
OG0013501	E0M31_00030143-RC	DB47_00023705-RA
OG0013502	E0M31_00053473-RA	DB47_00007814-RE
OG0013503	E0M31_00025755-RA	DB47_00018823-RD
OG0013507	E0M31_00054164-RA	DB47_00027197-RB
OG0013510	E0M31_00018817-RD	DB47_00020437-RA
OG0013511	E0M31_00006530-RA	DB47_00010000-RA
OG0013512	E0M31_00054694-RA	DB47_00000109-RA
OG0013514	E0M31_00017937-RA	DB47_00036012-RA
OG0013517	E0M31_00002942-RA	DB47_00024974-RA
OG0013520	E0M31_00000258-RB	DB47_00004538-RA
OG0013523	E0M31_00066607-RA	DB47_00058653-RA
OG0013524	E0M31_00021656-RB	DB47_00028789-RC
OG0013527	E0M31_00046839-RB	DB47_00003081-RA
OG0013528	E0M31_00070138-RA	DB47_00063907-RA
OG0013532	E0M31_00025579-RA	DB47_00046876-RA
OG0013533	E0M31_00084599-RA	DB47_00043264-RA
OG0013534	E0M31_00078136-RA	DB47_00053798-RA
OG0013535	E0M31_00036285-RA	DB47_00002681-RA
OG0013536	E0M31_00003779-RA	DB47_00024336-RB
OG0013538	E0M31_00039035-RA	DB47_00018145-RA
OG0013544	E0M31_00064571-RA	DB47_00044763-RA
OG0013545	E0M31_00056983-RB	DB47_00047257-RB
OG0013550	E0M31_00026838-RA	DB47_00058127-RA
OG0013555	E0M31_00037225-RC	DB47_00029121-RB
OG0013556	E0M31_00064215-RA	DB47_00056022-RA
OG0013558	E0M31_00005981-RA	DB47_00071176-RA
OG0013561	E0M31_00044259-RB	DB47_00021480-RD
OG0013563	E0M31_00062182-RA	DB47_00025332-RA
OG0013564	E0M31_00021661-RD	DB47_00020331-RC
OG0013568	E0M31_00028725-RB	DB47_00023871-RC
OG0013570	E0M31_00035450-RA	DB47_00024295-RC
OG0013572	E0M31_00030588-RA	DB47_00038710-RA
OG0013573	E0M31_00040329-RA	DB47_00035035-RA
OG0013575	E0M31_00018503-RB	DB47_00006746-RB
OG0013576	E0M31_00019468-RA	DB47_00020649-RB
OG0013578	E0M31_00013716-RD	DB47_00042965-RB
OG0013579	E0M31_00053841-RA	DB47_00004032-RA
OG0013580	E0M31_00050094-RA	DB47_00026681-RB
OG0013581	E0M31_00006130-RA	DB47_00034575-RA
OG0013583	E0M31_00028396-RA	DB47_00002731-RA
OG0013586	E0M31_00055065-RB	DB47_00061115-RA
OG0013588	E0M31_00083218-RA	DB47_00041461-RA
OG0013589	E0M31_00067651-RA	DB47_00006319-RA
OG0013590	E0M31_00054205-RB	DB47_00013377-RA
OG0013595	E0M31_00048928-RA	DB47_00020149-RA
OG0013597	E0M31_00010987-RD	DB47_00030370-RB
OG0013598	E0M31_00073791-RA	DB47_00028583-RA
OG0013599	E0M31_00071888-RA	DB47_00062914-RA
OG0013600	E0M31_00019867-RB	DB47_00049797-RA
OG0013601	E0M31_00081692-RA	DB47_00027059-RA
OG0013603	E0M31_00001118-RA	DB47_00009725-RA
OG0013604	E0M31_00008256-RB	DB47_00006879-RF
OG0013605	E0M31_00034436-RA	DB47_00032626-RA
OG0013606	E0M31_00012045-RC	DB47_00018855-RB
OG0013608	E0M31_00069762-RA	DB47_00005001-RA
OG0013609	E0M31_00031069-RA	DB47_00033130-RA
OG0013610	E0M31_00013022-RC	DB47_00010978-RG
OG0013611	E0M31_00014949-RA	DB47_00073234-RA
OG0013614	E0M31_00025699-RA	DB47_00036623-RA
OG0013619	E0M31_00065166-RA	DB47_00029866-RA
OG0013621	E0M31_00004993-RB	DB47_00039556-RA
OG0013622	E0M31_00005760-RA	DB47_00028465-RA
OG0013623	E0M31_00006295-RC	DB47_00003379-RC
OG0013624	E0M31_00009575-RD	DB47_00041859-RA
OG0013626	E0M31_00059424-RA	DB47_00001864-RA
OG0013627	E0M31_00046726-RA	DB47_00019513-RB
OG0013628	E0M31_00071692-RA	DB47_00057371-RA
OG0013629	E0M31_00073178-RA	DB47_00059350-RA
OG0013630	E0M31_00045189-RB	DB47_00020162-RA
OG0013631	E0M31_00037173-RB	DB47_00030704-RD
OG0013632	E0M31_00023903-RD	DB47_00044665-RB
OG0013634	E0M31_00076197-RA	DB47_00067664-RA
OG0013636	E0M31_00039952-RB	DB47_00047274-RB
OG0013639	E0M31_00019310-RD	DB47_00009181-RB
OG0013640	E0M31_00023742-RA	DB47_00017116-RB
OG0013642	E0M31_00008893-RA	DB47_00007113-RA
OG0013643	E0M31_00017374-RB	DB47_00014346-RC
OG0013644	E0M31_00047308-RA	DB47_00037168-RA
OG0013645	E0M31_00002002-RA	DB47_00023693-RA
OG0013651	E0M31_00052544-RA	DB47_00008946-RA
OG0013652	E0M31_00055248-RA	DB47_00013993-RB
OG0013655	E0M31_00066658-RA	DB47_00047455-RA
OG0013656	E0M31_00073669-RA	DB47_00000590-RA
OG0013657	E0M31_00005641-RF	DB47_00042239-RA
OG0013659	E0M31_00011897-RA	DB47_00008977-RA
OG0013672	E0M31_00063273-RA	DB47_00056605-RA
OG0013674	E0M31_00068767-RA	DB47_00028038-RA
OG0013675	E0M31_00056873-RA	DB47_00063964-RA
OG0013676	E0M31_00091567-RA	DB47_00012774-RA
OG0013679	E0M31_00042468-RB	DB47_00014303-RA
OG0013681	E0M31_00093031-RA	DB47_00045425-RA
OG0013684	E0M31_00047204-RA	DB47_00046698-RA
OG0013688	E0M31_00086404-RA	DB47_00007551-RA
OG0013694	E0M31_00018039-RC	DB47_00007046-RE
OG0013699	E0M31_00020169-RA	DB47_00014072-RA
OG0013706	E0M31_00000155-RA	DB47_00076545-RA
OG0013707	E0M31_00056307-RB	DB47_00028845-RA
OG0013708	E0M31_00072421-RA	DB47_00024911-RA
OG0013709	E0M31_00067639-RA	DB47_00010295-RA
OG0013710	E0M31_00012102-RC	DB47_00017798-RB
OG0013711	E0M31_00059599-RA	DB47_00036376-RB
OG0013712	E0M31_00027370-RA	DB47_00008388-RA
OG0013713	E0M31_00007164-RA	DB47_00080184-RA
OG0013717	E0M31_00003733-RA	DB47_00002700-RA
OG0013720	E0M31_00026187-RB	DB47_00063413-RA
OG0013723	E0M31_00071393-RA	DB47_00074100-RA
OG0013724	E0M31_00064259-RA	DB47_00071633-RA
OG0013725	E0M31_00052368-RA	DB47_00019498-RA
OG0013728	E0M31_00066993-RA	DB47_00010623-RA
OG0013729	E0M31_00045823-RA	DB47_00018160-RA
OG0013732	E0M31_00009719-RA	DB47_00016054-RA
OG0013739	E0M31_00043340-RA	DB47_00049096-RA
OG0013740	E0M31_00019756-RA	DB47_00013191-RA
OG0013744	E0M31_00070170-RA	DB47_00031672-RA
OG0013747	E0M31_00010876-RA	DB47_00023127-RA
OG0013750	E0M31_00062933-RA	DB47_00065397-RA
OG0013759	E0M31_00015152-RC	DB47_00047200-RB
OG0013761	E0M31_00064965-RA	DB47_00032958-RA
OG0013763	E0M31_00053640-RA	DB47_00066378-RA
OG0013765	E0M31_00079417-RA	DB47_00048403-RA
OG0013768	E0M31_00015695-RA	DB47_00029236-RA
OG0013769	E0M31_00087605-RA	DB47_00075016-RA
OG0013770	E0M31_00017454-RA	DB47_00009348-RA
OG0013772	E0M31_00038048-RA	DB47_00037309-RA
OG0013773	E0M31_00043802-RA	DB47_00061274-RA
OG0013777	E0M31_00057698-RA	DB47_00034983-RA
OG0013779	E0M31_00036266-RA	DB47_00035069-RA
OG0013783	E0M31_00071834-RA	DB47_00080015-RA
OG0013785	E0M31_00079834-RA	DB47_00070266-RA
OG0013789	E0M31_00034309-RA	DB47_00080363-RA
OG0013790	E0M31_00028976-RA	DB47_00006698-RB
OG0013794	E0M31_00043750-RB	DB47_00012217-RA
OG0013796	E0M31_00051434-RA	DB47_00042093-RA
OG0013799	E0M31_00059248-RA	DB47_00030067-RA
OG0013801	E0M31_00055405-RA	DB47_00076109-RA
OG0013802	E0M31_00035199-RA	DB47_00024111-RA
OG0013804	E0M31_00087497-RA	DB47_00027519-RA
OG0013805	E0M31_00011420-RB	DB47_00005300-RC
OG0013808	E0M31_00047723-RA	DB47_00044073-RA
OG0013809	E0M31_00053795-RA	DB47_00061315-RA
OG0013810	E0M31_00035573-RA	DB47_00017566-RC
OG0013813	E0M31_00019952-RB	DB47_00014444-RC
OG0013818	E0M31_00056555-RA	DB47_00046453-RA
OG0013823	E0M31_00082733-RA	DB47_00049573-RA
OG0013826	E0M31_00024057-RA	DB47_00047664-RA
OG0013827	E0M31_00032434-RA	DB47_00072885-RA
OG0013829	E0M31_00034644-RA	DB47_00021227-RA
OG0013830	E0M31_00012009-RA	DB47_00014909-RA
OG0013835	E0M31_00050298-RA	DB47_00072976-RA
OG0013842	E0M31_00067018-RB	DB47_00016692-RB
OG0013844	E0M31_00036014-RA	DB47_00033711-RA
OG0013845	E0M31_00010277-RB	DB47_00000881-RC
OG0013848	E0M31_00030185-RB	DB47_00012064-RA
OG0013849	E0M31_00087008-RA	DB47_00017999-RA
OG0013850	E0M31_00016197-RA	DB47_00029828-RA
OG0013855	E0M31_00035760-RA	DB47_00028211-RA
OG0013858	E0M31_00059078-RA	DB47_00049210-RA
OG0013860	E0M31_00058660-RA	DB47_00019071-RA
OG0013862	E0M31_00074712-RA	DB47_00011797-RA
OG0013863	E0M31_00021217-RB	DB47_00054947-RA
OG0013865	E0M31_00042200-RA	DB47_00021283-RA
OG0013867	E0M31_00052070-RA	DB47_00047700-RA
OG0013869	E0M31_00089096-RA	DB47_00030197-RA
OG0013870	E0M31_00067978-RA	DB47_00057102-RA
OG0013872	E0M31_00021077-RA	DB47_00021321-RA
OG0013873	E0M31_00046291-RA	DB47_00042897-RA
OG0013874	E0M31_00075005-RA	DB47_00049959-RA
OG0013879	E0M31_00019819-RA	DB47_00054724-RA
OG0013881	E0M31_00048446-RA	DB47_00057333-RA
OG0013886	E0M31_00065510-RA	DB47_00046712-RA
OG0013887	E0M31_00023090-RA	DB47_00003964-RA
OG0013888	E0M31_00025032-RA	DB47_00014802-RA
OG0013889	E0M31_00065869-RA	DB47_00046762-RA
OG0013890	E0M31_00016662-RA	DB47_00011748-RA
OG0013891	E0M31_00040351-RA	DB47_00047227-RA
OG0013895	E0M31_00045884-RA	DB47_00063631-RA
OG0013897	E0M31_00029691-RA	DB47_00029602-RA
OG0013899	E0M31_00027563-RA	DB47_00055529-RA
OG0013900	E0M31_00093047-RA	DB47_00047746-RA
OG0013901	E0M31_00088715-RA	DB47_00061278-RA
OG0013902	E0M31_00024230-RA	DB47_00010040-RI
OG0013903	E0M31_00002757-RD	DB47_00015826-RA
OG0013904	E0M31_00025144-RA	DB47_00014775-RB
OG0013906	E0M31_00032352-RA	DB47_00006247-RA
OG0013908	E0M31_00050608-RA	DB47_00020503-RA
OG0013909	E0M31_00080284-RA	DB47_00066440-RA
OG0013910	E0M31_00082700-RA	DB47_00016103-RA
OG0013914	E0M31_00003458-RB	DB47_00012280-RB
OG0013916	E0M31_00007533-RA	DB47_00024692-RA
OG0013921	E0M31_00026517-RA	DB47_00037807-RA
OG0013924	E0M31_00048416-RA	DB47_00024655-RA
OG0013927	E0M31_00018346-RB	DB47_00055729-RA
OG0013928	E0M31_00038687-RB	DB47_00035640-RA
OG0013929	E0M31_00052391-RA	DB47_00073352-RA
OG0013931	E0M31_00066998-RA	DB47_00048416-RA
OG0013937	E0M31_00062217-RA	DB47_00048893-RA
OG0013938	E0M31_00042423-RA	DB47_00049155-RA
OG0013939	E0M31_00039441-RB	DB47_00013139-RA
OG0013941	E0M31_00010762-RB	DB47_00013864-RB
OG0013944	E0M31_00009115-RB	DB47_00016964-RA
OG0013949	E0M31_00069653-RA	DB47_00010146-RA
OG0013953	E0M31_00047013-RC	DB47_00049432-RB
OG0013954	E0M31_00011052-RA	DB47_00038088-RA
OG0013957	E0M31_00009359-RA	DB47_00008457-RA
OG0013958	E0M31_00063132-RA	DB47_00058365-RA
OG0013959	E0M31_00092214-RA	DB47_00077994-RA
OG0013961	E0M31_00074209-RA	DB47_00062774-RA
OG0013964	E0M31_00034523-RA	DB47_00014638-RA
OG0013965	E0M31_00034579-RA	DB47_00030350-RB
OG0013967	E0M31_00018097-RA	DB47_00035333-RA
OG0013968	E0M31_00033057-RA	DB47_00078234-RA
OG0013976	E0M31_00064707-RA	DB47_00035589-RA
OG0013979	E0M31_00012939-RA	DB47_00036646-RA
OG0013980	E0M31_00052777-RA	DB47_00047534-RA
OG0013981	E0M31_00001475-RG	DB47_00041132-RA
OG0013984	E0M31_00055194-RA	DB47_00054355-RA
OG0013987	E0M31_00024655-RA	DB47_00054927-RA
OG0013988	E0M31_00037659-RA	DB47_00006970-RA
OG0013990	E0M31_00042053-RA	DB47_00015692-RA
OG0014001	E0M31_00024160-RA	DB47_00048016-RA
OG0014003	E0M31_00080137-RA	DB47_00063856-RA
OG0014005	E0M31_00052663-RB	DB47_00025931-RA
OG0014006	E0M31_00050784-RA	DB47_00070496-RA
OG0014010	E0M31_00073663-RA	DB47_00002708-RA
OG0014011	E0M31_00016135-RA	DB47_00022063-RB
OG0014013	E0M31_00020118-RA	DB47_00040310-RA
OG0014016	E0M31_00040830-RA	DB47_00037563-RA
OG0014017	E0M31_00081695-RA	DB47_00041943-RA
OG0014018	E0M31_00025293-RA	DB47_00022400-RA
OG0014020	E0M31_00034794-RA	DB47_00045537-RA
OG0014021	E0M31_00075174-RA	DB47_00037049-RA
OG0014022	E0M31_00031048-RD	DB47_00044070-RA
OG0014025	E0M31_00070333-RA	DB47_00037345-RA
OG0014028	E0M31_00051136-RA	DB47_00057795-RA
OG0014029	E0M31_00047650-RA	DB47_00075552-RA
OG0014033	E0M31_00017224-RA	DB47_00074453-RA
OG0014035	E0M31_00084936-RA	DB47_00027816-RA
OG0014036	E0M31_00020724-RC	DB47_00029946-RB
OG0014041	E0M31_00034652-RA	DB47_00069712-RA
OG0014042	E0M31_00069552-RA	DB47_00057685-RA
OG0014044	E0M31_00079454-RA	DB47_00014209-RA
OG0014046	E0M31_00048953-RA	DB47_00009298-RA
OG0014048	E0M31_00064326-RA	DB47_00016305-RA
OG0014050	E0M31_00081968-RA	DB47_00053270-RA
OG0014052	E0M31_00052097-RA	DB47_00063369-RA
OG0014055	E0M31_00059154-RA	DB47_00014683-RA
OG0014057	E0M31_00080093-RA	DB47_00031784-RA
OG0014058	E0M31_00042230-RA	DB47_00036587-RA
OG0014059	E0M31_00089218-RA	DB47_00078489-RA
OG0014060	E0M31_00004852-RC	DB47_00029929-RA
OG0014061	E0M31_00017332-RA	DB47_00006488-RA
OG0014062	E0M31_00024924-RA	DB47_00062875-RA
OG0014067	E0M31_00092684-RA	DB47_00047770-RA
OG0014077	E0M31_00022361-RA	DB47_00048730-RA
OG0014078	E0M31_00015521-RF	DB47_00032020-RB
OG0014080	E0M31_00044213-RA	DB47_00037766-RB
OG0014082	E0M31_00004677-RA	DB47_00021547-RA
OG0014083	E0M31_00001194-RA	DB47_00033059-RA
OG0014084	E0M31_00001192-RA	DB47_00025653-RA
OG0014087	E0M31_00041220-RB	DB47_00045110-RB
OG0014089	E0M31_00018725-RA	DB47_00032741-RB
OG0014092	E0M31_00088239-RA	DB47_00029343-RA
OG0014093	E0M31_00088834-RA	DB47_00050226-RA
OG0014095	E0M31_00077769-RA	DB47_00021748-RA
OG0014096	E0M31_00030132-RC	DB47_00043006-RB
OG0014097	E0M31_00046485-RA	DB47_00026049-RA
OG0014099	E0M31_00020176-RA	DB47_00021326-RA
OG0014100	E0M31_00074442-RA	DB47_00041108-RA
OG0014101	E0M31_00049376-RA	DB47_00040485-RA
OG0014103	E0M31_00062050-RA	DB47_00034159-RA
OG0014109	E0M31_00062772-RA	DB47_00056740-RA
OG0014112	E0M31_00066693-RA	DB47_00058095-RA
OG0014113	E0M31_00017009-RA	DB47_00000952-RA
OG0014115	E0M31_00001823-RA	DB47_00077559-RA
OG0014118	E0M31_00021564-RB	DB47_00004356-RA
OG0014119	E0M31_00017118-RA	DB47_00025314-RA
OG0014121	E0M31_00013918-RA	DB47_00009524-RA
OG0014125	E0M31_00073560-RA	DB47_00037078-RA
OG0014130	E0M31_00062584-RA	DB47_00036662-RA
OG0014133	E0M31_00054833-RA	DB47_00055390-RA
OG0014141	E0M31_00024056-RA	DB47_00056118-RA
OG0014143	E0M31_00053365-RA	DB47_00018996-RA
OG0014144	E0M31_00005491-RA	DB47_00003495-RA
OG0014146	E0M31_00012458-RA	DB47_00013707-RA
OG0014147	E0M31_00003607-RA	DB47_00019317-RA
OG0014150	E0M31_00054727-RA	DB47_00033056-RA
OG0014151	E0M31_00005132-RA	DB47_00011734-RA
OG0014153	E0M31_00049008-RA	DB47_00075002-RA
OG0014159	E0M31_00017415-RB	DB47_00000531-RA
OG0014161	E0M31_00027874-RB	DB47_00021539-RB
OG0014162	E0M31_00049216-RA	DB47_00075083-RA
OG0014164	E0M31_00048776-RA	DB47_00046677-RA
OG0014166	E0M31_00046731-RA	DB47_00067520-RA
OG0014168	E0M31_00033705-RB	DB47_00029976-RB
OG0014169	E0M31_00021682-RA	DB47_00079060-RA
OG0014171	E0M31_00015389-RA	DB47_00006808-RA
OG0014172	E0M31_00071651-RA	DB47_00026152-RA
OG0014173	E0M31_00077090-RA	DB47_00062881-RA
OG0014174	E0M31_00009214-RA	DB47_00041154-RA
OG0014175	E0M31_00039548-RA	DB47_00019037-RA
OG0014178	E0M31_00011790-RA	DB47_00019125-RA
OG0014179	E0M31_00005526-RA	DB47_00009852-RA
OG0014180	E0M31_00049309-RB	DB47_00024109-RA
OG0014183	E0M31_00004780-RA	DB47_00002926-RA
OG0014184	E0M31_00085460-RA	DB47_00067443-RA
OG0014189	E0M31_00059836-RA	DB47_00053150-RA
OG0014191	E0M31_00000169-RH	DB47_00005569-RB
OG0014193	E0M31_00048382-RB	DB47_00047179-RA
OG0014194	E0M31_00018380-RA	DB47_00008494-RA
OG0014197	E0M31_00070674-RA	DB47_00008154-RA
OG0014201	E0M31_00037205-RA	DB47_00077810-RA
OG0014204	E0M31_00030152-RA	DB47_00048072-RA
OG0014206	E0M31_00019555-RA	DB47_00014887-RC
OG0014208	E0M31_00048717-RA	DB47_00022139-RA
OG0014209	E0M31_00067992-RA	DB47_00044640-RA
OG0014210	E0M31_00037021-RA	DB47_00026037-RA
OG0014211	E0M31_00078587-RA	DB47_00071394-RA
OG0014212	E0M31_00016940-RA	DB47_00037746-RA
OG0014213	E0M31_00071567-RA	DB47_00049783-RA
OG0014214	E0M31_00049602-RA	DB47_00038990-RA
OG0014215	E0M31_00093012-RA	DB47_00073858-RA
OG0014216	E0M31_00053635-RA	DB47_00031656-RB
OG0014218	E0M31_00069201-RA	DB47_00051930-RA
OG0014220	E0M31_00014211-RA	DB47_00012038-RA
OG0014221	E0M31_00075378-RA	DB47_00053527-RA
OG0014222	E0M31_00012807-RB	DB47_00019102-RA
OG0014227	E0M31_00006611-RA	DB47_00077477-RA
OG0014229	E0M31_00000799-RA	DB47_00057372-RA
OG0014232	E0M31_00035228-RA	DB47_00039931-RA
OG0014233	E0M31_00092557-RA	DB47_00078094-RA
OG0014235	E0M31_00028517-RA	DB47_00022083-RC
OG0014237	E0M31_00060383-RA	DB47_00046481-RA
OG0016588	E0M31_00057883-RB	DB47_00052988-RA
OG0016589	E0M31_00062338-RA	DB47_00015879-RB
OG0016590	E0M31_00034574-RB	DB47_00012498-RB
OG0016591	E0M31_00001482-RA	DB47_00013868-RB
OG0016596	E0M31_00008189-RB	DB47_00008311-RA
OG0016597	E0M31_00083411-RA	DB47_00042830-RA
OG0016598	E0M31_00048420-RA	DB47_00043420-RB
OG0016599	E0M31_00035382-RA	DB47_00066534-RA
OG0016600	E0M31_00013064-RA	DB47_00050127-RA
OG0016602	E0M31_00036263-RA	DB47_00033009-RA
OG0016604	E0M31_00066777-RA	DB47_00007678-RA
OG0016610	E0M31_00033510-RA	DB47_00004839-RA
OG0016612	E0M31_00008067-RA	DB47_00016350-RC
OG0016614	E0M31_00051523-RA	DB47_00027363-RB
OG0016615	E0M31_00016158-RB	DB47_00021799-RA
OG0016616	E0M31_00016159-RA	DB47_00021798-RA
OG0016618	E0M31_00000714-RB	DB47_00006855-RB
OG0016619	E0M31_00083318-RA	DB47_00019377-RA
OG0016620	E0M31_00070706-RA	DB47_00047762-RA
OG0016622	E0M31_00081472-RA	DB47_00050426-RA
OG0016623	E0M31_00000968-RH	DB47_00008020-RI
OG0016624	E0M31_00031777-RA	DB47_00004903-RA
OG0016625	E0M31_00047733-RA	DB47_00042456-RA
OG0016628	E0M31_00012876-RA	DB47_00045601-RA
OG0016629	E0M31_00040060-RA	DB47_00037717-RA
OG0016630	E0M31_00027917-RB	DB47_00009331-RC
OG0016633	E0M31_00040559-RA	DB47_00045181-RA
OG0016635	E0M31_00050213-RA	DB47_00046058-RA
OG0016636	E0M31_00059917-RA	DB47_00050848-RA
OG0016638	E0M31_00078086-RA	DB47_00033088-RA
OG0016639	E0M31_00018812-RA	DB47_00022516-RA
OG0016640	E0M31_00032332-RB	DB47_00016610-RA
OG0016641	E0M31_00012012-RB	DB47_00030291-RB
OG0016648	E0M31_00015994-RA	DB47_00035569-RB
OG0016649	E0M31_00000650-RK	DB47_00015857-RA
OG0016650	E0M31_00059004-RA	DB47_00064997-RA
OG0016652	E0M31_00083748-RA	DB47_00037108-RA
OG0016654	E0M31_00050656-RA	DB47_00056261-RA
OG0016655	E0M31_00032081-RA	DB47_00025438-RA
OG0016656	E0M31_00014894-RB	DB47_00017872-RA
OG0016657	E0M31_00038604-RB	DB47_00055327-RA
OG0016660	E0M31_00066327-RA	DB47_00029869-RA
OG0016662	E0M31_00036261-RC	DB47_00028638-RC
OG0016666	E0M31_00000386-RA	DB47_00009684-RA
OG0016668	E0M31_00031978-RA	DB47_00001100-RA
OG0016669	E0M31_00028196-RA	DB47_00035063-RA
OG0016670	E0M31_00025925-RA	DB47_00048851-RB
OG0016671	E0M31_00009488-RB	DB47_00011194-RB
OG0016672	E0M31_00003045-RA	DB47_00019542-RD
OG0016673	E0M31_00049605-RA	DB47_00074761-RA
OG0016675	E0M31_00040574-RB	DB47_00061979-RA
OG0016676	E0M31_00004300-RA	DB47_00009904-RC
OG0016677	E0M31_00054443-RB	DB47_00038829-RA
OG0016680	E0M31_00055780-RA	DB47_00021107-RD
OG0016682	E0M31_00011743-RA	DB47_00048161-RA
OG0016683	E0M31_00003471-RA	DB47_00014821-RB
OG0016685	E0M31_00062398-RA	DB47_00008611-RA
OG0016686	E0M31_00014817-RB	DB47_00045846-RB
OG0016688	E0M31_00014509-RB	DB47_00039509-RB
OG0016691	E0M31_00029977-RA	DB47_00020624-RA
OG0016692	E0M31_00045912-RA	DB47_00044284-RA
OG0016694	E0M31_00011113-RC	DB47_00012085-RC
OG0016695	E0M31_00005164-RH	DB47_00001280-RB
OG0016696	E0M31_00016471-RC	DB47_00012754-RA
OG0016698	E0M31_00059122-RA	DB47_00021531-RA
OG0016700	E0M31_00075991-RA	DB47_00019285-RA
OG0016701	E0M31_00067957-RA	DB47_00007417-RA
OG0016702	E0M31_00036177-RB	DB47_00039960-RA
OG0016703	E0M31_00015009-RC	DB47_00011667-RA
OG0016704	E0M31_00051230-RA	DB47_00043406-RA
OG0016705	E0M31_00000833-RE	DB47_00001003-RA
OG0016706	E0M31_00088739-RA	DB47_00046728-RA
OG0016707	E0M31_00078698-RA	DB47_00025270-RA
OG0016708	E0M31_00061296-RA	DB47_00033964-RB
OG0016709	E0M31_00025806-RA	DB47_00015115-RC
OG0016710	E0M31_00034818-RB	DB47_00020290-RA
OG0016712	E0M31_00025828-RB	DB47_00024947-RA
OG0016713	E0M31_00042419-RA	DB47_00039773-RB
OG0016714	E0M31_00015327-RA	DB47_00038610-RA
OG0016718	E0M31_00026244-RD	DB47_00003990-RA
OG0016719	E0M31_00021956-RA	DB47_00020073-RA
OG0016720	E0M31_00009601-RA	DB47_00025152-RB
OG0016723	E0M31_00026346-RC	DB47_00047248-RA
OG0016725	E0M31_00008535-RA	DB47_00027030-RA
OG0016726	E0M31_00021852-RA	DB47_00042697-RA
OG0016727	E0M31_00031239-RA	DB47_00008915-RB
OG0016729	E0M31_00029774-RA	DB47_00022419-RB
