OG0012312	E0M31_00068937-RA	ABT39_00020472-RA
OG0013098	E0M31_00003851-RA	ABT39_00028229-RA
OG0013100	E0M31_00072516-RA	ABT39_00094514-RA
OG0013102	E0M31_00021404-RA	ABT39_00073585-RA
OG0013103	E0M31_00028539-RA	ABT39_00050851-RA
OG0013104	E0M31_00057282-RA	ABT39_00082505-RA
OG0013105	E0M31_00073487-RA	ABT39_00107216-RA
OG0013106	E0M31_00075700-RA	ABT39_00033857-RA
OG0013107	E0M31_00082646-RA	ABT39_00105734-RA
OG0013110	E0M31_00077929-RA	ABT39_00090827-RA
OG0013111	E0M31_00003819-RB	ABT39_00012845-RA
OG0013112	E0M31_00021393-RD	ABT39_00019538-RC
OG0013114	E0M31_00083923-RA	ABT39_00072452-RA
OG0013118	E0M31_00041558-RB	ABT39_00076353-RA
OG0013120	E0M31_00069361-RA	ABT39_00091569-RA
OG0013121	E0M31_00006191-RB	ABT39_00061586-RA
OG0013123	E0M31_00017775-RA	ABT39_00009558-RA
OG0013125	E0M31_00043423-RA	ABT39_00029057-RA
OG0013126	E0M31_00071321-RA	ABT39_00117727-RA
OG0013127	E0M31_00014129-RA	ABT39_00091284-RA
OG0013128	E0M31_00028201-RB	ABT39_00064119-RA
OG0013129	E0M31_00005109-RB	ABT39_00025980-RC
OG0013130	E0M31_00017693-RA	ABT39_00014304-RA
OG0013132	E0M31_00004649-RA	ABT39_00000518-RA
OG0013133	E0M31_00008284-RA	ABT39_00010153-RB
OG0013134	E0M31_00005974-RC	ABT39_00014201-RD
OG0013135	E0M31_00048539-RA	ABT39_00062647-RA
OG0013137	E0M31_00042099-RA	ABT39_00063237-RA
OG0013138	E0M31_00021377-RA	ABT39_00033433-RC
OG0013140	E0M31_00072716-RA	ABT39_00042336-RA
OG0013141	E0M31_00023429-RA	ABT39_00067720-RA
OG0013142	E0M31_00025237-RB	ABT39_00007695-RA
OG0013143	E0M31_00076068-RA	ABT39_00066579-RA
OG0013144	E0M31_00074578-RA	ABT39_00069945-RA
OG0013146	E0M31_00037726-RA	ABT39_00051399-RA
OG0013147	E0M31_00040544-RB	ABT39_00056411-RB
OG0013152	E0M31_00047152-RB	ABT39_00029097-RA
OG0013153	E0M31_00029161-RA	ABT39_00041888-RA
OG0013154	E0M31_00004681-RA	ABT39_00033392-RA
OG0013155	E0M31_00033801-RA	ABT39_00069125-RA
OG0013156	E0M31_00026275-RB	ABT39_00014956-RD
OG0013157	E0M31_00024179-RA	ABT39_00059635-RA
OG0013158	E0M31_00031142-RA	ABT39_00048035-RA
OG0013159	E0M31_00017631-RA	ABT39_00014941-RA
OG0013162	E0M31_00005065-RA	ABT39_00010405-RB
OG0013164	E0M31_00050041-RA	ABT39_00071501-RA
OG0013166	E0M31_00059752-RA	ABT39_00058267-RB
OG0013168	E0M31_00008219-RD	ABT39_00027378-RC
OG0013173	E0M31_00063585-RA	ABT39_00098558-RA
OG0013174	E0M31_00014702-RA	ABT39_00054051-RA
OG0013175	E0M31_00001607-RB	ABT39_00090490-RA
OG0013178	E0M31_00055468-RA	ABT39_00088914-RA
OG0013179	E0M31_00064903-RA	ABT39_00041311-RA
OG0013182	E0M31_00063466-RA	ABT39_00077972-RA
OG0013183	E0M31_00023686-RA	ABT39_00031851-RA
OG0013184	E0M31_00011910-RA	ABT39_00004232-RC
OG0013185	E0M31_00013631-RB	ABT39_00023280-RA
OG0013186	E0M31_00003362-RA	ABT39_00006398-RA
OG0013187	E0M31_00034453-RA	ABT39_00066937-RA
OG0013193	E0M31_00032480-RA	ABT39_00050457-RB
OG0013195	E0M31_00031666-RA	ABT39_00009966-RA
OG0013196	E0M31_00027453-RA	ABT39_00057793-RA
OG0013197	E0M31_00041399-RA	ABT39_00076186-RB
OG0013198	E0M31_00079110-RA	ABT39_00032738-RC
OG0013200	E0M31_00000838-RA	ABT39_00015447-RC
OG0013201	E0M31_00000836-RA	ABT39_00015448-RA
OG0013202	E0M31_00008752-RD	ABT39_00035817-RC
OG0013204	E0M31_00000379-RB	ABT39_00015589-RA
OG0013205	E0M31_00000378-RA	ABT39_00015588-RA
OG0013207	E0M31_00011584-RA	ABT39_00008334-RB
OG0013208	E0M31_00043733-RA	ABT39_00014235-RA
OG0013210	E0M31_00070191-RA	ABT39_00036536-RA
OG0013212	E0M31_00084574-RA	ABT39_00075442-RA
OG0013213	E0M31_00015576-RA	ABT39_00091393-RA
OG0013215	E0M31_00043516-RA	ABT39_00056776-RA
OG0013216	E0M31_00000412-RA	ABT39_00069944-RA
OG0013217	E0M31_00034913-RA	ABT39_00055344-RA
OG0013218	E0M31_00093050-RA	ABT39_00116684-RA
OG0013219	E0M31_00014414-RA	ABT39_00110202-RA
OG0013220	E0M31_00080822-RA	ABT39_00023654-RA
OG0013221	E0M31_00064847-RA	ABT39_00020675-RA
OG0013224	E0M31_00007678-RA	ABT39_00069028-RA
OG0013227	E0M31_00032178-RA	ABT39_00040000-RA
OG0013229	E0M31_00072207-RA	ABT39_00070058-RA
OG0013230	E0M31_00015027-RA	ABT39_00008814-RA
OG0013231	E0M31_00014234-RA	ABT39_00012271-RA
OG0013232	E0M31_00071382-RA	ABT39_00029417-RA
OG0013233	E0M31_00081263-RA	ABT39_00067918-RA
OG0013235	E0M31_00031194-RA	ABT39_00015054-RA
OG0013238	E0M31_00005982-RA	ABT39_00040780-RA
OG0013239	E0M31_00068884-RA	ABT39_00056383-RB
OG0013241	E0M31_00001287-RB	ABT39_00027245-RB
OG0013242	E0M31_00051407-RA	ABT39_00002489-RC
OG0013243	E0M31_00039667-RA	ABT39_00088750-RA
OG0013244	E0M31_00038958-RA	ABT39_00080923-RB
OG0013246	E0M31_00003436-RA	ABT39_00067192-RA
OG0013247	E0M31_00042528-RB	ABT39_00040889-RC
OG0013248	E0M31_00065982-RA	ABT39_00060437-RA
OG0013249	E0M31_00057632-RA	ABT39_00039347-RA
OG0013250	E0M31_00030934-RB	ABT39_00035866-RA
OG0013251	E0M31_00082407-RA	ABT39_00079251-RA
OG0013252	E0M31_00044548-RA	ABT39_00042108-RA
OG0013253	E0M31_00011683-RA	ABT39_00034535-RA
OG0013254	E0M31_00014992-RA	ABT39_00018607-RB
OG0013258	E0M31_00053856-RA	ABT39_00093485-RA
OG0013260	E0M31_00036685-RA	ABT39_00072443-RA
OG0013261	E0M31_00060946-RA	ABT39_00013720-RA
OG0013262	E0M31_00029351-RA	ABT39_00048817-RA
OG0013265	E0M31_00029516-RB	ABT39_00018569-RC
OG0013266	E0M31_00075007-RA	ABT39_00076090-RA
OG0013268	E0M31_00007269-RD	ABT39_00020144-RB
OG0013269	E0M31_00036952-RA	ABT39_00038022-RB
OG0013275	E0M31_00043756-RB	ABT39_00093379-RA
OG0013276	E0M31_00042614-RA	ABT39_00048711-RB
OG0013277	E0M31_00061855-RA	ABT39_00069682-RA
OG0013278	E0M31_00020245-RB	ABT39_00011072-RB
OG0013281	E0M31_00073951-RA	ABT39_00057298-RA
OG0013282	E0M31_00065411-RA	ABT39_00094403-RA
OG0013284	E0M31_00006671-RE	ABT39_00007417-RG
OG0013285	E0M31_00002334-RA	ABT39_00008934-RA
OG0013286	E0M31_00082543-RA	ABT39_00070110-RA
OG0013288	E0M31_00025627-RA	ABT39_00022767-RA
OG0013289	E0M31_00005790-RB	ABT39_00008851-RD
OG0013290	E0M31_00038863-RA	ABT39_00029727-RA
OG0013293	E0M31_00028790-RA	ABT39_00025440-RA
OG0013294	E0M31_00000360-RC	ABT39_00001329-RG
OG0013295	E0M31_00032446-RB	ABT39_00010652-RB
OG0013296	E0M31_00006022-RD	ABT39_00017966-RA
OG0013299	E0M31_00008999-RC	ABT39_00014144-RB
OG0013300	E0M31_00054672-RA	ABT39_00027807-RA
OG0013302	E0M31_00035300-RA	ABT39_00037836-RA
OG0013303	E0M31_00090765-RA	ABT39_00121821-RA
OG0013304	E0M31_00018747-RA	ABT39_00001178-RA
OG0013307	E0M31_00070825-RA	ABT39_00019550-RA
OG0013309	E0M31_00014029-RA	ABT39_00020481-RA
OG0013310	E0M31_00080529-RA	ABT39_00002721-RA
OG0013312	E0M31_00083420-RA	ABT39_00098814-RA
OG0013313	E0M31_00025232-RA	ABT39_00032014-RA
OG0013314	E0M31_00079524-RA	ABT39_00011138-RA
OG0013315	E0M31_00032479-RA	ABT39_00025880-RA
OG0013318	E0M31_00048452-RA	ABT39_00011127-RE
OG0013320	E0M31_00081395-RA	ABT39_00091591-RA
OG0013322	E0M31_00076524-RA	ABT39_00032283-RA
OG0013325	E0M31_00059791-RA	ABT39_00058050-RA
OG0013327	E0M31_00049836-RA	ABT39_00013124-RA
OG0013328	E0M31_00006067-RA	ABT39_00066788-RB
OG0013330	E0M31_00008271-RB	ABT39_00014801-RC
OG0013331	E0M31_00080777-RA	ABT39_00010503-RA
OG0013332	E0M31_00040161-RA	ABT39_00048948-RA
OG0013333	E0M31_00018487-RA	ABT39_00045821-RA
OG0013334	E0M31_00014899-RC	ABT39_00031078-RB
OG0013335	E0M31_00060789-RA	ABT39_00043205-RA
OG0013336	E0M31_00057642-RA	ABT39_00069777-RA
OG0013338	E0M31_00018052-RD	ABT39_00009992-RC
OG0013339	E0M31_00017854-RB	ABT39_00047588-RA
OG0013340	E0M31_00013010-RA	ABT39_00026118-RA
OG0013342	E0M31_00085742-RA	ABT39_00112242-RA
OG0013344	E0M31_00003978-RA	ABT39_00024605-RA
OG0013345	E0M31_00026000-RA	ABT39_00070291-RA
OG0013346	E0M31_00024943-RA	ABT39_00059728-RA
OG0013347	E0M31_00074860-RA	ABT39_00061393-RB
OG0013348	E0M31_00025859-RA	ABT39_00097241-RA
OG0013350	E0M31_00009870-RA	ABT39_00030680-RB
OG0013353	E0M31_00090294-RA	ABT39_00040537-RA
OG0013355	E0M31_00017779-RA	ABT39_00010118-RB
OG0013356	E0M31_00033904-RA	ABT39_00044059-RA
OG0013358	E0M31_00062780-RA	ABT39_00078397-RA
OG0013359	E0M31_00082792-RA	ABT39_00040923-RB
OG0013360	E0M31_00064744-RA	ABT39_00059141-RA
OG0013361	E0M31_00053877-RA	ABT39_00077113-RA
OG0013362	E0M31_00056334-RB	ABT39_00058030-RD
OG0013363	E0M31_00062667-RA	ABT39_00063843-RA
OG0013364	E0M31_00062045-RA	ABT39_00024028-RA
OG0013366	E0M31_00000123-RB	ABT39_00008024-RA
OG0013369	E0M31_00033320-RA	ABT39_00008804-RA
OG0013370	E0M31_00070470-RA	ABT39_00016564-RA
OG0013371	E0M31_00036201-RB	ABT39_00070014-RA
OG0013372	E0M31_00015317-RA	ABT39_00062356-RA
OG0013374	E0M31_00058580-RA	ABT39_00060735-RB
OG0013375	E0M31_00076989-RA	ABT39_00012838-RA
OG0013376	E0M31_00037321-RA	ABT39_00055929-RB
OG0013377	E0M31_00020928-RA	ABT39_00078321-RA
OG0013379	E0M31_00010065-RA	ABT39_00011553-RA
OG0013381	E0M31_00044482-RA	ABT39_00026147-RA
OG0013384	E0M31_00039395-RA	ABT39_00044987-RA
OG0013385	E0M31_00021660-RA	ABT39_00044988-RA
OG0013386	E0M31_00070416-RA	ABT39_00097819-RA
OG0013394	E0M31_00019393-RA	ABT39_00013166-RA
OG0013399	E0M31_00048852-RA	ABT39_00007492-RA
OG0013401	E0M31_00058411-RA	ABT39_00016488-RA
OG0013402	E0M31_00018197-RA	ABT39_00058753-RA
OG0013403	E0M31_00013472-RB	ABT39_00006484-RB
OG0013404	E0M31_00049162-RA	ABT39_00053293-RA
OG0013405	E0M31_00004877-RA	ABT39_00021757-RA
OG0013406	E0M31_00061283-RA	ABT39_00013950-RA
OG0013407	E0M31_00020167-RB	ABT39_00003932-RF
OG0013408	E0M31_00020168-RA	ABT39_00003933-RA
OG0013409	E0M31_00002864-RA	ABT39_00007197-RB
OG0013410	E0M31_00076226-RA	ABT39_00022431-RA
OG0013411	E0M31_00041556-RA	ABT39_00023411-RA
OG0013412	E0M31_00015241-RC	ABT39_00004731-RC
OG0013413	E0M31_00012887-RA	ABT39_00043495-RA
OG0013415	E0M31_00022790-RB	ABT39_00033348-RC
OG0013416	E0M31_00006524-RE	ABT39_00018534-RB
OG0013417	E0M31_00056619-RA	ABT39_00070497-RB
OG0013418	E0M31_00062097-RA	ABT39_00069479-RA
OG0013419	E0M31_00002476-RA	ABT39_00025006-RD
OG0013420	E0M31_00012971-RB	ABT39_00019837-RD
OG0013421	E0M31_00068406-RA	ABT39_00100254-RA
OG0013422	E0M31_00035741-RA	ABT39_00056935-RA
OG0013424	E0M31_00085454-RA	ABT39_00119939-RA
OG0013425	E0M31_00024567-RB	ABT39_00050083-RA
OG0013426	E0M31_00046699-RA	ABT39_00055574-RA
OG0013427	E0M31_00018485-RA	ABT39_00104569-RA
OG0013430	E0M31_00070769-RA	ABT39_00074238-RA
OG0013431	E0M31_00047517-RA	ABT39_00066221-RA
OG0013432	E0M31_00057708-RA	ABT39_00078925-RA
OG0013433	E0M31_00066129-RA	ABT39_00091781-RA
OG0013434	E0M31_00008590-RA	ABT39_00065855-RA
OG0013436	E0M31_00030305-RB	ABT39_00061213-RA
OG0013437	E0M31_00076336-RA	ABT39_00088635-RA
OG0013438	E0M31_00007658-RA	ABT39_00006967-RA
OG0013439	E0M31_00024255-RA	ABT39_00014547-RC
OG0013440	E0M31_00040730-RC	ABT39_00049418-RC
OG0013442	E0M31_00038387-RA	ABT39_00060749-RA
OG0013443	E0M31_00000086-RA	ABT39_00086254-RA
OG0013444	E0M31_00065956-RA	ABT39_00103239-RA
OG0013445	E0M31_00030068-RB	ABT39_00029856-RA
OG0013446	E0M31_00067127-RA	ABT39_00082337-RA
OG0013447	E0M31_00060938-RA	ABT39_00108311-RA
OG0013448	E0M31_00062526-RA	ABT39_00071003-RA
OG0013449	E0M31_00079971-RA	ABT39_00056330-RA
OG0013450	E0M31_00045792-RA	ABT39_00037212-RC
OG0013451	E0M31_00010342-RB	ABT39_00039151-RD
OG0013452	E0M31_00020606-RB	ABT39_00038308-RA
OG0013454	E0M31_00007028-RA	ABT39_00095983-RA
OG0013456	E0M31_00018863-RC	ABT39_00053799-RB
OG0013458	E0M31_00062391-RA	ABT39_00091347-RA
OG0013459	E0M31_00078582-RA	ABT39_00102420-RA
OG0013460	E0M31_00057912-RA	ABT39_00104526-RA
OG0013461	E0M31_00044297-RB	ABT39_00070802-RB
OG0013463	E0M31_00007829-RA	ABT39_00075154-RB
OG0013464	E0M31_00017394-RA	ABT39_00011158-RE
OG0013468	E0M31_00004321-RA	ABT39_00010391-RB
OG0013470	E0M31_00009421-RA	ABT39_00018936-RA
OG0013471	E0M31_00008817-RA	ABT39_00082379-RA
OG0013473	E0M31_00035309-RA	ABT39_00029576-RA
OG0013474	E0M31_00055914-RA	ABT39_00081907-RA
OG0013475	E0M31_00029270-RB	ABT39_00039706-RC
OG0013476	E0M31_00047898-RB	ABT39_00060295-RB
OG0013478	E0M31_00047461-RA	ABT39_00047882-RA
OG0013480	E0M31_00010865-RA	ABT39_00074649-RA
OG0013483	E0M31_00071926-RA	ABT39_00083635-RA
OG0013484	E0M31_00023698-RA	ABT39_00036506-RB
OG0013485	E0M31_00061267-RA	ABT39_00066379-RB
OG0013486	E0M31_00019369-RD	ABT39_00020802-RD
OG0013489	E0M31_00049067-RA	ABT39_00079849-RA
OG0013490	E0M31_00055841-RA	ABT39_00086398-RA
OG0013491	E0M31_00022419-RA	ABT39_00087312-RA
OG0013492	E0M31_00020010-RA	ABT39_00036577-RB
OG0013495	E0M31_00024042-RA	ABT39_00036202-RB
OG0013497	E0M31_00038227-RA	ABT39_00085970-RA
OG0013498	E0M31_00072699-RA	ABT39_00054839-RB
OG0013499	E0M31_00019842-RA	ABT39_00015003-RA
OG0013500	E0M31_00067612-RA	ABT39_00009266-RA
OG0013501	E0M31_00030143-RC	ABT39_00015498-RD
OG0013502	E0M31_00053473-RA	ABT39_00039298-RA
OG0013503	E0M31_00025755-RA	ABT39_00006426-RI
OG0013507	E0M31_00054164-RA	ABT39_00002931-RA
OG0013508	E0M31_00064940-RA	ABT39_00005894-RA
OG0013509	E0M31_00006255-RB	ABT39_00003128-RB
OG0013510	E0M31_00018817-RD	ABT39_00033913-RB
OG0013511	E0M31_00006530-RA	ABT39_00028003-RB
OG0013512	E0M31_00054694-RA	ABT39_00103483-RA
OG0013514	E0M31_00017937-RA	ABT39_00024971-RD
OG0013516	E0M31_00053097-RA	ABT39_00057402-RB
OG0013517	E0M31_00002942-RA	ABT39_00083171-RA
OG0013518	E0M31_00035986-RA	ABT39_00031328-RA
OG0013520	E0M31_00000258-RB	ABT39_00006980-RA
OG0013523	E0M31_00066607-RA	ABT39_00071809-RA
OG0013524	E0M31_00021656-RB	ABT39_00001563-RB
OG0013526	E0M31_00035196-RA	ABT39_00003073-RC
OG0013527	E0M31_00046839-RB	ABT39_00024794-RA
OG0013528	E0M31_00070138-RA	ABT39_00036576-RB
OG0013529	E0M31_00019888-RA	ABT39_00058217-RB
OG0013532	E0M31_00025579-RA	ABT39_00074662-RB
OG0013533	E0M31_00084599-RA	ABT39_00086712-RA
OG0013534	E0M31_00078136-RA	ABT39_00095186-RA
OG0013535	E0M31_00036285-RA	ABT39_00075170-RA
OG0013536	E0M31_00003779-RA	ABT39_00051712-RA
OG0013537	E0M31_00084302-RA	ABT39_00105364-RA
OG0013538	E0M31_00039035-RA	ABT39_00039070-RB
OG0013544	E0M31_00064571-RA	ABT39_00077748-RA
OG0013545	E0M31_00056983-RB	ABT39_00079985-RB
OG0013547	E0M31_00016297-RA	ABT39_00108402-RA
OG0013550	E0M31_00026838-RA	ABT39_00090511-RA
OG0013555	E0M31_00037225-RC	ABT39_00062314-RA
OG0013556	E0M31_00064215-RA	ABT39_00067171-RA
OG0013558	E0M31_00005981-RA	ABT39_00107779-RA
OG0013560	E0M31_00000249-RB	ABT39_00014516-RB
OG0013561	E0M31_00044259-RB	ABT39_00020989-RB
OG0013563	E0M31_00062182-RA	ABT39_00047989-RA
OG0013564	E0M31_00021661-RD	ABT39_00041257-RC
OG0013565	E0M31_00005389-RD	ABT39_00008611-RA
OG0013568	E0M31_00028725-RB	ABT39_00048222-RA
OG0013570	E0M31_00035450-RA	ABT39_00020547-RA
OG0013571	E0M31_00000001-RK	ABT39_00000932-RC
OG0013572	E0M31_00030588-RA	ABT39_00025506-RA
OG0013573	E0M31_00040329-RA	ABT39_00004389-RA
OG0013574	E0M31_00092889-RA	ABT39_00031508-RA
OG0013575	E0M31_00018503-RB	ABT39_00008331-RA
OG0013576	E0M31_00019468-RA	ABT39_00042878-RA
OG0013578	E0M31_00013716-RD	ABT39_00039087-RA
OG0013579	E0M31_00053841-RA	ABT39_00086926-RA
OG0013580	E0M31_00050094-RA	ABT39_00063302-RA
OG0013581	E0M31_00006130-RA	ABT39_00025195-RA
OG0013582	E0M31_00050291-RA	ABT39_00122046-RA
OG0013583	E0M31_00028396-RA	ABT39_00036601-RA
OG0013586	E0M31_00055065-RB	ABT39_00021640-RA
OG0013588	E0M31_00083218-RA	ABT39_00025408-RA
OG0013589	E0M31_00067651-RA	ABT39_00013293-RA
OG0013590	E0M31_00054205-RB	ABT39_00028459-RC
OG0013593	E0M31_00024675-RA	ABT39_00045068-RA
OG0013594	E0M31_00019188-RA	ABT39_00020860-RA
OG0013595	E0M31_00048928-RA	ABT39_00021200-RA
OG0013597	E0M31_00010987-RD	ABT39_00019514-RB
OG0013598	E0M31_00073791-RA	ABT39_00038401-RA
OG0013599	E0M31_00071888-RA	ABT39_00096775-RA
OG0013600	E0M31_00019867-RB	ABT39_00055256-RB
OG0013601	E0M31_00081692-RA	ABT39_00084075-RA
OG0013603	E0M31_00001118-RA	ABT39_00048472-RA
OG0013604	E0M31_00008256-RB	ABT39_00015538-RC
OG0013605	E0M31_00034436-RA	ABT39_00018126-RA
OG0013606	E0M31_00012045-RC	ABT39_00018127-RA
OG0013608	E0M31_00069762-RA	ABT39_00001191-RB
OG0013609	E0M31_00031069-RA	ABT39_00060435-RA
OG0013610	E0M31_00013022-RC	ABT39_00002310-RE
OG0013611	E0M31_00014949-RA	ABT39_00014686-RA
OG0013612	E0M31_00038502-RA	ABT39_00009491-RA
OG0013614	E0M31_00025699-RA	ABT39_00050564-RE
OG0013619	E0M31_00065166-RA	ABT39_00095254-RA
OG0013621	E0M31_00004993-RB	ABT39_00031478-RB
OG0013622	E0M31_00005760-RA	ABT39_00103927-RA
OG0013623	E0M31_00006295-RC	ABT39_00039583-RB
OG0013624	E0M31_00009575-RD	ABT39_00095344-RA
OG0013625	E0M31_00062605-RA	ABT39_00080302-RA
OG0013626	E0M31_00059424-RA	ABT39_00068447-RA
OG0013627	E0M31_00046726-RA	ABT39_00084431-RA
OG0013628	E0M31_00071692-RA	ABT39_00083082-RA
OG0013629	E0M31_00073178-RA	ABT39_00087520-RA
OG0013630	E0M31_00045189-RB	ABT39_00075311-RB
OG0013631	E0M31_00037173-RB	ABT39_00056644-RD
OG0013632	E0M31_00023903-RD	ABT39_00007741-RE
OG0013634	E0M31_00076197-RA	ABT39_00037860-RA
OG0013636	E0M31_00039952-RB	ABT39_00060405-RA
OG0013639	E0M31_00019310-RD	ABT39_00049983-RA
OG0013640	E0M31_00023742-RA	ABT39_00002623-RB
OG0013642	E0M31_00008893-RA	ABT39_00011680-RA
OG0013643	E0M31_00017374-RB	ABT39_00024482-RC
OG0013644	E0M31_00047308-RA	ABT39_00033873-RA
OG0013645	E0M31_00002002-RA	ABT39_00016307-RA
OG0013646	E0M31_00059231-RA	ABT39_00054937-RA
OG0014993	E0M31_00040511-RB	ABT39_00006574-RB
OG0014998	E0M31_00046735-RA	ABT39_00020690-RA
OG0015003	E0M31_00030696-RB	ABT39_00013683-RC
OG0015005	E0M31_00022785-RB	ABT39_00023796-RA
OG0015006	E0M31_00048059-RA	ABT39_00033236-RA
OG0015009	E0M31_00078615-RA	ABT39_00046496-RA
OG0015014	E0M31_00010499-RA	ABT39_00055340-RA
OG0015015	E0M31_00029151-RA	ABT39_00047059-RA
OG0015019	E0M31_00042065-RA	ABT39_00082063-RA
OG0015020	E0M31_00026446-RA	ABT39_00062155-RA
OG0015025	E0M31_00000337-RA	ABT39_00041417-RB
OG0015027	E0M31_00027451-RA	ABT39_00083038-RA
OG0015028	E0M31_00012211-RB	ABT39_00020673-RE
OG0015034	E0M31_00040029-RA	ABT39_00057988-RA
OG0015038	E0M31_00035829-RA	ABT39_00080024-RA
OG0015040	E0M31_00065806-RA	ABT39_00005790-RA
OG0015042	E0M31_00069947-RA	ABT39_00016379-RC
OG0015043	E0M31_00036934-RA	ABT39_00043268-RA
OG0015046	E0M31_00050436-RA	ABT39_00094627-RA
OG0015047	E0M31_00054651-RA	ABT39_00100033-RA
OG0015050	E0M31_00051740-RA	ABT39_00051267-RA
OG0015052	E0M31_00033504-RA	ABT39_00047085-RA
OG0015057	E0M31_00004290-RF	ABT39_00010571-RC
OG0015059	E0M31_00018261-RB	ABT39_00004518-RA
OG0015061	E0M31_00005041-RE	ABT39_00001957-RD
OG0015062	E0M31_00035839-RA	ABT39_00015309-RA
OG0015068	E0M31_00047942-RB	ABT39_00033193-RC
OG0015073	E0M31_00044591-RB	ABT39_00062387-RB
OG0015075	E0M31_00081083-RA	ABT39_00023857-RC
OG0015077	E0M31_00020029-RA	ABT39_00104709-RA
OG0015078	E0M31_00004142-RA	ABT39_00027789-RC
OG0015081	E0M31_00048713-RA	ABT39_00083144-RA
OG0015094	E0M31_00027556-RA	ABT39_00022507-RA
OG0015095	E0M31_00074513-RA	ABT39_00042973-RA
OG0015096	E0M31_00037773-RB	ABT39_00025822-RA
OG0015109	E0M31_00073853-RA	ABT39_00044259-RA
OG0015110	E0M31_00032228-RC	ABT39_00044948-RA
OG0015112	E0M31_00033573-RB	ABT39_00041900-RB
OG0015113	E0M31_00010743-RB	ABT39_00008121-RD
OG0015116	E0M31_00038900-RA	ABT39_00035584-RB
OG0015122	E0M31_00074069-RA	ABT39_00026814-RA
OG0015126	E0M31_00040683-RB	ABT39_00003869-RA
OG0015130	E0M31_00062637-RA	ABT39_00058321-RA
OG0015132	E0M31_00064860-RA	ABT39_00086106-RA
OG0015133	E0M31_00055867-RA	ABT39_00075893-RA
OG0015137	E0M31_00030065-RB	ABT39_00029985-RA
OG0015139	E0M31_00011739-RB	ABT39_00035625-RA
OG0015148	E0M31_00023552-RA	ABT39_00051215-RC
OG0015151	E0M31_00040330-RB	ABT39_00062020-RB
OG0015152	E0M31_00044484-RB	ABT39_00029011-RB
OG0015153	E0M31_00028133-RA	ABT39_00088262-RA
OG0015155	E0M31_00005078-RA	ABT39_00008688-RA
OG0015158	E0M31_00006241-RA	ABT39_00052460-RA
OG0015161	E0M31_00066477-RA	ABT39_00092770-RA
OG0015175	E0M31_00000638-RB	ABT39_00080389-RB
OG0015177	E0M31_00070194-RA	ABT39_00096133-RA
OG0015178	E0M31_00048767-RB	ABT39_00058621-RA
OG0015181	E0M31_00022832-RA	ABT39_00085625-RA
OG0015182	E0M31_00030775-RA	ABT39_00060524-RA
OG0015185	E0M31_00033652-RA	ABT39_00061585-RD
OG0015186	E0M31_00036114-RA	ABT39_00066858-RA
OG0015190	E0M31_00037169-RB	ABT39_00059486-RA
OG0015191	E0M31_00018539-RA	ABT39_00074826-RA
OG0015196	E0M31_00051481-RA	ABT39_00082193-RA
OG0015203	E0M31_00059844-RA	ABT39_00006475-RA
OG0015210	E0M31_00092048-RA	ABT39_00056965-RA
OG0015211	E0M31_00017896-RB	ABT39_00002663-RB
OG0015218	E0M31_00018118-RA	ABT39_00106312-RA
OG0015221	E0M31_00007671-RC	ABT39_00099452-RA
OG0015222	E0M31_00050669-RA	ABT39_00078365-RA
OG0015225	E0M31_00034065-RA	ABT39_00071653-RA
OG0015229	E0M31_00057203-RA	ABT39_00091085-RA
OG0015238	E0M31_00014392-RC	ABT39_00012289-RA
OG0015239	E0M31_00002013-RA	ABT39_00122240-RA
OG0015245	E0M31_00013508-RB	ABT39_00060173-RA
OG0015247	E0M31_00072608-RA	ABT39_00006735-RA
OG0015249	E0M31_00043572-RA	ABT39_00020595-RA
OG0015253	E0M31_00037528-RB	ABT39_00011999-RB
OG0015255	E0M31_00045013-RA	ABT39_00031352-RB
OG0015259	E0M31_00035315-RA	ABT39_00035640-RA
OG0015262	E0M31_00003367-RB	ABT39_00069508-RB
OG0015270	E0M31_00018294-RA	ABT39_00084740-RA
OG0015274	E0M31_00017748-RD	ABT39_00048985-RB
OG0015276	E0M31_00005047-RA	ABT39_00105929-RA
OG0015278	E0M31_00016996-RB	ABT39_00008629-RB
OG0015280	E0M31_00051012-RA	ABT39_00003346-RA
OG0015281	E0M31_00014366-RF	ABT39_00006626-RG
OG0015283	E0M31_00028051-RB	ABT39_00024226-RA
OG0015286	E0M31_00023484-RA	ABT39_00066208-RB
OG0015293	E0M31_00022865-RB	ABT39_00025436-RB
OG0015297	E0M31_00004837-RA	ABT39_00004562-RC
OG0015299	E0M31_00002058-RC	ABT39_00042904-RA
OG0015303	E0M31_00050055-RA	ABT39_00068314-RA
OG0015305	E0M31_00082821-RA	ABT39_00057445-RA
OG0015317	E0M31_00005912-RB	ABT39_00000546-RD
OG0015318	E0M31_00013038-RA	ABT39_00060988-RA
OG0015319	E0M31_00035556-RA	ABT39_00012704-RB
OG0015328	E0M31_00034702-RB	ABT39_00049518-RA
OG0015329	E0M31_00009040-RA	ABT39_00016319-RB
OG0015331	E0M31_00061621-RA	ABT39_00019786-RA
OG0015335	E0M31_00015414-RB	ABT39_00092817-RA
OG0015337	E0M31_00034880-RA	ABT39_00064408-RA
OG0015338	E0M31_00002048-RA	ABT39_00094708-RA
OG0015341	E0M31_00067388-RA	ABT39_00015762-RA
