OG0012315	DB47_00014285-RA	E0M31_00014648-RC
OG0013381	DB47_00048881-RA	E0M31_00044482-RA
OG0013384	DB47_00015231-RA	E0M31_00039395-RA
OG0013385	DB47_00015232-RA	E0M31_00021660-RA
OG0013386	DB47_00015352-RA	E0M31_00070416-RA
OG0013394	DB47_00007593-RA	E0M31_00019393-RA
OG0013399	DB47_00008193-RA	E0M31_00048852-RA
OG0013401	DB47_00037066-RA	E0M31_00058411-RA
OG0013403	DB47_00033120-RB	E0M31_00013472-RB
OG0013404	DB47_00020336-RA	E0M31_00049162-RA
OG0013405	DB47_00006018-RA	E0M31_00004877-RA
OG0013406	DB47_00059180-RA	E0M31_00061283-RA
OG0013407	DB47_00006758-RC	E0M31_00020167-RB
OG0013408	DB47_00006759-RA	E0M31_00020168-RA
OG0013409	DB47_00019642-RA	E0M31_00002864-RA
OG0013410	DB47_00026777-RA	E0M31_00076226-RA
OG0013411	DB47_00027991-RA	E0M31_00041556-RA
OG0013412	DB47_00012899-RC	E0M31_00015241-RC
OG0013413	DB47_00029893-RA	E0M31_00012887-RA
OG0013415	DB47_00004790-RC	E0M31_00022790-RB
OG0013416	DB47_00007988-RB	E0M31_00006524-RE
OG0013417	DB47_00046760-RA	E0M31_00056619-RA
OG0013418	DB47_00016175-RB	E0M31_00062097-RA
OG0013419	DB47_00010471-RA	E0M31_00002476-RA
OG0013421	DB47_00037392-RA	E0M31_00068406-RA
OG0013422	DB47_00012261-RA	E0M31_00035741-RA
OG0013424	DB47_00078223-RA	E0M31_00085454-RA
OG0013425	DB47_00022006-RA	E0M31_00024567-RB
OG0013426	DB47_00029099-RA	E0M31_00046699-RA
OG0013427	DB47_00032000-RA	E0M31_00018485-RA
OG0013430	DB47_00058114-RA	E0M31_00070769-RA
OG0013432	DB47_00071910-RA	E0M31_00057708-RA
OG0013434	DB47_00031351-RB	E0M31_00008590-RA
OG0013436	DB47_00022882-RA	E0M31_00030305-RB
OG0013437	DB47_00063588-RA	E0M31_00076336-RA
OG0013439	DB47_00021508-RA	E0M31_00024255-RA
OG0013445	DB47_00021341-RD	E0M31_00030068-RB
OG0013446	DB47_00077171-RA	E0M31_00067127-RA
OG0013448	DB47_00048581-RA	E0M31_00062526-RA
OG0013449	DB47_00065573-RA	E0M31_00079971-RA
OG0013450	DB47_00016683-RA	E0M31_00045792-RA
OG0013451	DB47_00025072-RB	E0M31_00010342-RB
OG0013452	DB47_00046169-RB	E0M31_00020606-RB
OG0013454	DB47_00000680-RA	E0M31_00007028-RA
OG0013456	DB47_00028559-RA	E0M31_00018863-RC
OG0013458	DB47_00040267-RA	E0M31_00062391-RA
OG0013459	DB47_00051173-RA	E0M31_00078582-RA
OG0013468	DB47_00057415-RA	E0M31_00004321-RA
OG0013470	DB47_00044501-RB	E0M31_00009421-RA
OG0013471	DB47_00008798-RA	E0M31_00008817-RA
OG0013474	DB47_00005084-RA	E0M31_00055914-RA
OG0013475	DB47_00012267-RC	E0M31_00029270-RB
OG0013476	DB47_00012045-RA	E0M31_00047898-RB
OG0013478	DB47_00039525-RB	E0M31_00047461-RA
OG0013483	DB47_00046831-RB	E0M31_00071926-RA
OG0013484	DB47_00054165-RA	E0M31_00023698-RA
OG0013485	DB47_00030038-RB	E0M31_00061267-RA
OG0013486	DB47_00012626-RE	E0M31_00019369-RD
OG0013490	DB47_00029005-RA	E0M31_00055841-RA
OG0013492	DB47_00016398-RA	E0M31_00020010-RA
OG0013495	DB47_00034139-RB	E0M31_00024042-RA
OG0013498	DB47_00062992-RA	E0M31_00072699-RA
OG0013499	DB47_00060301-RA	E0M31_00019842-RA
OG0013501	DB47_00023705-RA	E0M31_00030143-RC
OG0013502	DB47_00007814-RE	E0M31_00053473-RA
OG0013503	DB47_00018823-RD	E0M31_00025755-RA
OG0013507	DB47_00027197-RB	E0M31_00054164-RA
OG0013510	DB47_00020437-RA	E0M31_00018817-RD
OG0013511	DB47_00010000-RA	E0M31_00006530-RA
OG0013512	DB47_00000109-RA	E0M31_00054694-RA
OG0013514	DB47_00036012-RA	E0M31_00017937-RA
OG0013517	DB47_00024974-RA	E0M31_00002942-RA
OG0013520	DB47_00004538-RA	E0M31_00000258-RB
OG0013523	DB47_00058653-RA	E0M31_00066607-RA
OG0013524	DB47_00028789-RC	E0M31_00021656-RB
OG0013527	DB47_00003081-RA	E0M31_00046839-RB
OG0013528	DB47_00063907-RA	E0M31_00070138-RA
OG0013532	DB47_00046876-RA	E0M31_00025579-RA
OG0013533	DB47_00043264-RA	E0M31_00084599-RA
OG0013534	DB47_00053798-RA	E0M31_00078136-RA
OG0013535	DB47_00002681-RA	E0M31_00036285-RA
OG0013536	DB47_00024336-RB	E0M31_00003779-RA
OG0013538	DB47_00018145-RA	E0M31_00039035-RA
OG0013544	DB47_00044763-RA	E0M31_00064571-RA
OG0013545	DB47_00047257-RB	E0M31_00056983-RB
OG0013550	DB47_00058127-RA	E0M31_00026838-RA
OG0013555	DB47_00029121-RB	E0M31_00037225-RC
OG0013556	DB47_00056022-RA	E0M31_00064215-RA
OG0013558	DB47_00071176-RA	E0M31_00005981-RA
OG0013561	DB47_00021480-RD	E0M31_00044259-RB
OG0013563	DB47_00025332-RA	E0M31_00062182-RA
OG0013564	DB47_00020331-RC	E0M31_00021661-RD
OG0013568	DB47_00023871-RC	E0M31_00028725-RB
OG0013570	DB47_00024295-RC	E0M31_00035450-RA
OG0013572	DB47_00038710-RA	E0M31_00030588-RA
OG0013573	DB47_00035035-RA	E0M31_00040329-RA
OG0013575	DB47_00006746-RB	E0M31_00018503-RB
OG0013576	DB47_00020649-RB	E0M31_00019468-RA
OG0013578	DB47_00042965-RB	E0M31_00013716-RD
OG0013579	DB47_00004032-RA	E0M31_00053841-RA
OG0013580	DB47_00026681-RB	E0M31_00050094-RA
OG0013581	DB47_00034575-RA	E0M31_00006130-RA
OG0013583	DB47_00002731-RA	E0M31_00028396-RA
OG0013586	DB47_00061115-RA	E0M31_00055065-RB
OG0013588	DB47_00041461-RA	E0M31_00083218-RA
OG0013589	DB47_00006319-RA	E0M31_00067651-RA
OG0013590	DB47_00013377-RA	E0M31_00054205-RB
OG0013595	DB47_00020149-RA	E0M31_00048928-RA
OG0013597	DB47_00030370-RB	E0M31_00010987-RD
OG0013598	DB47_00028583-RA	E0M31_00073791-RA
OG0013599	DB47_00062914-RA	E0M31_00071888-RA
OG0013600	DB47_00049797-RA	E0M31_00019867-RB
OG0013601	DB47_00027059-RA	E0M31_00081692-RA
OG0013603	DB47_00009725-RA	E0M31_00001118-RA
OG0013604	DB47_00006879-RF	E0M31_00008256-RB
OG0013605	DB47_00032626-RA	E0M31_00034436-RA
OG0013606	DB47_00018855-RB	E0M31_00012045-RC
OG0013608	DB47_00005001-RA	E0M31_00069762-RA
OG0013609	DB47_00033130-RA	E0M31_00031069-RA
OG0013610	DB47_00010978-RG	E0M31_00013022-RC
OG0013611	DB47_00073234-RA	E0M31_00014949-RA
OG0013614	DB47_00036623-RA	E0M31_00025699-RA
OG0013619	DB47_00029866-RA	E0M31_00065166-RA
OG0013621	DB47_00039556-RA	E0M31_00004993-RB
OG0013622	DB47_00028465-RA	E0M31_00005760-RA
OG0013623	DB47_00003379-RC	E0M31_00006295-RC
OG0013624	DB47_00041859-RA	E0M31_00009575-RD
OG0013626	DB47_00001864-RA	E0M31_00059424-RA
OG0013627	DB47_00019513-RB	E0M31_00046726-RA
OG0013628	DB47_00057371-RA	E0M31_00071692-RA
OG0013629	DB47_00059350-RA	E0M31_00073178-RA
OG0013630	DB47_00020162-RA	E0M31_00045189-RB
OG0013631	DB47_00030704-RD	E0M31_00037173-RB
OG0013632	DB47_00044665-RB	E0M31_00023903-RD
OG0013634	DB47_00067664-RA	E0M31_00076197-RA
OG0013636	DB47_00047274-RB	E0M31_00039952-RB
OG0013639	DB47_00009181-RB	E0M31_00019310-RD
OG0013640	DB47_00017116-RB	E0M31_00023742-RA
OG0013642	DB47_00007113-RA	E0M31_00008893-RA
OG0013643	DB47_00014346-RC	E0M31_00017374-RB
OG0013644	DB47_00037168-RA	E0M31_00047308-RA
OG0013645	DB47_00023693-RA	E0M31_00002002-RA
OG0013651	DB47_00008946-RA	E0M31_00052544-RA
OG0013652	DB47_00013993-RB	E0M31_00055248-RA
OG0013655	DB47_00047455-RA	E0M31_00066658-RA
OG0013656	DB47_00000590-RA	E0M31_00073669-RA
OG0013657	DB47_00042239-RA	E0M31_00005641-RF
OG0013659	DB47_00008977-RA	E0M31_00011897-RA
OG0013672	DB47_00056605-RA	E0M31_00063273-RA
OG0013674	DB47_00028038-RA	E0M31_00068767-RA
OG0013675	DB47_00063964-RA	E0M31_00056873-RA
OG0013676	DB47_00012774-RA	E0M31_00091567-RA
OG0013679	DB47_00014303-RA	E0M31_00042468-RB
OG0013681	DB47_00045425-RA	E0M31_00093031-RA
OG0013684	DB47_00046698-RA	E0M31_00047204-RA
OG0013688	DB47_00007551-RA	E0M31_00086404-RA
OG0013694	DB47_00007046-RE	E0M31_00018039-RC
OG0013699	DB47_00014072-RA	E0M31_00020169-RA
OG0013706	DB47_00076545-RA	E0M31_00000155-RA
OG0013707	DB47_00028845-RA	E0M31_00056307-RB
OG0013708	DB47_00024911-RA	E0M31_00072421-RA
OG0013709	DB47_00010295-RA	E0M31_00067639-RA
OG0013710	DB47_00017798-RB	E0M31_00012102-RC
OG0013711	DB47_00036376-RB	E0M31_00059599-RA
OG0013712	DB47_00008388-RA	E0M31_00027370-RA
OG0013713	DB47_00080184-RA	E0M31_00007164-RA
OG0013717	DB47_00002700-RA	E0M31_00003733-RA
OG0013720	DB47_00063413-RA	E0M31_00026187-RB
OG0013723	DB47_00074100-RA	E0M31_00071393-RA
OG0013724	DB47_00071633-RA	E0M31_00064259-RA
OG0013725	DB47_00019498-RA	E0M31_00052368-RA
OG0013728	DB47_00010623-RA	E0M31_00066993-RA
OG0013729	DB47_00018160-RA	E0M31_00045823-RA
OG0013732	DB47_00016054-RA	E0M31_00009719-RA
OG0013739	DB47_00049096-RA	E0M31_00043340-RA
OG0013740	DB47_00013191-RA	E0M31_00019756-RA
OG0013744	DB47_00031672-RA	E0M31_00070170-RA
OG0013747	DB47_00023127-RA	E0M31_00010876-RA
OG0013750	DB47_00065397-RA	E0M31_00062933-RA
OG0013759	DB47_00047200-RB	E0M31_00015152-RC
OG0013761	DB47_00032958-RA	E0M31_00064965-RA
OG0013763	DB47_00066378-RA	E0M31_00053640-RA
OG0013765	DB47_00048403-RA	E0M31_00079417-RA
OG0013768	DB47_00029236-RA	E0M31_00015695-RA
OG0013769	DB47_00075016-RA	E0M31_00087605-RA
OG0013770	DB47_00009348-RA	E0M31_00017454-RA
OG0013772	DB47_00037309-RA	E0M31_00038048-RA
OG0013773	DB47_00061274-RA	E0M31_00043802-RA
OG0013777	DB47_00034983-RA	E0M31_00057698-RA
OG0013779	DB47_00035069-RA	E0M31_00036266-RA
OG0013783	DB47_00080015-RA	E0M31_00071834-RA
OG0013785	DB47_00070266-RA	E0M31_00079834-RA
OG0013789	DB47_00080363-RA	E0M31_00034309-RA
OG0013790	DB47_00006698-RB	E0M31_00028976-RA
OG0013794	DB47_00012217-RA	E0M31_00043750-RB
OG0013796	DB47_00042093-RA	E0M31_00051434-RA
OG0013799	DB47_00030067-RA	E0M31_00059248-RA
OG0013801	DB47_00076109-RA	E0M31_00055405-RA
OG0013802	DB47_00024111-RA	E0M31_00035199-RA
OG0013804	DB47_00027519-RA	E0M31_00087497-RA
OG0013805	DB47_00005300-RC	E0M31_00011420-RB
OG0013808	DB47_00044073-RA	E0M31_00047723-RA
OG0013809	DB47_00061315-RA	E0M31_00053795-RA
OG0013810	DB47_00017566-RC	E0M31_00035573-RA
OG0013813	DB47_00014444-RC	E0M31_00019952-RB
OG0013818	DB47_00046453-RA	E0M31_00056555-RA
OG0013823	DB47_00049573-RA	E0M31_00082733-RA
OG0013826	DB47_00047664-RA	E0M31_00024057-RA
OG0013827	DB47_00072885-RA	E0M31_00032434-RA
OG0013829	DB47_00021227-RA	E0M31_00034644-RA
OG0013830	DB47_00014909-RA	E0M31_00012009-RA
OG0013835	DB47_00072976-RA	E0M31_00050298-RA
OG0013842	DB47_00016692-RB	E0M31_00067018-RB
OG0013844	DB47_00033711-RA	E0M31_00036014-RA
OG0013845	DB47_00000881-RC	E0M31_00010277-RB
OG0013848	DB47_00012064-RA	E0M31_00030185-RB
OG0013849	DB47_00017999-RA	E0M31_00087008-RA
OG0013850	DB47_00029828-RA	E0M31_00016197-RA
OG0013855	DB47_00028211-RA	E0M31_00035760-RA
OG0013858	DB47_00049210-RA	E0M31_00059078-RA
OG0013860	DB47_00019071-RA	E0M31_00058660-RA
OG0013862	DB47_00011797-RA	E0M31_00074712-RA
OG0013863	DB47_00054947-RA	E0M31_00021217-RB
OG0013865	DB47_00021283-RA	E0M31_00042200-RA
OG0013867	DB47_00047700-RA	E0M31_00052070-RA
OG0013869	DB47_00030197-RA	E0M31_00089096-RA
OG0013870	DB47_00057102-RA	E0M31_00067978-RA
OG0013872	DB47_00021321-RA	E0M31_00021077-RA
OG0013873	DB47_00042897-RA	E0M31_00046291-RA
OG0013874	DB47_00049959-RA	E0M31_00075005-RA
OG0013879	DB47_00054724-RA	E0M31_00019819-RA
OG0013881	DB47_00057333-RA	E0M31_00048446-RA
OG0013886	DB47_00046712-RA	E0M31_00065510-RA
OG0013887	DB47_00003964-RA	E0M31_00023090-RA
OG0013888	DB47_00014802-RA	E0M31_00025032-RA
OG0013889	DB47_00046762-RA	E0M31_00065869-RA
OG0013890	DB47_00011748-RA	E0M31_00016662-RA
OG0013891	DB47_00047227-RA	E0M31_00040351-RA
OG0013895	DB47_00063631-RA	E0M31_00045884-RA
OG0013897	DB47_00029602-RA	E0M31_00029691-RA
OG0013899	DB47_00055529-RA	E0M31_00027563-RA
OG0013900	DB47_00047746-RA	E0M31_00093047-RA
OG0013901	DB47_00061278-RA	E0M31_00088715-RA
OG0013902	DB47_00010040-RI	E0M31_00024230-RA
OG0013903	DB47_00015826-RA	E0M31_00002757-RD
OG0013904	DB47_00014775-RB	E0M31_00025144-RA
OG0013906	DB47_00006247-RA	E0M31_00032352-RA
OG0013908	DB47_00020503-RA	E0M31_00050608-RA
OG0013909	DB47_00066440-RA	E0M31_00080284-RA
OG0013910	DB47_00016103-RA	E0M31_00082700-RA
OG0013914	DB47_00012280-RB	E0M31_00003458-RB
OG0013916	DB47_00024692-RA	E0M31_00007533-RA
OG0013921	DB47_00037807-RA	E0M31_00026517-RA
OG0013924	DB47_00024655-RA	E0M31_00048416-RA
OG0013927	DB47_00055729-RA	E0M31_00018346-RB
OG0013928	DB47_00035640-RA	E0M31_00038687-RB
OG0013929	DB47_00073352-RA	E0M31_00052391-RA
OG0013931	DB47_00048416-RA	E0M31_00066998-RA
OG0013937	DB47_00048893-RA	E0M31_00062217-RA
OG0013938	DB47_00049155-RA	E0M31_00042423-RA
OG0013939	DB47_00013139-RA	E0M31_00039441-RB
OG0013941	DB47_00013864-RB	E0M31_00010762-RB
OG0013944	DB47_00016964-RA	E0M31_00009115-RB
OG0013949	DB47_00010146-RA	E0M31_00069653-RA
OG0013953	DB47_00049432-RB	E0M31_00047013-RC
OG0013954	DB47_00038088-RA	E0M31_00011052-RA
OG0013957	DB47_00008457-RA	E0M31_00009359-RA
OG0013958	DB47_00058365-RA	E0M31_00063132-RA
OG0013959	DB47_00077994-RA	E0M31_00092214-RA
OG0013961	DB47_00062774-RA	E0M31_00074209-RA
OG0013964	DB47_00014638-RA	E0M31_00034523-RA
OG0013965	DB47_00030350-RB	E0M31_00034579-RA
OG0013967	DB47_00035333-RA	E0M31_00018097-RA
OG0013968	DB47_00078234-RA	E0M31_00033057-RA
OG0013976	DB47_00035589-RA	E0M31_00064707-RA
OG0013979	DB47_00036646-RA	E0M31_00012939-RA
OG0013980	DB47_00047534-RA	E0M31_00052777-RA
OG0013981	DB47_00041132-RA	E0M31_00001475-RG
OG0013984	DB47_00054355-RA	E0M31_00055194-RA
OG0013987	DB47_00054927-RA	E0M31_00024655-RA
OG0013988	DB47_00006970-RA	E0M31_00037659-RA
OG0013990	DB47_00015692-RA	E0M31_00042053-RA
OG0014001	DB47_00048016-RA	E0M31_00024160-RA
OG0014003	DB47_00063856-RA	E0M31_00080137-RA
OG0014005	DB47_00025931-RA	E0M31_00052663-RB
OG0014006	DB47_00070496-RA	E0M31_00050784-RA
OG0014010	DB47_00002708-RA	E0M31_00073663-RA
OG0014011	DB47_00022063-RB	E0M31_00016135-RA
OG0014013	DB47_00040310-RA	E0M31_00020118-RA
OG0014016	DB47_00037563-RA	E0M31_00040830-RA
OG0014017	DB47_00041943-RA	E0M31_00081695-RA
OG0014018	DB47_00022400-RA	E0M31_00025293-RA
OG0014020	DB47_00045537-RA	E0M31_00034794-RA
OG0014021	DB47_00037049-RA	E0M31_00075174-RA
OG0014022	DB47_00044070-RA	E0M31_00031048-RD
OG0014025	DB47_00037345-RA	E0M31_00070333-RA
OG0014028	DB47_00057795-RA	E0M31_00051136-RA
OG0014029	DB47_00075552-RA	E0M31_00047650-RA
OG0014033	DB47_00074453-RA	E0M31_00017224-RA
OG0014035	DB47_00027816-RA	E0M31_00084936-RA
OG0014036	DB47_00029946-RB	E0M31_00020724-RC
OG0014041	DB47_00069712-RA	E0M31_00034652-RA
OG0014042	DB47_00057685-RA	E0M31_00069552-RA
OG0014044	DB47_00014209-RA	E0M31_00079454-RA
OG0014046	DB47_00009298-RA	E0M31_00048953-RA
OG0014048	DB47_00016305-RA	E0M31_00064326-RA
OG0014050	DB47_00053270-RA	E0M31_00081968-RA
OG0014052	DB47_00063369-RA	E0M31_00052097-RA
OG0014055	DB47_00014683-RA	E0M31_00059154-RA
OG0014057	DB47_00031784-RA	E0M31_00080093-RA
OG0014058	DB47_00036587-RA	E0M31_00042230-RA
OG0014059	DB47_00078489-RA	E0M31_00089218-RA
OG0014060	DB47_00029929-RA	E0M31_00004852-RC
OG0014061	DB47_00006488-RA	E0M31_00017332-RA
OG0014062	DB47_00062875-RA	E0M31_00024924-RA
OG0014067	DB47_00047770-RA	E0M31_00092684-RA
OG0014077	DB47_00048730-RA	E0M31_00022361-RA
OG0014078	DB47_00032020-RB	E0M31_00015521-RF
OG0014080	DB47_00037766-RB	E0M31_00044213-RA
OG0014082	DB47_00021547-RA	E0M31_00004677-RA
OG0014083	DB47_00033059-RA	E0M31_00001194-RA
OG0014084	DB47_00025653-RA	E0M31_00001192-RA
OG0014087	DB47_00045110-RB	E0M31_00041220-RB
OG0014089	DB47_00032741-RB	E0M31_00018725-RA
OG0014092	DB47_00029343-RA	E0M31_00088239-RA
OG0014093	DB47_00050226-RA	E0M31_00088834-RA
OG0014095	DB47_00021748-RA	E0M31_00077769-RA
OG0014096	DB47_00043006-RB	E0M31_00030132-RC
OG0014097	DB47_00026049-RA	E0M31_00046485-RA
OG0014099	DB47_00021326-RA	E0M31_00020176-RA
OG0014100	DB47_00041108-RA	E0M31_00074442-RA
OG0014101	DB47_00040485-RA	E0M31_00049376-RA
OG0014103	DB47_00034159-RA	E0M31_00062050-RA
OG0014109	DB47_00056740-RA	E0M31_00062772-RA
OG0014112	DB47_00058095-RA	E0M31_00066693-RA
OG0014113	DB47_00000952-RA	E0M31_00017009-RA
OG0014115	DB47_00077559-RA	E0M31_00001823-RA
OG0014118	DB47_00004356-RA	E0M31_00021564-RB
OG0014119	DB47_00025314-RA	E0M31_00017118-RA
OG0014121	DB47_00009524-RA	E0M31_00013918-RA
OG0014125	DB47_00037078-RA	E0M31_00073560-RA
OG0014130	DB47_00036662-RA	E0M31_00062584-RA
OG0014133	DB47_00055390-RA	E0M31_00054833-RA
OG0014141	DB47_00056118-RA	E0M31_00024056-RA
OG0014143	DB47_00018996-RA	E0M31_00053365-RA
OG0014144	DB47_00003495-RA	E0M31_00005491-RA
OG0014146	DB47_00013707-RA	E0M31_00012458-RA
OG0014147	DB47_00019317-RA	E0M31_00003607-RA
OG0014150	DB47_00033056-RA	E0M31_00054727-RA
OG0014151	DB47_00011734-RA	E0M31_00005132-RA
OG0014153	DB47_00075002-RA	E0M31_00049008-RA
OG0014159	DB47_00000531-RA	E0M31_00017415-RB
OG0014161	DB47_00021539-RB	E0M31_00027874-RB
OG0014162	DB47_00075083-RA	E0M31_00049216-RA
OG0014164	DB47_00046677-RA	E0M31_00048776-RA
OG0014166	DB47_00067520-RA	E0M31_00046731-RA
OG0014168	DB47_00029976-RB	E0M31_00033705-RB
OG0014169	DB47_00079060-RA	E0M31_00021682-RA
OG0014171	DB47_00006808-RA	E0M31_00015389-RA
OG0014172	DB47_00026152-RA	E0M31_00071651-RA
OG0014173	DB47_00062881-RA	E0M31_00077090-RA
OG0014174	DB47_00041154-RA	E0M31_00009214-RA
OG0014175	DB47_00019037-RA	E0M31_00039548-RA
OG0014178	DB47_00019125-RA	E0M31_00011790-RA
OG0014179	DB47_00009852-RA	E0M31_00005526-RA
OG0014180	DB47_00024109-RA	E0M31_00049309-RB
OG0014183	DB47_00002926-RA	E0M31_00004780-RA
OG0014184	DB47_00067443-RA	E0M31_00085460-RA
OG0014189	DB47_00053150-RA	E0M31_00059836-RA
OG0014191	DB47_00005569-RB	E0M31_00000169-RH
OG0014193	DB47_00047179-RA	E0M31_00048382-RB
OG0014194	DB47_00008494-RA	E0M31_00018380-RA
OG0014197	DB47_00008154-RA	E0M31_00070674-RA
OG0014201	DB47_00077810-RA	E0M31_00037205-RA
OG0014204	DB47_00048072-RA	E0M31_00030152-RA
OG0014206	DB47_00014887-RC	E0M31_00019555-RA
OG0014208	DB47_00022139-RA	E0M31_00048717-RA
OG0014209	DB47_00044640-RA	E0M31_00067992-RA
OG0014210	DB47_00026037-RA	E0M31_00037021-RA
OG0014211	DB47_00071394-RA	E0M31_00078587-RA
OG0014212	DB47_00037746-RA	E0M31_00016940-RA
OG0014213	DB47_00049783-RA	E0M31_00071567-RA
OG0014214	DB47_00038990-RA	E0M31_00049602-RA
OG0014215	DB47_00073858-RA	E0M31_00093012-RA
OG0014216	DB47_00031656-RB	E0M31_00053635-RA
OG0014218	DB47_00051930-RA	E0M31_00069201-RA
OG0014220	DB47_00012038-RA	E0M31_00014211-RA
OG0014221	DB47_00053527-RA	E0M31_00075378-RA
OG0014222	DB47_00019102-RA	E0M31_00012807-RB
OG0014227	DB47_00077477-RA	E0M31_00006611-RA
OG0014229	DB47_00057372-RA	E0M31_00000799-RA
OG0014232	DB47_00039931-RA	E0M31_00035228-RA
OG0014233	DB47_00078094-RA	E0M31_00092557-RA
OG0014235	DB47_00022083-RC	E0M31_00028517-RA
OG0014237	DB47_00046481-RA	E0M31_00060383-RA
OG0016588	DB47_00052988-RA	E0M31_00057883-RB
OG0016589	DB47_00015879-RB	E0M31_00062338-RA
OG0016590	DB47_00012498-RB	E0M31_00034574-RB
OG0016591	DB47_00013868-RB	E0M31_00001482-RA
OG0016596	DB47_00008311-RA	E0M31_00008189-RB
OG0016597	DB47_00042830-RA	E0M31_00083411-RA
OG0016598	DB47_00043420-RB	E0M31_00048420-RA
OG0016599	DB47_00066534-RA	E0M31_00035382-RA
OG0016600	DB47_00050127-RA	E0M31_00013064-RA
OG0016602	DB47_00033009-RA	E0M31_00036263-RA
OG0016604	DB47_00007678-RA	E0M31_00066777-RA
OG0016610	DB47_00004839-RA	E0M31_00033510-RA
OG0016612	DB47_00016350-RC	E0M31_00008067-RA
OG0016614	DB47_00027363-RB	E0M31_00051523-RA
OG0016615	DB47_00021799-RA	E0M31_00016158-RB
OG0016616	DB47_00021798-RA	E0M31_00016159-RA
OG0016618	DB47_00006855-RB	E0M31_00000714-RB
OG0016619	DB47_00019377-RA	E0M31_00083318-RA
OG0016620	DB47_00047762-RA	E0M31_00070706-RA
OG0016622	DB47_00050426-RA	E0M31_00081472-RA
OG0016623	DB47_00008020-RI	E0M31_00000968-RH
OG0016624	DB47_00004903-RA	E0M31_00031777-RA
OG0016625	DB47_00042456-RA	E0M31_00047733-RA
OG0016628	DB47_00045601-RA	E0M31_00012876-RA
OG0016629	DB47_00037717-RA	E0M31_00040060-RA
OG0016630	DB47_00009331-RC	E0M31_00027917-RB
OG0016633	DB47_00045181-RA	E0M31_00040559-RA
OG0016635	DB47_00046058-RA	E0M31_00050213-RA
OG0016636	DB47_00050848-RA	E0M31_00059917-RA
OG0016638	DB47_00033088-RA	E0M31_00078086-RA
OG0016639	DB47_00022516-RA	E0M31_00018812-RA
OG0016640	DB47_00016610-RA	E0M31_00032332-RB
OG0016641	DB47_00030291-RB	E0M31_00012012-RB
OG0016648	DB47_00035569-RB	E0M31_00015994-RA
OG0016649	DB47_00015857-RA	E0M31_00000650-RK
OG0016650	DB47_00064997-RA	E0M31_00059004-RA
OG0016652	DB47_00037108-RA	E0M31_00083748-RA
OG0016654	DB47_00056261-RA	E0M31_00050656-RA
OG0016655	DB47_00025438-RA	E0M31_00032081-RA
OG0016656	DB47_00017872-RA	E0M31_00014894-RB
OG0016657	DB47_00055327-RA	E0M31_00038604-RB
OG0016660	DB47_00029869-RA	E0M31_00066327-RA
OG0016662	DB47_00028638-RC	E0M31_00036261-RC
OG0016666	DB47_00009684-RA	E0M31_00000386-RA
OG0016668	DB47_00001100-RA	E0M31_00031978-RA
OG0016669	DB47_00035063-RA	E0M31_00028196-RA
OG0016670	DB47_00048851-RB	E0M31_00025925-RA
OG0016671	DB47_00011194-RB	E0M31_00009488-RB
OG0016672	DB47_00019542-RD	E0M31_00003045-RA
OG0016673	DB47_00074761-RA	E0M31_00049605-RA
OG0016675	DB47_00061979-RA	E0M31_00040574-RB
OG0016676	DB47_00009904-RC	E0M31_00004300-RA
OG0016677	DB47_00038829-RA	E0M31_00054443-RB
OG0016680	DB47_00021107-RD	E0M31_00055780-RA
OG0016682	DB47_00048161-RA	E0M31_00011743-RA
OG0016683	DB47_00014821-RB	E0M31_00003471-RA
OG0016685	DB47_00008611-RA	E0M31_00062398-RA
OG0016686	DB47_00045846-RB	E0M31_00014817-RB
OG0016688	DB47_00039509-RB	E0M31_00014509-RB
OG0016691	DB47_00020624-RA	E0M31_00029977-RA
OG0016692	DB47_00044284-RA	E0M31_00045912-RA
OG0016694	DB47_00012085-RC	E0M31_00011113-RC
OG0016695	DB47_00001280-RB	E0M31_00005164-RH
OG0016696	DB47_00012754-RA	E0M31_00016471-RC
OG0016698	DB47_00021531-RA	E0M31_00059122-RA
OG0016700	DB47_00019285-RA	E0M31_00075991-RA
OG0016701	DB47_00007417-RA	E0M31_00067957-RA
OG0016702	DB47_00039960-RA	E0M31_00036177-RB
OG0016703	DB47_00011667-RA	E0M31_00015009-RC
OG0016704	DB47_00043406-RA	E0M31_00051230-RA
OG0016705	DB47_00001003-RA	E0M31_00000833-RE
OG0016706	DB47_00046728-RA	E0M31_00088739-RA
OG0016707	DB47_00025270-RA	E0M31_00078698-RA
OG0016708	DB47_00033964-RB	E0M31_00061296-RA
OG0016709	DB47_00015115-RC	E0M31_00025806-RA
OG0016710	DB47_00020290-RA	E0M31_00034818-RB
OG0016712	DB47_00024947-RA	E0M31_00025828-RB
OG0016713	DB47_00039773-RB	E0M31_00042419-RA
OG0016714	DB47_00038610-RA	E0M31_00015327-RA
OG0016718	DB47_00003990-RA	E0M31_00026244-RD
OG0016719	DB47_00020073-RA	E0M31_00021956-RA
OG0016720	DB47_00025152-RB	E0M31_00009601-RA
OG0016723	DB47_00047248-RA	E0M31_00026346-RC
OG0016725	DB47_00027030-RA	E0M31_00008535-RA
OG0016726	DB47_00042697-RA	E0M31_00021852-RA
OG0016727	DB47_00008915-RB	E0M31_00031239-RA
OG0016729	DB47_00022419-RB	E0M31_00029774-RA
