transcript bin.x coverage.x strand.x gene.x cigar.x MD.x NM.x bin.y coverage.y strand.y gene.y cigar.y MD.y NM.y
augustus_masked-167794801-processed-gene-0.15-mRNA-1 myseq9000.fa.r112 0.99 0 9267662 354M MD:Z:216A137 NM:i:1 cdhit-output-4_14.iteration.1 0.99 16 3011852 354M MD:Z:137T216 NM:i:1
augustus_masked-167795672-processed-gene-0.2-mRNA-1 myseq9000.fa.r112 0.99 0 9190528 1239M MD:Z:367A57G30A103A227A177A106G165 NM:i:7 cdhit-output-4_16.iteration.1 0.99 16 3093019 1239M MD:Z:165C106T405T103T30C57T367 NM:i:6
augustus_masked-167797150-processed-gene-0.5-mRNA-1 myseq6000.fa.r112 0.99 16 6846540 2868M MD:Z:1120G508A152G121C75C147T46G391T262A37 NM:i:9 cdhit-output-4_13.iteration.1 0.99 16 3958209 2868M MD:Z:807C5G5G19T46T742A152G121C75C147T46G172C218T262A37 NM:i:14
augustus_masked-167797303-processed-gene-0.1-mRNA-1 myseq3000.fa.r112 0.99 0 9206517 1686M MD:Z:1553T132 NM:i:1 cdhit-output-4_10.iteration.1 0.99 16 2915385 1686M MD:Z:1686 NM:i:0
augustus_masked-167798003-processed-gene-0.26-mRNA-1 myseq12000.fa.r112 0.99 0 7750221 321M MD:Z:118C65G136 NM:i:2 cdhit-output-4_18.iteration.3 0.99 16 4637047 321M MD:Z:136C65G118 NM:i:2
augustus_masked-167798104-processed-gene-0.0-mRNA-1 myseq12000.fa.r112 0.99 16 7750907 2253M MD:Z:302A902T144G103G9T30G25G52T2A463T35A87A87 NM:i:12 cdhit-output-4_17.iteration.1 0.99 0 3052625 2253M MD:Z:87T87T35A463T2A52C25C30A9C103C1350 NM:i:10
augustus_masked-167798865-processed-gene-0.2-mRNA-1 myseq3000.fa.r112 0.99 16 9176036 645M MD:Z:148T196G15C153T129 NM:i:4 cdhit-output-4_12.iteration.1 0.99 0 3364345 645M MD:Z:129A153G15C196A148 NM:i:4
augustus_masked-167799936-processed-gene-0.1-mRNA-1 myseq12000.fa.r112 0.99 16 7641635 1836M MD:Z:1836 NM:i:0 cdhit-output-4_16.iteration.1 0.99 0 3093329 1836M MD:Z:1836 NM:i:0
augustus_masked-167799996-processed-gene-0.7-mRNA-1 myseq12000.fa.r112 0.99 0 726807 1104M MD:Z:11T725C366 NM:i:2 cdhit-output-4_18.iteration.1 0.99 16 3751667 1104M MD:Z:366G725A11 NM:i:2
augustus_masked-167802831-processed-gene-0.0-mRNA-1 myseq12000.fa.r112 0.99 0 7724476 1566M MD:Z:1566 NM:i:0 cdhit-output-4_16.iteration.1 0.99 0 3092893 1566M MD:Z:1566 NM:i:0
augustus_masked-167804601-processed-gene-0.8-mRNA-1 myseq15000.fa.r112 0.99 16 3675107 210M MD:Z:210 NM:i:0 cdhit-output-4_19.iteration.1 0.99 16 831751 210M MD:Z:210 NM:i:0
augustus_masked-167806541-processed-gene-0.2-mRNA-1 myseq6000.fa.r112 0.99 0 6791546 1875M MD:Z:935T443A164C330 NM:i:3 cdhit-output-4_13.iteration.1 0.99 0 3888736 1875M MD:Z:935T443A164C330 NM:i:3
augustus_masked-167806957-processed-gene-0.4-mRNA-1 myseq12000.fa.r112 0.99 0 7622578 465M MD:Z:159T35G19G176T9G62 NM:i:5 cdhit-output-4_17.iteration.1 0.99 16 3052234 465M MD:Z:62C9A176C215 NM:i:3
augustus_masked-167807106-processed-gene-0.10-mRNA-1 myseq0.fa.r112 0.99 16 7146393 669M MD:Z:57G3G29A3A43C17G47T23A46T4T136A250 NM:i:11 cdhit-output-4_8.iteration.1 0.99 16 4560211 669M MD:Z:113T304A250 NM:i:2
augustus_masked-167807546-processed-gene-0.0-mRNA-1 myseq9000.fa.r112 0.99 0 9299392 489M MD:Z:89A161G112T34A24T21A6T3A31 NM:i:8 cdhit-output-4_15.iteration.1 0.99 16 3575376 489M MD:Z:9T227C161T89 NM:i:3
augustus_masked-167808003-processed-gene-0.0-mRNA-1 myseq0.fa.r112 0.99 0 6050415 381M MD:Z:381 NM:i:0 cdhit-output-4_10.iteration.1 0.99 0 2914740 381M MD:Z:246C134 NM:i:1
augustus_masked-167809299-processed-gene-0.0-mRNA-1 myseq9000.fa.r112 0.99 16 9218292 1992M MD:Z:951A120A442T2G39C136A296 NM:i:6 cdhit-output-4_16.iteration.1 0.99 16 3092505 1992M MD:Z:951A120A223A218T2G39C136A296 NM:i:7
augustus_masked-167809606-processed-gene-0.2-mRNA-1 myseq6000.fa.r112 0.99 16 6786117 2646M MD:Z:944T638G203A755G102 NM:i:4 cdhit-output-4_14.iteration.1 0.99 0 2939856 2646M MD:Z:102C755T203C208G429A944 NM:i:5
augustus_masked-167809980-processed-gene-0.1-mRNA-1 myseq12000.fa.r112 0.99 16 7729811 2253M MD:Z:1295C204G752 NM:i:2 cdhit-output-4_17.iteration.1 0.99 16 2983669 2253M MD:Z:1295C204G752 NM:i:2
augustus_masked-167810256-processed-gene-0.1-mRNA-1 myseq6000.fa.r112 0.99 16 6792029 549M MD:Z:130G418 NM:i:1 cdhit-output-4_14.iteration.1 0.99 16 3011515 549M MD:Z:130G418 NM:i:1
augustus_masked-167812046-processed-gene-0.2-mRNA-1 myseq12000.fa.r112 0.99 0 7635770 675M MD:Z:497T165T11 NM:i:2 cdhit-output-4_19.iteration.1 0.99 16 831934 675M MD:Z:11A165A497 NM:i:2
augustus_masked-167812132-processed-gene-0.6-mRNA-1 myseq0.fa.r112 0.99 0 7125204 2697M MD:Z:91A3T12T121C58A7A193T49T480G851T344G90C131A254 NM:i:13 cdhit-output-4_9.iteration.1 0.99 16 3260847 2697M MD:Z:254T131G90C344A851C13A54T40G143T226A49A193T7T58G121A12A3T91 NM:i:17
augustus_masked-167813562-processed-gene-0.1-mRNA-1 myseq0.fa.r112 0.99 16 7094101 2124M MD:Z:410A486T1226 NM:i:2 cdhit-output-4_8.iteration.1 0.99 16 4559795 2124M MD:Z:410A486T1226 NM:i:2
augustus_masked-167813951-processed-gene-0.1-mRNA-1 myseq0.fa.r112 0.99 16 7139517 2396M MD:Z:806T1312G21G254 NM:i:3 cdhit-output-4_9.iteration.1 0.99 0 3260548 2396M MD:Z:254C21C1312A806 NM:i:3
augustus_masked-167814774-processed-gene-0.0-mRNA-1 myseq12000.fa.r112 0.99 16 7746797 1245M MD:Z:129T1T10T311T64A28G159C242C104C79G108 NM:i:10 cdhit-output-4_19.iteration.1 0.99 16 810758 1245M MD:Z:129T1T10T311T64A28G159C242C104C79G108 NM:i:10
augustus_masked-167814796-processed-gene-0.9-mRNA-1 myseq12000.fa.r112 0.99 16 7719318 354M MD:Z:354 NM:i:0 cdhit-output-4_18.iteration.1 0.99 16 3751769 354M MD:Z:354 NM:i:0
augustus_masked-167814839-processed-gene-0.0-mRNA-1 myseq12000.fa.r112 0.99 16 7633669 2530M MD:Z:74C44G75A163A116C872T66T139CA306G226A438 NM:i:11 cdhit-output-4_18.iteration.1 0.99 16 3751758 2530M MD:Z:74C44G75A163A116C872T66T139CA306G226A438 NM:i:11
augustus_masked-167815241-processed-gene-0.0-mRNA-1 myseq12000.fa.r112 0.99 16 7731946 1557M MD:Z:651A437C467 NM:i:2 cdhit-output-4_19.iteration.1 0.99 0 811794 1557M MD:Z:905T651 NM:i:1
augustus_masked-167816065-processed-gene-0.2-mRNA-1 myseq12000.fa.r112 0.99 0 7639046 2514M MD:Z:40G55C164G458A686TT18T65C6G44A8T21G4G128A299C503 NM:i:15 cdhit-output-4_17.iteration.1 0.99 0 2991922 2514M MD:Z:40G55C164G191A145A110A113T2A87G491TT18T65C6G44A8T21G4G128A299C503 NM:i:20
augustus_masked-167816264-processed-gene-0.2-mRNA-1 myseq0.fa.r112 0.99 16 2504898 285M MD:Z:97C36T150 NM:i:2 cdhit-output-4_9.iteration.3 0.99 16 3587466 285M MD:Z:97C36T150 NM:i:2
augustus_masked-167819461-processed-gene-0.6-mRNA-1 myseq9000.fa.r112 0.99 0 9228085 2775M MD:Z:500C403C683G853G332 NM:i:4 cdhit-output-4_15.iteration.1 0.99 16 3575779 2775M MD:Z:332C853C683A403G500 NM:i:4
augustus_masked-167819717-processed-gene-0.0-mRNA-1 myseq12000.fa.r112 0.99 0 7638435 4314M MD:Z:253G267T530A107C2G258A199G586C109A838C557A577C19 NM:i:12 cdhit-output-4_18.iteration.1 0.99 16 3751276 4314M MD:Z:187G73A335T557G954A568G211T258C2G107T241C288A267C253 NM:i:13
augustus_masked-167819940-processed-gene-0.1-mRNA-1 myseq12000.fa.r112 0.99 0 7586676 690M MD:Z:74C6T374A20T212 NM:i:4 cdhit-output-4_18.iteration.1 0.99 16 3751401 690M MD:Z:212A20T374A6G74 NM:i:4
augustus_masked-167821462-processed-gene-0.1-mRNA-1 myseq12000.fa.r112 0.99 0 7718826 270M MD:Z:270 NM:i:0 cdhit-output-4_13.iteration.1 0.99 16 3879205 270M MD:Z:270 NM:i:0
augustus_masked-167826540-processed-gene-0.5-mRNA-1 myseq0.fa.r112 0.99 16 7164598 2547M MD:Z:118G248G152G744T275G960G44 NM:i:6 cdhit-output-4_8.iteration.1 0.99 0 4560308 2547M MD:Z:449T555C275A744C152C248C118 NM:i:6
augustus_masked-167826540-processed-gene-0.8-mRNA-1 myseq0.fa.r112 0.99 0 7056534 2406M MD:Z:3T421G203G45A351C929A359G13A43T30 NM:i:9 cdhit-output-4_10.iteration.1 0.99 16 2915040 2406M MD:Z:30A122A294T929G351T45C203C421A3 NM:i:8
augustus_masked-167827410-processed-gene-0.9-mRNA-1 myseq12000.fa.r112 0.99 0 7592687 372M MD:Z:149A95A126 NM:i:2 cdhit-output-4_18.iteration.1 0.99 0 3674166 372M MD:Z:149A95A126 NM:i:2
augustus_masked-167827913-processed-gene-0.8-mRNA-1 myseq12000.fa.r112 0.99 0 4854282 177M MD:Z:177 NM:i:0 cdhit-output-4_18.iteration.1 0.99 0 3729552 177M MD:Z:177 NM:i:0
augustus_masked-167827970-processed-gene-0.8-mRNA-1 myseq0.fa.r112 0.99 16 310254 588M MD:Z:257C215G92C21 NM:i:3 cdhit-output-4_8.iteration.1 0.99 16 4462006 588M MD:Z:257C215G92C21 NM:i:3
augustus_masked-167830304-processed-gene-0.1-mRNA-1 myseq9000.fa.r112 0.99 16 9254666 687M MD:Z:31T655 NM:i:1 cdhit-output-4_14.iteration.1 0.99 0 3012003 687M MD:Z:655A31 NM:i:1
augustus_masked-167830933-processed-gene-0.4-mRNA-1 myseq12000.fa.r112 0.99 16 7749244 354M MD:Z:230T69C53 NM:i:2 cdhit-output-4_16.iteration.1 0.99 0 3024574 354M MD:Z:53G69A230 NM:i:2
augustus_masked-167831409-processed-gene-0.8-mRNA-1 myseq12000.fa.r112 0.99 16 7590650 1944M MD:Z:470A66C204C376A824 NM:i:4 cdhit-output-4_18.iteration.1 0.99 16 3751076 1944M MD:Z:470A66C204C376A824 NM:i:4
augustus_masked-167831455-processed-gene-0.0-mRNA-1 myseq3000.fa.r112 0.99 0 9178143 575M MD:Z:156A134C37A115G27T101 NM:i:5 cdhit-output-4_10.iteration.1 0.99 0 2857297 575M MD:Z:230C14G165C163 NM:i:3
augustus_masked-167831522-processed-gene-0.7-mRNA-1 myseq6000.fa.r112 0.99 16 6815795 540M MD:Z:124C4A132G277 NM:i:3 cdhit-output-4_13.iteration.1 0.99 16 3873554 540M MD:Z:124C4A132G277 NM:i:3
augustus_masked-167832312-processed-gene-0.5-mRNA-1 myseq3000.fa.r112 0.99 0 8673073 198M MD:Z:198 NM:i:0 cdhit-output-4_11.iteration.1 0.99 16 3230595 198M MD:Z:198 NM:i:0
augustus_masked-167835013-processed-gene-0.8-mRNA-1 myseq12000.fa.r112 0.99 0 7738587 2307M MD:Z:14A89G532G342G24T5G45T323G91G478T354 NM:i:10 cdhit-output-4_18.iteration.1 0.99 16 3664129 2307M MD:Z:354A894A45C5A24C342C532C89T14 NM:i:8
augustus_masked-167836486-processed-gene-0.1-mRNA-1 myseq3000.fa.r112 0.99 16 9192406 294M MD:Z:294 NM:i:0 cdhit-output-4_10.iteration.1 0.99 16 2915208 294M MD:Z:52C241 NM:i:1
augustus_masked-167838072-processed-gene-0.0-mRNA-1 myseq12000.fa.r112 0.99 16 7599522 507M MD:Z:9A41C38G387C28 NM:i:4 cdhit-output-4_18.iteration.1 0.99 0 3665170 507M MD:Z:28G184G202C80T9 NM:i:4
augustus_masked-167839618-processed-gene-0.2-mRNA-1 myseq3000.fa.r112 0.99 0 9139162 2448M MD:Z:389T509G349G1198 NM:i:3 cdhit-output-4_11.iteration.1 0.99 0 3288190 2448M MD:Z:389G509G1548 NM:i:2
augustus_masked-167840051-processed-gene-0.10-mRNA-1 myseq3000.fa.r112 0.99 0 9166092 1839M MD:Z:1502G336 NM:i:1 cdhit-output-4_11.iteration.1 0.99 0 3288040 1839M MD:Z:1667C171 NM:i:1
augustus_masked-167840564-processed-gene-0.1-mRNA-1 myseq12000.fa.r112 0.99 0 7751112 2445M MD:Z:48C80T223C141G27A125C12A84G225C616A182A671 NM:i:11 cdhit-output-4_17.iteration.1 0.99 0 3051676 2445M MD:Z:48C80T223C141G27A125C12A84G225C616A182A471C199 NM:i:12
augustus_masked-167841040-processed-gene-0.6-mRNA-1 myseq12000.fa.r112 0.99 0 7627215 2400M MD:Z:769G1302G327 NM:i:2 cdhit-output-4_18.iteration.1 0.99 0 3663862 2400M MD:Z:769G1302G327 NM:i:2
augustus_masked-167841173-processed-gene-0.8-mRNA-1 myseq0.fa.r112 0.99 0 373748 2250M MD:Z:176T81T141A716A527T120T483 NM:i:6 cdhit-output-4_9.iteration.1 0.99 16 3261093 2250M MD:Z:483A648T716T141A81A176 NM:i:5
augustus_masked-167841204-processed-gene-0.12-mRNA-1 myseq12000.fa.r112 0.99 0 7684043 432M MD:Z:432 NM:i:0 cdhit-output-4_19.iteration.1 0.99 0 831845 432M MD:Z:251C180 NM:i:1
augustus_masked-167842912-processed-gene-0.2-mRNA-1 myseq9000.fa.r112 0.99 16 9201045 536M MD:Z:79T9T7A46C16G141G157A74 NM:i:7 cdhit-output-4_15.iteration.2 0.99 16 3663052 536M MD:Z:79T33G30C16G47T13T7T19C15T35G38G7G19A15G57A5A5G40G26A11 NM:i:19
augustus_masked-167843124-processed-gene-0.2-mRNA-1 myseq6000.fa.r112 0.99 16 6710419 477M MD:Z:111T365 NM:i:1 cdhit-output-4_14.iteration.1 0.99 16 3011175 477M MD:Z:111T365 NM:i:1
augustus_masked-167843763-processed-gene-0.1-mRNA-1 myseq12000.fa.r112 0.99 0 7748418 1626M MD:Z:172C639C6G50C10G89T106C3G1A6G9G1T3T1C2C513 NM:i:15 cdhit-output-4_13.iteration.1 0.99 0 3957126 1626M MD:Z:172C639C6G50C10G89T106C3G1A6G9G1T3T1C2C494C18 NM:i:16
augustus_masked-167855616-processed-gene-0.1-mRNA-1 myseq12000.fa.r112 0.99 0 7638241 582M MD:Z:4A9C55C511 NM:i:3 cdhit-output-4_18.iteration.1 0.99 16 3683863 582M MD:Z:511G55G9T4 NM:i:3
augustus_masked-167863336-processed-gene-0.0-mRNA-1 myseq12000.fa.r112 0.99 16 7714791 2640M MD:Z:405A9TT471G278C45T340C353C2G418T3T51A108T51C53A38 NM:i:15 cdhit-output-4_16.iteration.1 0.99 0 3093518 2640M MD:Z:38T53G51A108T51A3A775G340A45G278C471AA9T405 NM:i:13
augustus_masked-167867304-processed-gene-0.1-mRNA-1 myseq3000.fa.r112 0.99 0 9230032 690M MD:Z:690 NM:i:0 cdhit-output-4_11.iteration.1 0.99 16 3218356 690M MD:Z:690 NM:i:0
augustus_masked-167867781-processed-gene-0.6-mRNA-1 myseq9000.fa.r112 0.99 16 3484202 2382M MD:Z:81G56C1003T110G144A11G971 NM:i:6 cdhit-output-4_8.iteration.1 0.99 16 4462927 2382M MD:Z:81G56C22T788T191T110G144A11G971 NM:i:8
augustus_masked-167873175-processed-gene-0.1-mRNA-1 myseq9000.fa.r112 0.99 0 9301818 2826M MD:Z:303G241C89G150G290C13G167T76C55G43C61T60T55C67A25T93G162C209G262T52T333 NM:i:20 cdhit-output-4_11.iteration.1 0.99 16 3287571 2826M MD:Z:333A52A262C209G162C93A25T67G55A60A61G43C55G76A167C13G290C150C635 NM:i:18
augustus_masked-167878875-processed-gene-0.0-mRNA-1 myseq12000.fa.r112 0.99 0 7657528 667M MD:Z:667 NM:i:0 cdhit-output-4_16.iteration.1 0.99 16 3065714 667M MD:Z:667 NM:i:0
augustus_masked-167879728-processed-gene-0.3-mRNA-1 myseq9000.fa.r112 0.99 0 9254900 1731M MD:Z:390G98A1049C4T1C2A4G176 NM:i:7 cdhit-output-4_15.iteration.1 0.99 16 3496962 1731M MD:Z:176C4T2G1A4G1049T98C390 NM:i:7
augustus_masked-167890012-processed-gene-0.1-mRNA-1 myseq3000.fa.r112 0.99 16 9196318 912M MD:Z:415T14C345T135 NM:i:3 cdhit-output-4_11.iteration.1 0.99 16 3288018 912M MD:Z:415T14C481 NM:i:2
augustus_masked-167890542-processed-gene-0.0-mRNA-1 myseq9000.fa.r112 0.99 16 9217335 1146M MD:Z:384C35T13G141G113A3G127G131C56A117T7A8 NM:i:11 cdhit-output-4_14.iteration.1 0.99 0 3011949 1146M MD:Z:134T56G377C141C13A35G384 NM:i:6
augustus_masked-167892059-processed-gene-0.1-mRNA-1 myseq9000.fa.r112 0.99 16 9239196 1935M MD:Z:616T440T271T197G249A157 NM:i:5 cdhit-output-4_15.iteration.1 0.99 16 3575463 1935M MD:Z:34C581T712T197G249A157 NM:i:5
augustus_masked-167894133-processed-gene-0.1-mRNA-1 myseq12000.fa.r112 0.99 16 7716599 2502M MD:Z:41T897T34T470G47T9C491T327G178 NM:i:8 cdhit-output-4_18.iteration.1 0.99 16 3751500 2502M MD:Z:350G24T329C233T34T470G47T9C491T327G178 NM:i:10
augustus_masked-167895353-processed-gene-0.1-mRNA-1 myseq9000.fa.r112 0.99 16 9298981 1284M MD:Z:1284 NM:i:0 cdhit-output-4_15.iteration.1 0.99 16 3575711 1284M MD:Z:1284 NM:i:0
augustus_masked-167895852-processed-gene-0.0-mRNA-1 myseq0.fa.r112 0.99 16 7085370 2103M MD:Z:299C396A176A78T73A44A305T32A191G136T159G106A96 NM:i:12 cdhit-output-4_9.iteration.1 0.99 16 3261023 2103M MD:Z:273A25C573A78T73A44A305T26A197G136T159G106A96 NM:i:12
augustus_masked-167902563-processed-gene-0.2-mRNA-1 myseq3000.fa.r112 0.99 0 9228212 426M MD:Z:366T1GA56 NM:i:3 cdhit-output-4_11.iteration.1 0.99 0 3248413 426M MD:Z:426 NM:i:0
augustus_masked-167908038-processed-gene-0.0-mRNA-1 myseq3000.fa.r112 0.99 16 9232740 303M MD:Z:22T43A36G3T21G7A45G41G77 NM:i:8 cdhit-output-4_11.iteration.1 0.99 16 3287530 303M MD:Z:127G1G173 NM:i:2
augustus_masked-167908641-processed-gene-0.0-mRNA-1 myseq0.fa.r112 0.99 0 1975403 475M MD:Z:395T79 NM:i:1 cdhit-output-4_10.iteration.1 0.99 0 2857639 475M MD:Z:395T79 NM:i:1
augustus_masked-167914815-processed-gene-0.0-mRNA-1 myseq3000.fa.r112 0.99 16 9212939 1431M MD:Z:601G469T359 NM:i:2 cdhit-output-4_8.iteration.1 0.99 16 4560172 1431M MD:Z:601G469T359 NM:i:2
augustus_masked-167914925-processed-gene-0.1-mRNA-1 myseq9000.fa.r112 0.99 0 9134866 333M MD:Z:333 NM:i:0 cdhit-output-4_15.iteration.1 0.99 16 3575416 333M MD:Z:296G36 NM:i:1
augustus_masked-167915233-processed-gene-0.2-mRNA-1 myseq3000.fa.r112 0.99 16 9276888 838M MD:Z:57A41G65T3T2T61CC42G3T59A44T6T24G53C11A36T61C11G86A3A2G2G18C4T45G47CG1A13C1A7 NM:i:30 cdhit-output-4_14.iteration.1 0.99 16 3011819 838M MD:Z:234C603 NM:i:1
augustus_masked-167918910-processed-gene-0.13-mRNA-1 myseq3000.fa.r112 0.99 16 9300792 2019M MD:Z:19G255G148C36G108A182T161T144C113T46A9C3GA7T84G155T92C288C18T11C24G95 NM:i:21 cdhit-output-4_10.iteration.1 0.99 16 2915335 2019M MD:Z:19G255G148C36G108A182T161T144C113T56C3GA7T84G155T92C288C18T11C24G95 NM:i:20
augustus_masked-167920184-processed-gene-0.7-mRNA-1 myseq12000.fa.r112 0.99 16 7715533 1908M MD:Z:374T1439T93 NM:i:2 cdhit-output-4_18.iteration.1 0.99 16 3751060 1908M MD:Z:374T1439T93 NM:i:2
augustus_masked-167922106-processed-gene-0.0-mRNA-1 myseq3000.fa.r112 0.99 16 9140221 333M MD:Z:70T162T99 NM:i:2 cdhit-output-4_10.iteration.1 0.99 0 2880793 333M MD:Z:99A162A70 NM:i:2
augustus_masked-167922716-processed-gene-0.34-mRNA-1 myseq9000.fa.r112 0.99 0 9214018 474M MD:Z:474 NM:i:0 cdhit-output-4_15.iteration.5 0.99 0 1502811 474M MD:Z:77T43T352 NM:i:2
augustus_masked-167924612-processed-gene-0.2-mRNA-1 myseq0.fa.r112 0.99 0 89967 2316M MD:Z:2316 NM:i:0 cdhit-output-4_12.iteration.1 0.99 0 3365162 2316M MD:Z:1478A719C117 NM:i:2
augustus_masked-167931812-processed-gene-0.2-mRNA-1 myseq0.fa.r112 0.99 16 7132429 1515M MD:Z:264C203C14C23G89C99T12G426T1T375 NM:i:9 cdhit-output-4_9.iteration.1 0.99 0 3187268 1515M MD:Z:375A1A426C12A99G89C23G14G203G264 NM:i:9
augustus_masked-167932084-processed-gene-0.0-mRNA-1 myseq3000.fa.r112 0.99 0 9163653 1470M MD:Z:1470 NM:i:0 cdhit-output-4_12.iteration.1 0.99 0 3365116 1470M MD:Z:1470 NM:i:0
augustus_masked-167934805-processed-gene-0.1-mRNA-1 myseq9000.fa.r112 0.99 16 9276287 675M MD:Z:126T18C37C217C273 NM:i:4 cdhit-output-4_9.iteration.1 0.99 0 3260833 675M MD:Z:273G217G37G18A126 NM:i:4
augustus_masked-167935987-processed-gene-0.3-mRNA-1 myseq6000.fa.r112 0.99 16 2738291 1914M MD:Z:632G57G14T20A230G956 NM:i:5 cdhit-output-4_14.iteration.1 0.99 16 3011470 1914M MD:Z:632G57G14T20A230G730T225 NM:i:6
augustus_masked-167937159-processed-gene-0.2-mRNA-1 myseq12000.fa.r112 0.99 0 7709177 2481M MD:Z:907T499G188T76C603T178C24 NM:i:6 cdhit-output-4_17.iteration.1 0.99 0 3051636 2481M MD:Z:536C647T83A138G188T680T178C24 NM:i:7
augustus_masked-167937783-processed-gene-0.2-mRNA-1 myseq6000.fa.r112 0.99 16 6765534 2403M MD:Z:1135G895G44A32A215AG10A1G63 NM:i:8 cdhit-output-4_12.iteration.1 0.99 0 3288637 2403M MD:Z:63C1T10CT215T32T44C895C1135 NM:i:8
augustus_masked-167942660-processed-gene-0.4-mRNA-1 myseq3000.fa.r112 0.99 0 9236790 321M MD:Z:321 NM:i:0 cdhit-output-4_10.iteration.1 0.99 0 2874196 321M MD:Z:321 NM:i:0
augustus_masked-167943732-processed-gene-0.5-mRNA-1 myseq12000.fa.r112 0.99 0 5013349 336M MD:Z:336 NM:i:0 cdhit-output-4_19.iteration.1 0.99 16 812933 336M MD:Z:336 NM:i:0
augustus_masked-167943784-processed-gene-0.5-mRNA-1 myseq6000.fa.r112 0.99 0 6748611 501M MD:Z:244C256 NM:i:1 cdhit-output-4_12.iteration.1 0.99 16 3365110 501M MD:Z:256G208T35 NM:i:2
augustus_masked-167945485-processed-gene-0.3-mRNA-1 myseq6000.fa.r112 0.99 0 6849645 639M MD:Z:99C16C64T15G150T177T112 NM:i:6 cdhit-output-4_14.iteration.2 0.99 0 5217487 639M MD:Z:99C16C64T15G150T177T112 NM:i:6
augustus_masked-167949451-processed-gene-0.7-mRNA-1 myseq9000.fa.r112 0.99 0 9181246 360M MD:Z:360 NM:i:0 cdhit-output-4_16.iteration.1 0.99 16 3093178 360M MD:Z:360 NM:i:0
augustus_masked-167958808-processed-gene-0.3-mRNA-1 myseq9000.fa.r112 0.99 0 9225421 1998M MD:Z:110C8T230C1647 NM:i:3 cdhit-output-4_13.iteration.1 0.99 16 3871013 1998M MD:Z:687G959G350 NM:i:2
augustus_masked-167961791-processed-gene-0.2-mRNA-1 myseq3000.fa.r112 0.99 16 2241633 843M MD:Z:428T353T41A14T3 NM:i:4 cdhit-output-4_11.iteration.1 0.99 16 3218570 843M MD:Z:428T353T41A14T3 NM:i:4
augustus_masked-167964991-processed-gene-0.1-mRNA-1 myseq3000.fa.r112 0.99 16 9276067 954M MD:Z:567C115C70C76G122 NM:i:4 cdhit-output-4_10.iteration.1 0.99 16 2915567 954M MD:Z:567C115C70C76G122 NM:i:4
augustus_masked-167968022-processed-gene-0.1-mRNA-1 myseq6000.fa.r112 0.99 0 6850162 1188M MD:Z:190T204T52G16T53G188A100T80T13G47GT234 NM:i:11 cdhit-output-4_14.iteration.1 0.99 16 2940232 1188M MD:Z:234AC47C13A80A100T312A41T162A190 NM:i:9
augustus_masked-167971005-processed-gene-0.1-mRNA-1 myseq6000.fa.r112 0.99 16 6824397 513M MD:Z:378C19G114 NM:i:2 cdhit-output-4_14.iteration.1 0.99 16 2949167 513M MD:Z:378C19G114 NM:i:2
augustus_masked-167974810-processed-gene-0.2-mRNA-1 myseq9000.fa.r112 0.99 16 9299109 408M MD:Z:44CT25C1A17A9T2A42A89G23A70G75 NM:i:11 cdhit-output-4_9.iteration.1 0.99 0 3260431 408M MD:Z:170C57T134G3A40 NM:i:4
augustus_masked-167988002-processed-gene-0.2-mRNA-1 myseq12000.fa.r112 0.99 0 7705992 1773M MD:Z:130A43A1274A323 NM:i:3 cdhit-output-4_9.iteration.1 0.99 0 3260616 1773M MD:Z:130A43A910C363A323 NM:i:4
augustus_masked-167988530-processed-gene-0.0-mRNA-1 myseq6000.fa.r112 0.99 0 6736912 1461M MD:Z:66T6C23T340A360T120G80A316C54A80G6 NM:i:10 cdhit-output-4_14.iteration.1 0.99 0 3011283 1461M MD:Z:438A360T120G80A316C54A80G6 NM:i:7
augustus_masked-167990981-processed-gene-0.0-mRNA-1 myseq12000.fa.r112 0.99 16 7643142 543M MD:Z:543 NM:i:0 cdhit-output-4_18.iteration.1 0.99 16 3666963 543M MD:Z:543 NM:i:0
augustus_masked-167998294-processed-gene-0.3-mRNA-1 myseq6000.fa.r112 0.99 16 3098643 327M MD:Z:274G14T37 NM:i:2 cdhit-output-4_14.iteration.1 0.99 0 2972580 327M MD:Z:37A14C274 NM:i:2
augustus_masked-168000943-processed-gene-0.1-mRNA-1 myseq9000.fa.r112 0.99 0 9302071 219M MD:Z:219 NM:i:0 cdhit-output-4_15.iteration.1 0.99 0 2028641 219M MD:Z:219 NM:i:0
augustus_masked-168002720-processed-gene-0.0-mRNA-1 myseq3000.fa.r112 0.99 0 9208009 2232M MD:Z:45C76C56A33C224C229A4G353G44A99C574G304T179 NM:i:12 cdhit-output-4_10.iteration.1 0.99 0 2915412 2232M MD:Z:45C76C56A33C224C229A4G353G44A99C574G304T179 NM:i:12
augustus_masked-168005044-processed-gene-0.1-mRNA-1 myseq6000.fa.r112 0.99 16 5255 822M MD:Z:115A65C37T24G157C153G45G19T13A12T73G5TGG39C50 NM:i:15 cdhit-output-4_14.iteration.2 0.99 0 5204804 822M MD:Z:50G39CCA5C73A12T13A19C45C153G157C24A37G65T115 NM:i:15
augustus_masked-168019004-processed-gene-0.2-mRNA-1 myseq12000.fa.r112 0.99 16 7670667 402M MD:Z:402 NM:i:0 cdhit-output-4_17.iteration.1 0.99 0 3052351 402M MD:Z:402 NM:i:0
